Coin;Date;Open;High;Low;Close;Adj Close;Volume
Chiliz;01.07.2019;0.017232;0.017448;0.015258;0.017028;0.017028;1506210
Chiliz;02.07.2019;0.017024;0.020266;0.015143;0.016336;0.016336;454670
Chiliz;03.07.2019;0.01635;0.016517;0.010733;0.012063;0.012063;246653
Chiliz;04.07.2019;0.012066;0.015256;0.011156;0.013696;0.013696;216974
Chiliz;05.07.2019;0.013673;0.016383;0.013649;0.016059;0.016059;276543
Chiliz;06.07.2019;0.01606;0.016821;0.014783;0.015955;0.015955;149214
Chiliz;07.07.2019;0.016124;0.016367;0.015118;0.016066;0.016066;79601
Chiliz;08.07.2019;0.016067;0.01896;0.01521;0.018381;0.018381;458570
Chiliz;09.07.2019;0.018385;0.0209;0.018189;0.01954;0.01954;550450
Chiliz;10.07.2019;0.019537;0.020214;0.018;0.018829;0.018829;436951
Chiliz;11.07.2019;0.018823;0.018836;0.016397;0.016912;0.016912;419851
Chiliz;12.07.2019;0.01693;0.017892;0.015909;0.016792;0.016792;462486
Chiliz;13.07.2019;0.016804;0.017056;0.015366;0.015968;0.015968;432652
Chiliz;14.07.2019;0.01614;0.016172;0.013454;0.014523;0.014523;173894
Chiliz;15.07.2019;0.014518;0.015205;0.012674;0.014938;0.014938;179291
Chiliz;16.07.2019;0.014927;0.017824;0.014431;0.015097;0.015097;486495
Chiliz;17.07.2019;0.015082;0.015456;0.01316;0.014039;0.014039;253230
Chiliz;18.07.2019;0.014037;0.015684;0.013663;0.015566;0.015566;1880203
Chiliz;19.07.2019;0.015566;0.016024;0.013995;0.015667;0.015667;2246619
Chiliz;20.07.2019;0.015663;0.01843;0.01558;0.01788;0.01788;2086224
Chiliz;21.07.2019;0.01788;0.018149;0.016902;0.016993;0.016993;1837179
Chiliz;22.07.2019;0.016995;0.017088;0.014752;0.015912;0.015912;2198415
Chiliz;23.07.2019;0.015924;0.017004;0.014218;0.014913;0.014913;2044636
Chiliz;24.07.2019;0.014913;0.015212;0.013623;0.014307;0.014307;2081964
Chiliz;25.07.2019;0.014299;0.014572;0.013734;0.013892;0.013892;1754150
Chiliz;26.07.2019;0.013897;0.014315;0.013235;0.014216;0.014216;1762171
Chiliz;27.07.2019;0.014216;0.01559;0.012548;0.013063;0.013063;1602531
Chiliz;28.07.2019;0.013063;0.014565;0.013024;0.013182;0.013182;1806946
Chiliz;29.07.2019;0.013165;0.014163;0.013162;0.013501;0.013501;1646928
Chiliz;30.07.2019;0.013458;0.01351;0.012547;0.013063;0.013063;1296736
Chiliz;31.07.2019;0.013028;0.013115;0.012584;0.012822;0.012822;1309389
Chiliz;01.08.2019;0.012821;0.012851;0.011186;0.012027;0.012027;1569841
Chiliz;02.08.2019;0.012033;0.012346;0.010686;0.01226;0.01226;1718862
Chiliz;03.08.2019;0.01226;0.012294;0.011847;0.011991;0.011991;1317276
Chiliz;04.08.2019;0.011993;0.012081;0.009562;0.01051;0.01051;815183
Chiliz;05.08.2019;0.010498;0.01157;0.008588;0.011031;0.011031;1399524
Chiliz;06.08.2019;0.011029;0.011029;0.008708;0.009257;0.009257;928692
Chiliz;07.08.2019;0.009277;0.010497;0.009215;0.00994;0.00994;1551630
Chiliz;08.08.2019;0.00994;0.009956;0.008861;0.009199;0.009199;1738587
Chiliz;09.08.2019;0.0092;0.009529;0.007672;0.008462;0.008462;1423481
Chiliz;10.08.2019;0.008462;0.009675;0.007764;0.008668;0.008668;1534904
Chiliz;11.08.2019;0.00824;0.009083;0.008038;0.008413;0.008413;1755384
Chiliz;12.08.2019;0.00843;0.008786;0.006549;0.008029;0.008029;1725639
Chiliz;13.08.2019;0.008037;0.008515;0.007204;0.007709;0.007709;987455
Chiliz;14.08.2019;0.007709;0.008078;0.007119;0.007309;0.007309;1204070
Chiliz;15.08.2019;0.007309;0.007707;0.006574;0.007324;0.007324;1176127
Chiliz;16.08.2019;0.007325;0.008867;0.006793;0.007533;0.007533;1457611
Chiliz;17.08.2019;0.007512;0.008503;0.007226;0.007803;0.007803;1503282
Chiliz;18.08.2019;0.007788;0.00779;0.006866;0.0075;0.0075;1156040
Chiliz;19.08.2019;0.007514;0.007788;0.007356;0.007751;0.007751;1296463
Chiliz;20.08.2019;0.007751;0.008305;0.007268;0.007294;0.007294;1073628
Chiliz;21.08.2019;0.007319;0.007881;0.006814;0.007354;0.007354;1044450
Chiliz;22.08.2019;0.007331;0.008092;0.006804;0.007238;0.007238;919290
Chiliz;23.08.2019;0.007238;0.00753;0.006671;0.007386;0.007386;865784
Chiliz;24.08.2019;0.007352;0.00789;0.006578;0.007762;0.007762;1514841
Chiliz;25.08.2019;0.007762;0.008013;0.006881;0.007283;0.007283;1294190
Chiliz;26.08.2019;0.007285;0.007415;0.006908;0.007057;0.007057;1261679
Chiliz;27.08.2019;0.007058;0.007225;0.006915;0.007105;0.007105;1271308
Chiliz;28.08.2019;0.007101;0.007104;0.005636;0.005984;0.005984;838173
Chiliz;29.08.2019;0.005984;0.006296;0.005156;0.00575;0.00575;1283990
Chiliz;30.08.2019;0.005921;0.006029;0.005259;0.005613;0.005613;926787
Chiliz;31.08.2019;0.005613;0.005785;0.004055;0.005103;0.005103;646810
Chiliz;01.09.2019;0.005103;0.005985;0.00486;0.005903;0.005903;1039220
Chiliz;02.09.2019;0.005904;0.006393;0.004947;0.006239;0.006239;1661408
Chiliz;03.09.2019;0.00624;0.006356;0.005832;0.006328;0.006328;1292809
Chiliz;04.09.2019;0.00633;0.007881;0.006248;0.00672;0.00672;857475
Chiliz;05.09.2019;0.00672;0.013039;0.006479;0.011951;0.011951;4591341
Chiliz;06.09.2019;0.011951;0.014132;0.008277;0.008457;0.008457;23817626
Chiliz;07.09.2019;0.008465;0.012115;0.008234;0.010942;0.010942;20456076
Chiliz;08.09.2019;0.010935;0.011569;0.009617;0.009763;0.009763;6518640
Chiliz;09.09.2019;0.009763;0.009918;0.008288;0.008499;0.008499;5134209
Chiliz;10.09.2019;0.008497;0.008716;0.00781;0.007874;0.007874;3500953
Chiliz;11.09.2019;0.007874;0.008011;0.006589;0.006662;0.006662;3263441
Chiliz;12.09.2019;0.006664;0.006755;0.005826;0.005846;0.005846;3947560
Chiliz;13.09.2019;0.005848;0.006572;0.005833;0.006161;0.006161;3113148
Chiliz;14.09.2019;0.006156;0.006323;0.005848;0.006136;0.006136;2100799
Chiliz;15.09.2019;0.006164;0.007309;0.006107;0.007222;0.007222;4023560
Chiliz;16.09.2019;0.007227;0.007322;0.006674;0.006875;0.006875;3681426
Chiliz;17.09.2019;0.006879;0.007862;0.006806;0.007128;0.007128;5564408
Chiliz;18.09.2019;0.007069;0.007287;0.006865;0.006889;0.006889;1991813
Chiliz;19.09.2019;0.006889;0.0069;0.006513;0.006567;0.006567;2145104
Chiliz;20.09.2019;0.006577;0.006614;0.0062;0.006334;0.006334;3031631
Chiliz;21.09.2019;0.006333;0.006543;0.006252;0.00629;0.00629;2084721
Chiliz;22.09.2019;0.006267;0.006327;0.005748;0.00579;0.00579;2338815
Chiliz;23.09.2019;0.005792;0.005912;0.005413;0.005417;0.005417;2650639
