Club_Name,Token_Name,Date,Day,Month,Year,Open,High,Low,Close,Volume
AC Milan,ACM8538-USD,2021-02-23,23,2,2021,6.434881,7.21572,4.278654,5.944448,0.0
AC Milan,ACM8538-USD,2021-02-24,24,2,2021,5.93604,24.81148,5.487044,18.38566,202569267.0
AC Milan,ACM8538-USD,2021-02-25,25,2,2021,17.907387,21.777693,14.779701,14.827024,103583152.0
AC Milan,ACM8538-USD,2021-02-26,26,2,2021,14.754595,16.03586,11.895096,12.321579,17046412.0
AC Milan,ACM8538-USD,2021-02-27,27,2,2021,12.33616,14.357585,12.148839,12.43365,10146625.0
AC Milan,ACM8538-USD,2021-02-28,28,2,2021,12.487359,12.69939,9.928424,10.877663,13209309.0
AC Milan,ACM8538-USD,2021-03-01,1,3,2021,10.899494,14.103021,10.899494,13.50505,35280486.0
AC Milan,ACM8538-USD,2021-03-02,2,3,2021,13.681638,14.381312,11.749057,12.103681,14183812.0
AC Milan,ACM8538-USD,2021-03-03,3,3,2021,12.106448,13.150634,11.945741,12.20435,9136039.0
AC Milan,ACM8538-USD,2021-03-04,4,3,2021,12.203759,12.564042,10.60592,10.933547,5855100.0
AC Milan,ACM8538-USD,2021-03-05,5,3,2021,10.933206,10.970251,10.175801,10.562837,3468101.0
AC Milan,ACM8538-USD,2021-03-06,6,3,2021,10.528736,11.761576,10.442161,10.721573,6190666.0
AC Milan,ACM8538-USD,2021-03-07,7,3,2021,10.648695,11.232076,10.60684,10.835569,4728248.0
AC Milan,ACM8538-USD,2021-03-08,8,3,2021,10.844101,11.01155,9.581114,10.467227,4006642.0
AC Milan,ACM8538-USD,2021-03-09,9,3,2021,10.457056,12.404836,10.233366,11.009239,12513364.0
AC Milan,ACM8538-USD,2021-03-10,10,3,2021,11.012019,16.770462,10.682332,12.799344,46249920.0
AC Milan,ACM8538-USD,2021-03-11,11,3,2021,12.820667,15.253808,11.724222,12.886557,45581575.0
AC Milan,ACM8538-USD,2021-03-12,12,3,2021,12.889829,13.738542,11.991891,13.032652,19584866.0
AC Milan,ACM8538-USD,2021-03-13,13,3,2021,13.023561,17.672415,12.870994,14.928819,32198901.0
AC Milan,ACM8538-USD,2021-03-14,14,3,2021,14.974757,15.148521,13.779811,13.849198,10948486.0
AC Milan,ACM8538-USD,2021-03-15,15,3,2021,13.784804,13.837316,12.271671,12.909059,9732003.0
AC Milan,ACM8538-USD,2021-03-16,16,3,2021,12.910636,13.693658,11.979083,12.895678,6695035.0
AC Milan,ACM8538-USD,2021-03-17,17,3,2021,12.915149,13.693965,12.485509,12.91612,5931726.0
AC Milan,ACM8538-USD,2021-03-18,18,3,2021,12.91823,14.355599,12.823275,13.073268,7729249.0
AC Milan,ACM8538-USD,2021-03-19,19,3,2021,13.050715,13.528139,12.897965,13.220256,5136758.0
AC Milan,ACM8538-USD,2021-03-20,20,3,2021,13.219702,13.350789,12.120434,12.20595,7266747.0
AC Milan,ACM8538-USD,2021-03-21,21,3,2021,12.204474,13.061344,11.363228,11.586903,7233842.0
AC Milan,ACM8538-USD,2021-03-22,22,3,2021,11.624762,11.916707,11.109736,11.791462,4073603.0
AC Milan,ACM8538-USD,2021-03-23,23,3,2021,11.765623,11.951109,10.886858,11.011436,4117823.0
AC Milan,ACM8538-USD,2021-03-24,24,3,2021,11.013899,11.741252,10.706239,10.779813,5359813.0
AC Milan,ACM8538-USD,2021-03-25,25,3,2021,10.791052,11.58337,9.920611,10.945901,6309886.0
AC Milan,ACM8538-USD,2021-03-26,26,3,2021,10.932695,11.963683,10.924362,11.323596,5868901.0
AC Milan,ACM8538-USD,2021-03-27,27,3,2021,11.320446,11.764203,11.036124,11.238243,3157338.0
AC Milan,ACM8538-USD,2021-03-28,28,3,2021,11.244175,11.589412,11.074014,11.167828,2476248.0
AC Milan,ACM8538-USD,2021-03-29,29,3,2021,11.180622,11.645279,11.040093,11.369026,2985655.0
AC Milan,ACM8538-USD,2021-03-30,30,3,2021,11.36768,11.481036,11.114322,11.229477,3489487.0
AC Milan,ACM8538-USD,2021-03-31,31,3,2021,11.258293,11.350739,10.733458,10.934674,3090877.0
AC Milan,ACM8538-USD,2021-04-01,1,4,2021,10.922827,11.180844,10.666063,10.752325,2597635.0
AC Milan,ACM8538-USD,2021-04-02,2,4,2021,10.77448,11.121112,10.521748,10.776303,2983622.0
AC Milan,ACM8538-USD,2021-04-03,3,4,2021,10.803565,11.222305,10.292971,10.292971,3498809.0
AC Milan,ACM8538-USD,2021-04-04,4,4,2021,10.280953,10.728152,10.150295,10.588249,2438848.0
AC Milan,ACM8538-USD,2021-04-05,5,4,2021,10.582225,10.62246,10.175159,10.201929,2725126.0
AC Milan,ACM8538-USD,2021-04-06,6,4,2021,10.211075,13.351127,10.182611,11.011446,12706359.0
AC Milan,ACM8538-USD,2021-04-07,7,4,2021,10.950245,15.480544,10.246221,11.616019,41084084.0
AC Milan,ACM8538-USD,2021-04-08,8,4,2021,11.552131,12.325473,10.944326,11.46976,12054875.0
AC Milan,ACM8538-USD,2021-04-09,9,4,2021,11.466449,11.5155,11.042289,11.055438,5004759.0
AC Milan,ACM8538-USD,2021-04-10,10,4,2021,11.055371,11.636982,10.80653,10.955043,4419003.0
AC Milan,ACM8538-USD,2021-04-11,11,4,2021,10.962002,11.983742,10.618324,11.223694,6681421.0
AC Milan,ACM8538-USD,2021-04-12,12,4,2021,11.222308,13.400592,11.119846,11.931982,14981914.0
AC Milan,ACM8538-USD,2021-04-13,13,4,2021,11.932353,13.415686,11.388324,12.05403,10126688.0
AC Milan,ACM8538-USD,2021-04-14,14,4,2021,12.025181,12.287179,11.5146,11.743674,4020873.0
AC Milan,ACM8538-USD,2021-04-15,15,4,2021,11.766912,12.526791,11.760792,12.04901,3421796.0
AC Milan,ACM8538-USD,2021-04-16,16,4,2021,12.041746,12.076436,11.193657,11.620505,3024990.0
AC Milan,ACM8538-USD,2021-04-17,17,4,2021,11.628054,11.776575,11.292605,11.483232,3170689.0
AC Milan,ACM8538-USD,2021-04-18,18,4,2021,11.484572,11.590814,9.979549,10.300157,4250930.0
AC Milan,ACM8538-USD,2021-04-19,19,4,2021,10.297859,10.792822,9.587935,10.03939,3374194.0
AC Milan,ACM8538-USD,2021-04-20,20,4,2021,10.013486,11.384838,9.363644,10.754388,6288376.0
AC Milan,ACM8538-USD,2021-04-21,21,4,2021,10.746741,11.38432,10.403122,10.663968,4820074.0
AC Milan,ACM8538-USD,2021-04-22,22,4,2021,10.665048,12.250089,10.095022,10.724619,9667311.0
AC Milan,ACM8538-USD,2021-04-23,23,4,2021,10.770445,11.253098,8.855675,9.765531,8618751.0
AC Milan,ACM8538-USD,2021-04-24,24,4,2021,9.811416,10.098367,9.407464,9.556389,2912308.0
AC Milan,ACM8538-USD,2021-04-25,25,4,2021,9.554456,10.512393,9.016695,9.48809,6234106.0
AC Milan,ACM8538-USD,2021-04-26,26,4,2021,9.49689,10.356075,9.470031,10.083316,3870846.0
AC Milan,ACM8538-USD,2021-04-27,27,4,2021,10.093692,10.453042,10.019467,10.349732,3305296.0
AC Milan,ACM8538-USD,2021-04-28,28,4,2021,10.349154,10.780605,9.974401,10.169105,2508868.0
AC Milan,ACM8538-USD,2021-04-29,29,4,2021,10.191358,11.17125,10.006519,10.696958,5611283.0
AC Milan,ACM8538-USD,2021-04-30,30,4,2021,10.69526,11.611363,10.528704,10.927455,4866547.0
AC Milan,ACM8538-USD,2021-05-01,1,5,2021,10.930866,11.747521,10.756723,10.87094,4422551.0
AC Milan,ACM8538-USD,2021-05-02,2,5,2021,10.930162,11.052356,10.435203,10.978127,2508027.0
AC Milan,ACM8538-USD,2021-05-03,3,5,2021,11.00785,11.560303,10.800256,11.013077,4620905.0
AC Milan,ACM8538-USD,2021-05-04,4,5,2021,11.021078,11.120255,10.191629,10.299498,2040644.0
AC Milan,ACM8538-USD,2021-05-05,5,5,2021,10.294678,10.868713,10.143204,10.618736,2219197.0
AC Milan,ACM8538-USD,2021-05-06,6,5,2021,10.619069,10.815253,9.959062,10.249117,3361398.0
AC Milan,ACM8538-USD,2021-05-07,7,5,2021,10.256521,10.651202,9.979498,10.246451,2276325.0
AC Milan,ACM8538-USD,2021-05-08,8,5,2021,10.24903,10.678916,10.002064,10.20342,2191612.0
AC Milan,ACM8538-USD,2021-05-09,9,5,2021,10.202451,10.417531,9.560872,9.964601,3120991.0
AC Milan,ACM8538-USD,2021-05-10,10,5,2021,9.964926,10.21042,9.010227,9.147025,1973030.0
AC Milan,ACM8538-USD,2021-05-11,11,5,2021,9.130534,9.538362,8.722181,9.266925,3268518.0
AC Milan,ACM8538-USD,2021-05-12,12,5,2021,9.263103,16.998896,9.253717,9.604482,52546233.0
AC Milan,ACM8538-USD,2021-05-13,13,5,2021,9.994405,15.669042,9.441012,10.810997,76866549.0
AC Milan,ACM8538-USD,2021-05-14,14,5,2021,10.851272,14.322184,10.75087,13.393537,32206666.0
AC Milan,ACM8538-USD,2021-05-15,15,5,2021,13.17094,20.801453,12.330006,15.782793,113543976.0
AC Milan,ACM8538-USD,2021-05-16,16,5,2021,15.771781,18.534056,12.638668,13.492251,84321041.0
AC Milan,ACM8538-USD,2021-05-17,17,5,2021,13.571509,14.300335,11.847129,13.610367,30466979.0
AC Milan,ACM8538-USD,2021-05-18,18,5,2021,13.605097,17.38681,13.499357,15.665172,56722352.0
AC Milan,ACM8538-USD,2021-05-19,19,5,2021,15.618553,16.441116,8.869408,9.941904,22631520.0
AC Milan,ACM8538-USD,2021-05-20,20,5,2021,9.824334,14.218846,8.960434,12.911511,24595257.0
AC Milan,ACM8538-USD,2021-05-21,21,5,2021,12.922984,16.019363,11.272413,14.550266,50477829.0
AC Milan,ACM8538-USD,2021-05-22,22,5,2021,14.623429,14.816218,12.022257,12.789042,29944299.0
AC Milan,ACM8538-USD,2021-05-23,23,5,2021,12.827988,12.871388,6.516735,8.042454,24514345.0
AC Milan,ACM8538-USD,2021-05-24,24,5,2021,8.008124,9.00748,7.383612,8.457546,14788513.0
AC Milan,ACM8538-USD,2021-05-25,25,5,2021,8.34803,8.804412,6.888598,7.500235,7791601.0
AC Milan,ACM8538-USD,2021-05-26,26,5,2021,7.5177,8.314208,7.22199,7.796787,8764605.0
AC Milan,ACM8538-USD,2021-05-27,27,5,2021,7.842847,9.507789,7.111132,8.645885,18725975.0
AC Milan,ACM8538-USD,2021-05-28,28,5,2021,8.668653,9.007001,7.381812,7.771634,8088596.0
AC Milan,ACM8538-USD,2021-05-29,29,5,2021,7.770787,7.888426,6.874921,7.228345,2660316.0
AC Milan,ACM8538-USD,2021-05-30,30,5,2021,7.217637,7.716607,6.926842,7.294843,2678771.0
AC Milan,ACM8538-USD,2021-05-31,31,5,2021,7.299597,7.692635,6.989608,7.585302,2573935.0
AC Milan,ACM8538-USD,2021-06-01,1,6,2021,7.653745,7.719246,7.134756,7.234003,6087813.0
AC Milan,ACM8538-USD,2021-06-02,2,6,2021,7.234679,7.72707,7.175755,7.353232,3800697.0
AC Milan,ACM8538-USD,2021-06-03,3,6,2021,7.353206,7.878532,7.235388,7.650738,4394724.0
AC Milan,ACM8538-USD,2021-06-04,4,6,2021,7.651077,7.786917,6.784399,7.065553,3529060.0
AC Milan,ACM8538-USD,2021-06-05,5,6,2021,7.064579,7.352853,6.867257,7.215977,2615227.0
AC Milan,ACM8538-USD,2021-06-06,6,6,2021,7.214472,7.315551,6.954551,7.079171,1391904.0
AC Milan,ACM8538-USD,2021-06-07,7,6,2021,7.097043,7.40806,6.63312,6.707651,2913662.0
AC Milan,ACM8538-USD,2021-06-08,8,6,2021,6.686439,6.78226,5.527547,6.211084,5133910.0
AC Milan,ACM8538-USD,2021-06-09,9,6,2021,6.212974,6.308611,5.888143,6.245134,2345660.0
AC Milan,ACM8538-USD,2021-06-10,10,6,2021,6.282987,8.334971,5.99274,7.592513,19303228.0
AC Milan,ACM8538-USD,2021-06-11,11,6,2021,7.535266,9.482407,6.843757,6.874764,35252383.0
AC Milan,ACM8538-USD,2021-06-12,12,6,2021,6.903344,7.042627,6.242789,6.576793,6515408.0
AC Milan,ACM8538-USD,2021-06-13,13,6,2021,6.576754,6.986868,6.28624,6.77788,3490669.0
AC Milan,ACM8538-USD,2021-06-14,14,6,2021,6.777315,7.089999,6.618926,7.018692,4564956.0
AC Milan,ACM8538-USD,2021-06-15,15,6,2021,6.804536,7.593122,6.583278,6.744623,2513185.0
AC Milan,ACM8538-USD,2021-06-16,16,6,2021,6.982163,7.173294,6.599331,6.672992,3007234.0
AC Milan,ACM8538-USD,2021-06-17,17,6,2021,6.632787,7.825332,6.627921,7.27871,13581294.0
AC Milan,ACM8538-USD,2021-06-18,18,6,2021,7.278679,7.755635,6.807053,7.173579,7821006.0
AC Milan,ACM8538-USD,2021-06-19,19,6,2021,7.186649,8.191043,6.920807,7.511625,16094979.0
AC Milan,ACM8538-USD,2021-06-20,20,6,2021,7.51009,7.751775,6.952533,7.217414,6194112.0
AC Milan,ACM8538-USD,2021-06-21,21,6,2021,7.223996,7.255321,5.710233,5.757149,3270175.0
AC Milan,ACM8538-USD,2021-06-22,22,6,2021,5.759242,6.635702,5.578435,6.031926,5369763.0
AC Milan,ACM8538-USD,2021-06-23,23,6,2021,6.031907,6.58484,5.908047,6.2551,5136781.0
AC Milan,ACM8538-USD,2021-06-24,24,6,2021,6.264826,6.427564,6.086515,6.282542,2013887.0
AC Milan,ACM8538-USD,2021-06-25,25,6,2021,6.283157,6.358196,5.761629,5.99341,5193961.0
AC Milan,ACM8538-USD,2021-06-26,26,6,2021,5.972255,6.432692,5.583654,5.946564,6624298.0
AC Milan,ACM8538-USD,2021-06-27,27,6,2021,5.97438,6.146162,5.802829,6.004863,6702968.0
AC Milan,ACM8538-USD,2021-06-28,28,6,2021,6.038197,6.304815,5.850434,6.029298,12977914.0
AC Milan,ACM8538-USD,2021-06-29,29,6,2021,6.028622,6.25755,6.022515,6.105796,8009362.0
AC Milan,ACM8538-USD,2021-06-30,30,6,2021,6.076233,6.113309,5.859198,6.071277,5645361.0
AC Milan,ACM8538-USD,2021-07-01,1,7,2021,6.071119,6.520145,5.853752,6.079254,9994077.0
AC Milan,ACM8538-USD,2021-07-02,2,7,2021,6.07907,6.116173,5.903263,5.993581,6283052.0
AC Milan,ACM8538-USD,2021-07-03,3,7,2021,5.993259,6.211965,5.925757,6.077946,6382724.0
