season;player_name;age;market_value[EUR];team_left;team_joined;transfer_fee[EUR]
18/19;Kylian Mbappe;19;120000000;Monaco;Paris SG;180000000
18/19;Cristiano Ronaldo;33;100000000;Real Madrid;Juventus;117000000
18/19;Kepa Arrizabalaga;23;20000000;Athletic;Chelsea;80000000
18/19;Thomas Lemar;22;65000000;Monaco;Atletico Madrid;72000000
18/19;Riyad Mahrez;27;50000000;Leicester;Man City;67800000
18/19;Christian Pulisic;20;50000000;Bor. Dortmund;Chelsea;64000000
18/19;Alisson;25;60000000;AS Roma;Liverpool;62500000
18/19;Naby Keita;23;65000000;RB Leipzig;Liverpool;60000000
18/19;Fred;25;32000000;Shakhtar D.;Man Utd;59000000
18/19;Jorginho;26;50000000;SSC Napoli;Chelsea;57000000
18/19;Fabinho;24;45000000;Monaco;Liverpool;45000000
18/19;Vinicius Junior;18;35000000;Flamengo;Real Madrid;45000000
18/19;Paulinho;30;38000000;Barcelona;GZ Evergrande;42000000
18/19;Patrik Schick;22;20000000;Sampdoria;AS Roma;42000000
18/19;Malcom;21;45000000;G. Bordeaux;Barcelona;41000000
18/19;Joao Cancelo;24;35000000;Valencia;Juventus;40400000
18/19;Douglas Costa;27;55000000;Bayern Munich;Juventus;40000000
18/19;Goncalo Guedes;21;40000000;Paris SG;Valencia;40000000
18/19;Leandro Paredes;24;25000000;Zenit S-Pb;Paris SG;40000000
18/19;Richarlison;21;25000000;Watford;Everton;39200000
18/19;Lucas Paqueta;21;15000000;Flamengo;AC Milan;38400000
18/19;Radja Nainggolan;30;45000000;AS Roma;Inter;38000000
18/19;Felipe Anderson;25;30000000;Lazio;West Ham;38000000
18/19;Mattia Caldara;24;25000000;Juventus;AC Milan;37740000
18/19;Thilo Kehrer;21;18000000;FC Schalke 04;Paris SG;37000000
18/19;Clement Lenglet;23;36000000;Sevilla FC;Barcelona;35900000
18/19;Thibaut Courtois;26;65000000;Chelsea;Real Madrid;35000000
18/19;Leonardo Bonucci;31;35000000;AC Milan;Juventus;35000000
18/19;Shoya Nakajima;24;18000000;Portimonense;Al-Duhail SC;35000000
18/19;Krzysztof Piatek;23;15000000;Genoa;AC Milan;35000000
18/19;Alvaro Odriozola;22;25000000;Real Sociedad;Real Madrid;32000000
18/19;Arthur Melo;21;30000000;Gremio;Barcelona;31000000
18/19;Jefferson Lerma;23;2000000;Levante;Bournemouth;30500000
18/19;Yerry Mina;23;20000000;Barcelona;Everton;30250000
18/19;Jean Michael Seri;27;30000000;OGC Nice;Fulham;30000000
18/19;Aleksandr Golovin;22;25000000;CSKA Moscow;Monaco;30000000
18/19;Fabian Ruiz;22;20000000;Real Betis;SSC Napoli;30000000
18/19;Anthony Modeste;30;16000000;1. FC Koln;TJ Tianhai;29000000
18/19;Lucas Torreira;22;30000000;Sampdoria;Arsenal;28650000
18/19;Abdou Diallo;22;12000000;1.FSV Mainz 05;Bor. Dortmund;28000000
18/19;Steven Nzonzi;29;30000000;Sevilla FC;AS Roma;26650000
18/19;Kevin Strootman;28;28000000;AS Roma;Marseille;25000000
