,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Adanaspor Fan Token,ADANA-USD,2022-06-15,0.172005,0.178213,0.170487,0.175485,779.0
1,Adanaspor Fan Token,ADANA-USD,2022-06-16,0.175486,0.178643,0.170909,0.172773,936.0
2,Adanaspor Fan Token,ADANA-USD,2022-06-17,0.172771,0.18997,0.166848,0.170543,1370.0
3,Adanaspor Fan Token,ADANA-USD,2022-06-18,0.170543,0.173605,0.156109,0.158974,147.0
4,Adanaspor Fan Token,ADANA-USD,2022-06-19,0.159125,0.168038,0.142187,0.149613,4690.0
5,Adanaspor Fan Token,ADANA-USD,2022-06-20,0.149613,0.154124,0.144422,0.146013,546.0
6,Adanaspor Fan Token,ADANA-USD,2022-06-21,0.146017,0.150786,0.144045,0.145998,347.0
7,Adanaspor Fan Token,ADANA-USD,2022-06-22,0.146023,0.151164,0.143921,0.148794,359.0
8,Adanaspor Fan Token,ADANA-USD,2022-06-23,0.148794,0.150056,0.134112,0.136214,429.0
9,Adanaspor Fan Token,ADANA-USD,2022-06-24,0.136214,0.144835,0.133606,0.137262,429.0
10,Adanaspor Fan Token,ADANA-USD,2022-06-25,0.137262,0.141057,0.133948,0.136573,149.0
11,Adanaspor Fan Token,ADANA-USD,2022-06-26,0.136573,0.139034,0.130157,0.13229,177.0
12,Adanaspor Fan Token,ADANA-USD,2022-06-27,0.132375,0.137108,0.129049,0.132945,278.0
13,Adanaspor Fan Token,ADANA-USD,2022-06-28,0.132945,0.136567,0.128546,0.128546,1793.0
14,Adanaspor Fan Token,ADANA-USD,2022-06-29,0.128546,0.134367,0.124645,0.125426,4582.0
15,Adanaspor Fan Token,ADANA-USD,2022-06-30,0.125426,0.14518,0.118979,0.120226,5035.0
16,Adanaspor Fan Token,ADANA-USD,2022-07-01,0.120226,0.123627,0.116842,0.119775,4365.0
17,Adanaspor Fan Token,ADANA-USD,2022-07-02,0.119775,0.124759,0.116382,0.118778,4531.0
18,Adanaspor Fan Token,ADANA-USD,2022-07-03,0.118779,0.121553,0.113868,0.116499,4616.0
19,Adanaspor Fan Token,ADANA-USD,2022-07-04,0.116499,0.138321,0.105422,0.111968,6612.0
20,Adanaspor Fan Token,ADANA-USD,2022-07-05,0.111968,0.114311,0.106858,0.110379,4456.0
21,Adanaspor Fan Token,ADANA-USD,2022-07-06,0.110264,0.112306,0.102261,0.103776,4860.0
22,Adanaspor Fan Token,ADANA-USD,2022-07-07,0.103776,0.109624,0.090408,0.092725,4329.0
23,Adanaspor Fan Token,ADANA-USD,2022-07-08,0.092725,0.107385,0.088761,0.101416,5560.0
24,Adanaspor Fan Token,ADANA-USD,2022-07-09,0.101416,0.119449,0.096144,0.100999,3567.0
25,Adanaspor Fan Token,ADANA-USD,2022-07-10,0.100998,0.108604,0.098885,0.102896,4373.0
26,Adanaspor Fan Token,ADANA-USD,2022-07-11,0.102895,0.105099,0.089289,0.08994,3806.0
27,Adanaspor Fan Token,ADANA-USD,2022-07-12,0.08994,0.094668,0.08021,0.08518,4460.0
28,Adanaspor Fan Token,ADANA-USD,2022-07-13,0.085181,0.088935,0.072593,0.078513,3316.0
29,Adanaspor Fan Token,ADANA-USD,2022-07-14,0.078593,0.082929,0.07074,0.070844,3611.0
30,Adanaspor Fan Token,ADANA-USD,2022-07-15,0.070844,0.080952,0.042173,0.046708,35625.0
31,Adanaspor Fan Token,ADANA-USD,2022-07-16,0.046708,0.05849,0.042232,0.042826,20438.0
32,Adanaspor Fan Token,ADANA-USD,2022-07-17,0.042823,0.045931,0.037984,0.041106,20632.0
33,Adanaspor Fan Token,ADANA-USD,2022-07-18,0.041103,0.046378,0.035333,0.038071,10680.0
34,Adanaspor Fan Token,ADANA-USD,2022-07-19,0.038078,0.038352,0.026589,0.028357,12393.0
35,Adanaspor Fan Token,ADANA-USD,2022-07-20,0.028356,0.031093,0.02634,0.027376,4369.0
36,Adanaspor Fan Token,ADANA-USD,2022-07-21,0.027378,0.029485,0.026788,0.027985,1949.0
37,Adanaspor Fan Token,ADANA-USD,2022-07-22,0.02801,0.030425,0.027838,0.029654,3359.0
38,Adanaspor Fan Token,ADANA-USD,2022-07-23,0.029653,0.037344,0.028281,0.031722,6017.0
39,Adanaspor Fan Token,ADANA-USD,2022-07-24,0.031728,0.037783,0.031608,0.035954,4462.0
40,Adanaspor Fan Token,ADANA-USD,2022-07-25,0.035952,0.037997,0.032557,0.03347,1424.0
41,Adanaspor Fan Token,ADANA-USD,2022-07-26,0.033476,0.03726,0.033399,0.034944,3086.0
42,Adanaspor Fan Token,ADANA-USD,2022-07-27,0.034955,0.03707,0.033885,0.034369,2726.0
43,Adanaspor Fan Token,ADANA-USD,2022-07-28,0.034368,0.034368,0.031367,0.031479,1491.0
44,Adanaspor Fan Token,ADANA-USD,2022-07-29,0.031479,0.034694,0.03137,0.032394,1577.0
45,Adanaspor Fan Token,ADANA-USD,2022-07-30,0.032391,0.03525,0.032316,0.03281,1928.0
46,Adanaspor Fan Token,ADANA-USD,2022-07-31,0.032813,0.0351,0.032668,0.033315,787.0
47,Adanaspor Fan Token,ADANA-USD,2022-08-01,0.033315,0.034022,0.033165,0.033765,1311.0
48,Adanaspor Fan Token,ADANA-USD,2022-08-02,0.03377,0.034627,0.033359,0.033392,413.0
49,Adanaspor Fan Token,ADANA-USD,2022-08-03,0.033398,0.034514,0.030863,0.03094,541.0
50,Adanaspor Fan Token,ADANA-USD,2022-08-04,0.030942,0.034971,0.030856,0.034904,90.0
51,Adanaspor Fan Token,ADANA-USD,2022-08-05,0.034901,0.036752,0.032753,0.034072,973.0
52,Adanaspor Fan Token,ADANA-USD,2022-08-06,0.034076,0.03509,0.032434,0.033363,657.0
53,Adanaspor Fan Token,ADANA-USD,2022-08-07,0.033444,0.037468,0.032969,0.036381,1278.0
54,Adanaspor Fan Token,ADANA-USD,2022-08-08,0.036388,0.036764,0.032991,0.033453,619.0
55,Adanaspor Fan Token,ADANA-USD,2022-08-09,0.033453,0.040153,0.032398,0.032506,4218.0
56,Adanaspor Fan Token,ADANA-USD,2022-08-10,0.032507,0.035236,0.031893,0.034418,770.0
57,Adanaspor Fan Token,ADANA-USD,2022-08-11,0.034418,0.038075,0.03077,0.033514,2873.0
58,Adanaspor Fan Token,ADANA-USD,2022-08-12,0.033524,0.034051,0.032068,0.032183,252.0
