,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Arsenal Fan Token,AFC11532-USD,2021-10-28,5.847244,5.853478,4.950687,5.281907,9806500
1,Arsenal Fan Token,AFC11532-USD,2021-10-29,5.282494,5.31715,5.027285,5.10644,3311321
2,Arsenal Fan Token,AFC11532-USD,2021-10-30,5.106444,5.139876,4.782095,4.891226,4202421
3,Arsenal Fan Token,AFC11532-USD,2021-10-31,4.922858,4.972071,4.606604,4.730042,2078620
4,Arsenal Fan Token,AFC11532-USD,2021-11-01,4.732909,5.391083,4.654167,4.826602,4794822
5,Arsenal Fan Token,AFC11532-USD,2021-11-02,4.820359,4.960418,4.674828,4.71102,3446409
6,Arsenal Fan Token,AFC11532-USD,2021-11-03,4.711022,4.739185,4.510709,4.5535,1753289
7,Arsenal Fan Token,AFC11532-USD,2021-11-04,4.553455,4.574032,4.255023,4.380753,1937698
8,Arsenal Fan Token,AFC11532-USD,2021-11-05,4.38064,4.46404,4.241223,4.371717,1395869
9,Arsenal Fan Token,AFC11532-USD,2021-11-06,4.371685,4.485333,4.298023,4.342881,1638118
10,Arsenal Fan Token,AFC11532-USD,2021-11-07,4.343073,4.638515,4.30163,4.357922,3103283
11,Arsenal Fan Token,AFC11532-USD,2021-11-08,4.357946,4.373413,4.214654,4.226283,1488006
12,Arsenal Fan Token,AFC11532-USD,2021-11-09,4.224154,4.284126,4.163149,4.183344,1232047
13,Arsenal Fan Token,AFC11532-USD,2021-11-10,4.183111,4.61916,3.99188,4.305997,4939407
14,Arsenal Fan Token,AFC11532-USD,2021-11-11,4.308743,5.071065,4.220038,4.625888,5005466
15,Arsenal Fan Token,AFC11532-USD,2021-11-12,4.616966,4.735405,4.398371,4.572154,2669961
16,Arsenal Fan Token,AFC11532-USD,2021-11-13,4.572219,4.777954,4.503247,4.592441,1323615
17,Arsenal Fan Token,AFC11532-USD,2021-11-14,4.591419,5.35139,4.540788,5.013985,7226267
18,Arsenal Fan Token,AFC11532-USD,2021-11-15,5.014654,5.593668,4.910435,5.459252,5383330
19,Arsenal Fan Token,AFC11532-USD,2021-11-16,5.459349,5.523,4.892103,5.027563,2568448
20,Arsenal Fan Token,AFC11532-USD,2021-11-17,5.026357,5.134452,4.830116,4.972234,1110691
21,Arsenal Fan Token,AFC11532-USD,2021-11-18,4.972905,4.999963,4.526133,4.580563,1279667
22,Arsenal Fan Token,AFC11532-USD,2021-11-19,4.581171,4.748931,4.521979,4.706793,961841
23,Arsenal Fan Token,AFC11532-USD,2021-11-20,4.707957,4.809851,4.637323,4.678482,1121498
24,Arsenal Fan Token,AFC11532-USD,2021-11-21,4.701855,4.863965,4.625221,4.702438,1397668
25,Arsenal Fan Token,AFC11532-USD,2021-11-22,4.704624,4.953013,4.584722,4.616038,1635686
26,Arsenal Fan Token,AFC11532-USD,2021-11-23,4.615452,4.720809,4.139979,4.320082,1086079
27,Arsenal Fan Token,AFC11532-USD,2021-11-24,4.319583,4.561357,4.215458,4.305095,1077561
