,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Afyonspor Fan Token,AFYON-USD,2022-06-15,0.015905,0.018349,0.015471,0.016554,7607.0
1,Afyonspor Fan Token,AFYON-USD,2022-06-16,0.016555,0.019684,0.015527,0.018199,19520.0
2,Afyonspor Fan Token,AFYON-USD,2022-06-17,0.018199,0.01957,0.015601,0.016198,18839.0
3,Afyonspor Fan Token,AFYON-USD,2022-06-18,0.016198,0.017287,0.014828,0.015839,1345.0
4,Afyonspor Fan Token,AFYON-USD,2022-06-19,0.015855,0.015891,0.014242,0.015396,4542.0
5,Afyonspor Fan Token,AFYON-USD,2022-06-20,0.015396,0.015396,0.013728,0.014455,5197.0
6,Afyonspor Fan Token,AFYON-USD,2022-06-21,0.014455,0.015533,0.012907,0.013071,8990.0
7,Afyonspor Fan Token,AFYON-USD,2022-06-22,0.01308,0.016751,0.012702,0.015629,65566.0
8,Afyonspor Fan Token,AFYON-USD,2022-06-23,0.015629,0.022406,0.014066,0.017027,144897.0
9,Afyonspor Fan Token,AFYON-USD,2022-06-24,0.017027,0.018237,0.014678,0.016134,42676.0
10,Afyonspor Fan Token,AFYON-USD,2022-06-25,0.016134,0.016187,0.014256,0.015274,12118.0
11,Afyonspor Fan Token,AFYON-USD,2022-06-26,0.015274,0.015439,0.01447,0.01473,848.0
12,Afyonspor Fan Token,AFYON-USD,2022-06-27,0.014739,0.017299,0.013994,0.014942,5236.0
13,Afyonspor Fan Token,AFYON-USD,2022-06-28,0.014942,0.016437,0.014194,0.014441,3620.0
14,Afyonspor Fan Token,AFYON-USD,2022-06-29,0.014441,0.014945,0.013941,0.014271,72495.0
15,Afyonspor Fan Token,AFYON-USD,2022-06-30,0.014271,0.020743,0.01339,0.016084,238800.0
16,Afyonspor Fan Token,AFYON-USD,2022-07-01,0.016084,0.017622,0.014653,0.015697,19467.0
17,Afyonspor Fan Token,AFYON-USD,2022-07-02,0.015697,0.016544,0.015157,0.015698,3295.0
18,Afyonspor Fan Token,AFYON-USD,2022-07-03,0.015698,0.016174,0.01495,0.015987,3502.0
19,Afyonspor Fan Token,AFYON-USD,2022-07-04,0.015987,0.016851,0.014868,0.015385,3130.0
20,Afyonspor Fan Token,AFYON-USD,2022-07-05,0.015385,0.01633,0.01447,0.016141,34592.0
21,Afyonspor Fan Token,AFYON-USD,2022-07-06,0.016123,0.016221,0.014225,0.015271,106221.0
22,Afyonspor Fan Token,AFYON-USD,2022-07-07,0.015271,0.015614,0.012242,0.012761,72149.0
23,Afyonspor Fan Token,AFYON-USD,2022-07-08,0.012761,0.013938,0.011841,0.013536,121544.0
24,Afyonspor Fan Token,AFYON-USD,2022-07-09,0.013536,0.015138,0.012673,0.013761,202369.0
25,Afyonspor Fan Token,AFYON-USD,2022-07-10,0.013761,0.01493,0.01148,0.012413,140352.0
26,Afyonspor Fan Token,AFYON-USD,2022-07-11,0.012412,0.014877,0.012306,0.013368,3400.0
27,Afyonspor Fan Token,AFYON-USD,2022-07-12,0.013368,0.013791,0.011514,0.011758,2361.0
28,Afyonspor Fan Token,AFYON-USD,2022-07-13,0.011758,0.012861,0.009988,0.01128,2848.0
29,Afyonspor Fan Token,AFYON-USD,2022-07-14,0.011292,0.011897,0.010641,0.011023,2202.0
30,Afyonspor Fan Token,AFYON-USD,2022-07-15,0.011023,0.012108,0.010416,0.01175,5115.0
31,Afyonspor Fan Token,AFYON-USD,2022-07-16,0.01175,0.012501,0.011012,0.01216,4403.0
32,Afyonspor Fan Token,AFYON-USD,2022-07-17,0.01216,0.012613,0.011658,0.012356,2617.0
33,Afyonspor Fan Token,AFYON-USD,2022-07-18,0.012356,0.012687,0.011683,0.011892,4144.0
34,Afyonspor Fan Token,AFYON-USD,2022-07-19,0.011891,0.013113,0.010744,0.011169,6975.0
35,Afyonspor Fan Token,AFYON-USD,2022-07-20,0.011169,0.012941,0.010497,0.011655,1481.0
36,Afyonspor Fan Token,AFYON-USD,2022-07-21,0.011655,0.012536,0.01047,0.011173,1793.0
37,Afyonspor Fan Token,AFYON-USD,2022-07-22,0.011214,0.011964,0.010667,0.011226,3085.0
