,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Alanyaspor Fan Token,ALA12649-USD,2021-10-13,1.304975,1.404799,1.233387,1.285262,0
1,Alanyaspor Fan Token,ALA12649-USD,2021-10-14,1.285321,1.33283,1.260745,1.305611,0
2,Alanyaspor Fan Token,ALA12649-USD,2021-10-15,1.305265,1.342696,1.208773,1.248726,0
3,Alanyaspor Fan Token,ALA12649-USD,2021-10-16,1.247599,1.29687,1.227677,1.276426,0
4,Alanyaspor Fan Token,ALA12649-USD,2021-10-17,1.27687,1.280323,1.158606,1.197864,0
5,Alanyaspor Fan Token,ALA12649-USD,2021-10-18,1.1975,1.267408,1.178791,1.226541,0
6,Alanyaspor Fan Token,ALA12649-USD,2021-10-19,1.225401,1.251238,1.176154,1.210672,0
7,Alanyaspor Fan Token,ALA12649-USD,2021-10-20,1.211678,1.253542,1.179237,1.23652,0
8,Alanyaspor Fan Token,ALA12649-USD,2021-10-21,1.236806,1.267715,1.165235,1.180997,0
9,Alanyaspor Fan Token,ALA12649-USD,2021-10-22,1.182781,1.408924,1.178122,1.312699,0
10,Alanyaspor Fan Token,ALA12649-USD,2021-10-23,1.311101,1.386226,1.264817,1.336161,0
11,Alanyaspor Fan Token,ALA12649-USD,2021-10-24,1.336925,1.374953,1.265764,1.300231,0
12,Alanyaspor Fan Token,ALA12649-USD,2021-10-25,1.30109,1.421086,1.270661,1.366238,0
13,Alanyaspor Fan Token,ALA12649-USD,2021-10-26,1.366666,1.477096,1.29649,1.356091,0
14,Alanyaspor Fan Token,ALA12649-USD,2021-10-27,1.355026,1.432647,1.101621,1.196434,0
15,Alanyaspor Fan Token,ALA12649-USD,2021-10-28,1.201438,1.315128,1.172071,1.288469,0
16,Alanyaspor Fan Token,ALA12649-USD,2021-10-29,1.288445,1.448596,1.277974,1.3861,0
17,Alanyaspor Fan Token,ALA12649-USD,2021-10-30,1.388299,2.391995,1.317119,1.970941,0
18,Alanyaspor Fan Token,ALA12649-USD,2021-10-31,1.920721,2.169224,1.514484,1.570462,0
19,Alanyaspor Fan Token,ALA12649-USD,2021-11-01,1.570801,1.917678,1.524358,1.684121,0
20,Alanyaspor Fan Token,ALA12649-USD,2021-11-02,1.687288,1.89184,1.661237,1.799892,0
21,Alanyaspor Fan Token,ALA12649-USD,2021-11-03,1.801971,1.837348,1.60384,1.653549,0
22,Alanyaspor Fan Token,ALA12649-USD,2021-11-04,1.657392,1.787441,1.538452,1.602903,54818
23,Alanyaspor Fan Token,ALA12649-USD,2021-11-05,1.602974,1.772719,1.602885,1.667799,60595
24,Alanyaspor Fan Token,ALA12649-USD,2021-11-06,1.667084,1.8761,1.601268,1.772774,99902
25,Alanyaspor Fan Token,ALA12649-USD,2021-11-07,1.773279,1.844651,1.681199,1.740825,60420
26,Alanyaspor Fan Token,ALA12649-USD,2021-11-08,1.738209,1.788993,1.645044,1.711801,57508
27,Alanyaspor Fan Token,ALA12649-USD,2021-11-09,1.712468,1.757056,1.620899,1.647722,60432
28,Alanyaspor Fan Token,ALA12649-USD,2021-11-10,1.647258,1.907802,1.531535,1.666234,59455
29,Alanyaspor Fan Token,ALA12649-USD,2021-11-11,1.672802,1.813864,1.611276,1.794527,59691
30,Alanyaspor Fan Token,ALA12649-USD,2021-11-12,1.791853,1.990302,1.704973,1.958613,63095
31,Alanyaspor Fan Token,ALA12649-USD,2021-11-13,1.958018,2.09853,1.816133,1.856615,65620
32,Alanyaspor Fan Token,ALA12649-USD,2021-11-14,1.854274,1.952459,1.813578,1.917284,60492
33,Alanyaspor Fan Token,ALA12649-USD,2021-11-15,1.917093,2.030975,1.81399,1.840619,66797
34,Alanyaspor Fan Token,ALA12649-USD,2021-11-16,1.835761,1.839654,1.558999,1.696407,60202
35,Alanyaspor Fan Token,ALA12649-USD,2021-11-17,1.6944,1.78735,1.649419,1.70293,61332
36,Alanyaspor Fan Token,ALA12649-USD,2021-11-18,1.702513,1.704838,1.433374,1.483076,50631
37,Alanyaspor Fan Token,ALA12649-USD,2021-11-19,1.484351,1.636402,1.459733,1.582229,54423
38,Alanyaspor Fan Token,ALA12649-USD,2021-11-20,1.583811,1.677731,1.555284,1.636843,54733
39,Alanyaspor Fan Token,ALA12649-USD,2021-11-21,1.640885,1.642648,1.533357,1.535954,52968
40,Alanyaspor Fan Token,ALA12649-USD,2021-11-22,1.534549,1.670068,1.499155,1.543278,54512
41,Alanyaspor Fan Token,ALA12649-USD,2021-11-23,1.54159,1.613345,1.493661,1.551986,51881
42,Alanyaspor Fan Token,ALA12649-USD,2021-11-24,1.551082,1.761377,1.484175,1.516587,51421
43,Alanyaspor Fan Token,ALA12649-USD,2021-11-25,1.675905,1.852196,1.629153,1.778933,68935
44,Alanyaspor Fan Token,ALA12649-USD,2021-11-26,1.735175,1.746015,1.474486,1.519335,50784
45,Alanyaspor Fan Token,ALA12649-USD,2021-11-27,1.521176,1.602442,1.485732,1.53806,48714
46,Alanyaspor Fan Token,ALA12649-USD,2021-11-28,1.538924,1.54698,1.410642,1.533496,3837
47,Alanyaspor Fan Token,ALA12649-USD,2021-11-29,1.529803,2.080547,0.0,1.481342,55286
48,Alanyaspor Fan Token,ALA12649-USD,2021-11-30,1.480958,1.522186,1.259081,1.362305,173184
49,Alanyaspor Fan Token,ALA12649-USD,2021-12-01,1.359028,1.622307,1.023395,1.368801,160032
50,Alanyaspor Fan Token,ALA12649-USD,2021-12-02,1.373028,1.471798,1.244752,1.376125,64411
