,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Alliance Fan Token,ALL-USD,2021-03-18,5.118459,5.124102,5.118459,5.124102,0.0
1,Alliance Fan Token,ALL-USD,2021-03-19,5.127875,6.758384,4.881457,5.660363,0.0
2,Alliance Fan Token,ALL-USD,2021-03-20,5.6662,6.013026,5.285591,5.520088,0.0
3,Alliance Fan Token,ALL-USD,2021-03-21,5.53875,6.128183,5.285388,5.468214,0.0
4,Alliance Fan Token,ALL-USD,2021-03-22,5.465271,6.395671,5.011096,5.612181,0.0
5,Alliance Fan Token,ALL-USD,2021-03-23,5.618856,6.920686,5.071915,5.410307,0.0
6,Alliance Fan Token,ALL-USD,2021-03-24,5.415865,5.941231,4.793423,5.2349,0.0
7,Alliance Fan Token,ALL-USD,2021-03-25,5.236416,5.554133,4.840463,5.317719,0.0
8,Alliance Fan Token,ALL-USD,2021-03-26,5.316848,5.673022,5.095845,5.379576,0.0
9,Alliance Fan Token,ALL-USD,2021-03-27,5.391136,5.484217,4.830068,5.27004,0.0
10,Alliance Fan Token,ALL-USD,2021-03-28,5.267907,5.757274,5.014305,5.757274,0.0
11,Alliance Fan Token,ALL-USD,2021-03-29,5.762262,5.762262,4.811347,5.03282,0.0
12,Alliance Fan Token,ALL-USD,2021-03-30,5.028755,5.377602,4.803983,4.969557,0.0
13,Alliance Fan Token,ALL-USD,2021-03-31,4.966173,5.002582,4.512565,4.83994,0.0
14,Alliance Fan Token,ALL-USD,2021-04-01,4.841048,4.933373,4.544026,4.864755,0.0
15,Alliance Fan Token,ALL-USD,2021-04-02,4.868109,5.313823,4.582348,5.208952,0.0
16,Alliance Fan Token,ALL-USD,2021-04-03,5.210811,5.210811,4.176836,4.379006,0.0
17,Alliance Fan Token,ALL-USD,2021-04-04,4.390486,5.02873,3.967231,4.304468,0.0
18,Alliance Fan Token,ALL-USD,2021-04-05,4.299896,4.582812,3.948484,4.042084,0.0
19,Alliance Fan Token,ALL-USD,2021-04-06,4.044209,4.824049,3.904905,4.255204,0.0
20,Alliance Fan Token,ALL-USD,2021-04-07,4.239934,4.864267,3.570626,4.386312,0.0
21,Alliance Fan Token,ALL-USD,2021-04-08,4.361413,4.871364,4.235949,4.598567,0.0
22,Alliance Fan Token,ALL-USD,2021-04-09,4.599817,4.85418,4.117952,4.53073,0.0
23,Alliance Fan Token,ALL-USD,2021-04-10,4.542347,4.659693,4.30357,4.57994,0.0
24,Alliance Fan Token,ALL-USD,2021-04-11,4.579041,4.650048,4.23436,4.416801,0.0
25,Alliance Fan Token,ALL-USD,2021-04-12,4.419237,5.194704,4.298204,4.76482,0.0
26,Alliance Fan Token,ALL-USD,2021-04-13,4.753561,4.961931,4.217825,4.456564,0.0
