,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Alpine F1 Team Fan Token,ALPINE-USD,2022-02-21,5.178674,8.504996,4.922157,5.336023,404294407.0
1,Alpine F1 Team Fan Token,ALPINE-USD,2022-02-22,5.369745,7.790095,4.460879,4.824648,459390862.0
2,Alpine F1 Team Fan Token,ALPINE-USD,2022-02-23,4.858217,5.454761,4.463217,4.675097,180205071.0
3,Alpine F1 Team Fan Token,ALPINE-USD,2022-02-24,4.674687,4.950579,3.530772,3.86363,98597025.0
4,Alpine F1 Team Fan Token,ALPINE-USD,2022-02-25,3.866829,4.127785,3.658366,3.707155,48300778.0
5,Alpine F1 Team Fan Token,ALPINE-USD,2022-02-26,3.703048,3.885465,3.497734,3.560596,30644801.0
6,Alpine F1 Team Fan Token,ALPINE-USD,2022-02-27,3.551696,3.646491,3.130596,3.224878,42090206.0
7,Alpine F1 Team Fan Token,ALPINE-USD,2022-02-28,3.223716,3.945361,3.219086,3.629164,88962902.0
8,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-01,3.62884,3.713527,3.414177,3.442698,30401310.0
9,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-02,3.440719,3.456564,3.169273,3.275867,17551966.0
10,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-03,3.28088,3.297528,2.942177,3.018948,13306783.0
11,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-04,3.01971,3.169499,2.739538,2.739538,17483619.0
12,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-05,2.743884,2.871449,2.714241,2.84599,10028030.0
13,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-06,2.841731,2.841731,2.435051,2.453161,12825714.0
14,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-07,2.453415,2.48148,2.263711,2.314299,13271130.0
15,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-08,2.314032,3.869649,2.302259,3.343319,332203480.0
16,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-09,3.340224,7.339824,3.230572,5.150942,1166362349.0
17,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-10,5.148738,7.118277,4.873608,6.616772,819667574.0
18,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-11,6.613255,11.388744,5.905126,8.832741,1667735723.0
19,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-12,8.854625,11.475177,8.854625,9.498045,867999853.0
20,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-13,9.528483,10.279394,7.690388,7.80571,326197135.0
21,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-14,7.769886,9.874611,7.453652,8.612189,395506622.0
22,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-15,8.605312,9.587258,8.180833,8.261989,216570331.0
23,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-16,8.258261,9.475349,8.045274,8.823298,294688282.0
24,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-17,8.828674,10.554836,8.573497,9.115969,421118309.0
25,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-18,9.080131,10.01972,8.827776,9.49007,194548177.0
26,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-19,9.491425,10.158428,9.029883,9.143267,147280145.0
27,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-20,9.13207,10.155563,8.837547,9.247467,204945646.0
28,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-21,9.249915,9.442527,8.862615,8.953741,93387556.0
29,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-22,8.943023,9.141608,8.759505,8.846441,72948194.0
30,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-23,8.846921,8.846921,8.212035,8.297528,79471821.0
31,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-24,8.292913,8.453926,7.829023,7.829023,60621977.0
32,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-25,7.83329,8.971814,7.777161,8.435423,116516358.0
33,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-26,8.430623,8.695526,8.197116,8.20724,35125363.0
34,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-27,8.207434,8.329937,7.74629,7.957577,34389684.0
35,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-28,7.951938,8.095895,7.701068,7.735804,40530629.0
36,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-29,7.726428,7.98369,7.434146,7.479312,46509490.0
37,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-30,7.485377,7.604232,7.145797,7.245871,33519174.0
38,Alpine F1 Team Fan Token,ALPINE-USD,2022-03-31,7.250632,8.182899,6.83522,6.893237,73451097.0
39,Alpine F1 Team Fan Token,ALPINE-USD,2022-04-01,6.899399,7.245235,6.675856,6.917982,38812175.0
40,Alpine F1 Team Fan Token,ALPINE-USD,2022-04-02,6.914751,7.358162,6.864212,6.966966,32108738.0
41,Alpine F1 Team Fan Token,ALPINE-USD,2022-04-03,6.961069,7.001889,6.773421,6.929603,12808435.0
