,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Apollon Limassol,APL-USD,2018-07-28,0.001811,0.002048,0.00181,0.002032,81458
1,Apollon Limassol,APL-USD,2018-07-29,0.002039,0.0023,0.001881,0.001985,62846
2,Apollon Limassol,APL-USD,2018-07-30,0.001987,0.00217,0.001698,0.001813,127712
3,Apollon Limassol,APL-USD,2018-07-31,0.001811,0.001947,0.001557,0.001759,47591
4,Apollon Limassol,APL-USD,2018-08-01,0.001744,0.001756,0.001539,0.001614,53847
5,Apollon Limassol,APL-USD,2018-08-02,0.001614,0.00174,0.001536,0.001646,36427
6,Apollon Limassol,APL-USD,2018-08-03,0.001646,0.001646,0.00123,0.001299,76589
7,Apollon Limassol,APL-USD,2018-08-04,0.0013,0.001505,0.001147,0.001214,64694
8,Apollon Limassol,APL-USD,2018-08-05,0.001211,0.001695,0.001147,0.001644,72145
9,Apollon Limassol,APL-USD,2018-08-06,0.001646,0.001731,0.001385,0.00149,43169
10,Apollon Limassol,APL-USD,2018-08-07,0.001454,0.00148,0.001232,0.001334,26777
11,Apollon Limassol,APL-USD,2018-08-08,0.001334,0.001378,0.001194,0.001327,32793
12,Apollon Limassol,APL-USD,2018-08-09,0.001287,0.001337,0.001213,0.001299,29690
13,Apollon Limassol,APL-USD,2018-08-10,0.001297,0.001343,0.001104,0.001192,21366
14,Apollon Limassol,APL-USD,2018-08-11,0.001192,0.001243,0.001047,0.001155,34687
15,Apollon Limassol,APL-USD,2018-08-12,0.001152,0.001179,0.001091,0.001131,20446
16,Apollon Limassol,APL-USD,2018-08-13,0.001132,0.001185,0.000936,0.001019,46813
17,Apollon Limassol,APL-USD,2018-08-14,0.00102,0.001022,0.000823,0.000949,32643
18,Apollon Limassol,APL-USD,2018-08-15,0.000951,0.001008,0.000874,0.000879,31438
19,Apollon Limassol,APL-USD,2018-08-16,0.000878,0.000928,0.00074,0.000831,34633
20,Apollon Limassol,APL-USD,2018-08-17,0.000822,0.000897,0.000716,0.000897,29827
21,Apollon Limassol,APL-USD,2018-08-18,0.000903,0.000972,0.000814,0.000823,19860
22,Apollon Limassol,APL-USD,2018-08-19,0.000823,0.000888,0.000772,0.000839,29324
23,Apollon Limassol,APL-USD,2018-08-20,0.000838,0.000875,0.000775,0.000812,13285
24,Apollon Limassol,APL-USD,2018-08-21,0.00081,0.00093,0.000776,0.000905,29521
25,Apollon Limassol,APL-USD,2018-08-22,0.000905,0.001,0.000798,0.000845,33147
26,Apollon Limassol,APL-USD,2018-08-23,0.000846,0.000907,0.000793,0.000898,17989
27,Apollon Limassol,APL-USD,2018-08-24,0.000899,0.000976,0.000853,0.000947,20240
