,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Argentine Football Association Fan Token,ARG-USD,2021-08-10,4.40662,4.546139,4.253031,4.323743,0.0
1,Argentine Football Association Fan Token,ARG-USD,2021-08-11,4.32846,4.560457,4.07541,4.124887,0.0
2,Argentine Football Association Fan Token,ARG-USD,2021-08-12,4.114869,4.474018,3.850177,4.374158,0.0
3,Argentine Football Association Fan Token,ARG-USD,2021-08-13,4.37169,4.516716,4.020507,4.249332,0.0
4,Argentine Football Association Fan Token,ARG-USD,2021-08-14,4.23871,4.475191,4.079833,4.268337,0.0
5,Argentine Football Association Fan Token,ARG-USD,2021-08-15,4.271932,4.315792,3.998987,4.252678,0.0
6,Argentine Football Association Fan Token,ARG-USD,2021-08-16,4.251673,4.354081,3.870816,4.118728,0.0
7,Argentine Football Association Fan Token,ARG-USD,2021-08-17,4.11064,4.321127,3.857957,3.884941,0.0
8,Argentine Football Association Fan Token,ARG-USD,2021-08-18,3.902783,4.357361,3.783326,4.022471,0.0
9,Argentine Football Association Fan Token,ARG-USD,2021-08-19,4.013055,4.289397,3.862808,4.259347,0.0
10,Argentine Football Association Fan Token,ARG-USD,2021-08-20,4.265192,4.294055,3.900657,4.061116,0.0
11,Argentine Football Association Fan Token,ARG-USD,2021-08-21,4.060941,4.388641,3.937996,4.016444,0.0
12,Argentine Football Association Fan Token,ARG-USD,2021-08-22,3.996937,4.230248,3.923731,4.058147,0.0
13,Argentine Football Association Fan Token,ARG-USD,2021-08-23,4.055318,4.236661,3.91487,4.208388,0.0
14,Argentine Football Association Fan Token,ARG-USD,2021-08-24,4.215353,4.314417,3.844367,3.911237,0.0
15,Argentine Football Association Fan Token,ARG-USD,2021-08-25,3.901597,4.107159,3.767979,3.917113,0.0
16,Argentine Football Association Fan Token,ARG-USD,2021-08-26,3.921105,4.016019,3.651886,3.772388,0.0
17,Argentine Football Association Fan Token,ARG-USD,2021-08-27,3.772916,4.350695,3.603835,4.219925,0.0
18,Argentine Football Association Fan Token,ARG-USD,2021-08-28,4.226461,4.736452,4.011329,4.430605,0.0
19,Argentine Football Association Fan Token,ARG-USD,2021-08-29,4.428467,5.310509,4.274992,5.182658,0.0
20,Argentine Football Association Fan Token,ARG-USD,2021-08-30,5.170475,6.465358,4.89882,5.086263,0.0
21,Argentine Football Association Fan Token,ARG-USD,2021-08-31,5.10483,5.493519,4.838027,5.07143,0.0
