,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,AS Roma Fan Token,ASR-USD,2020-06-21,3.963355,3.971572,3.579402,3.62681,141526.0
1,AS Roma Fan Token,ASR-USD,2020-06-22,3.629675,5.48821,3.540448,4.222416,260060.0
2,AS Roma Fan Token,ASR-USD,2020-06-23,4.209748,4.413908,4.071787,4.247555,386926.0
3,AS Roma Fan Token,ASR-USD,2020-06-24,4.244936,4.637338,3.736383,3.943479,387542.0
4,AS Roma Fan Token,ASR-USD,2020-06-25,3.949352,4.044518,3.811322,3.868794,378485.0
5,AS Roma Fan Token,ASR-USD,2020-06-26,3.868946,3.901975,3.435276,3.545089,344458.0
6,AS Roma Fan Token,ASR-USD,2020-06-27,3.544542,3.732193,3.107878,3.122571,320535.0
7,AS Roma Fan Token,ASR-USD,2020-06-28,3.122571,3.332538,3.028682,3.24238,309251.0
8,AS Roma Fan Token,ASR-USD,2020-06-29,3.24238,3.283293,3.052646,3.213226,301818.0
9,AS Roma Fan Token,ASR-USD,2020-06-30,3.209796,3.274716,3.116935,3.143186,300948.0
10,AS Roma Fan Token,ASR-USD,2020-07-01,3.148983,3.200842,2.907672,2.994761,296491.0
11,AS Roma Fan Token,ASR-USD,2020-07-02,2.995738,3.068815,2.761324,2.775287,270266.0
12,AS Roma Fan Token,ASR-USD,2020-07-03,2.78255,2.88382,2.554038,2.639987,258247.0
13,AS Roma Fan Token,ASR-USD,2020-07-04,2.641721,2.996355,2.619331,2.967716,274314.0
14,AS Roma Fan Token,ASR-USD,2020-07-05,2.966329,3.060164,2.932421,2.938064,244842.0
15,AS Roma Fan Token,ASR-USD,2020-07-06,2.938064,3.005179,2.875624,2.972015,70270.0
16,AS Roma Fan Token,ASR-USD,2020-07-07,2.971556,3.186554,2.678426,2.931317,119180.0
17,AS Roma Fan Token,ASR-USD,2020-07-08,2.931317,3.041105,2.663244,3.010688,42355.0
18,AS Roma Fan Token,ASR-USD,2020-07-09,3.010688,3.076744,2.730994,3.011428,78635.0
19,AS Roma Fan Token,ASR-USD,2020-07-10,3.010054,3.194688,2.778097,3.03746,72875.0
20,AS Roma Fan Token,ASR-USD,2020-07-11,3.03746,3.040946,2.805691,2.837617,21321.0
21,AS Roma Fan Token,ASR-USD,2020-07-12,2.841296,3.3432,2.352426,2.633675,184496.0
22,AS Roma Fan Token,ASR-USD,2020-07-13,2.633675,3.07808,2.604658,2.886041,92411.0
23,AS Roma Fan Token,ASR-USD,2020-07-14,2.886041,2.921452,2.506557,2.894491,96508.0
24,AS Roma Fan Token,ASR-USD,2020-07-15,2.893755,2.966222,2.640143,2.768166,126713.0
25,AS Roma Fan Token,ASR-USD,2020-07-16,2.762826,2.916402,2.606158,2.617151,127337.0
26,AS Roma Fan Token,ASR-USD,2020-07-17,2.616462,2.856645,2.598449,2.666919,104144.0
27,AS Roma Fan Token,ASR-USD,2020-07-18,2.666919,2.710237,2.620793,2.655017,6903.0
28,AS Roma Fan Token,ASR-USD,2020-07-19,2.653075,2.68702,2.42989,2.600539,116179.0
29,AS Roma Fan Token,ASR-USD,2020-07-20,2.600708,3.168171,2.525233,3.15605,100528.0
30,AS Roma Fan Token,ASR-USD,2020-07-21,3.164883,3.253537,3.096324,3.180149,219086.0
31,AS Roma Fan Token,ASR-USD,2020-07-22,3.236088,3.440628,3.12292,3.227101,173839.0
32,AS Roma Fan Token,ASR-USD,2020-07-23,3.227101,3.294333,3.080127,3.293526,57000.0
33,AS Roma Fan Token,ASR-USD,2020-07-24,3.293526,3.293526,3.034991,3.0793,176549.0
34,AS Roma Fan Token,ASR-USD,2020-07-25,3.079139,3.258639,3.033963,3.210203,291021.0
35,AS Roma Fan Token,ASR-USD,2020-07-26,3.21037,3.261849,3.024076,3.100263,293228.0
36,AS Roma Fan Token,ASR-USD,2020-07-27,3.101049,3.267523,2.881355,3.002199,262408.0
37,AS Roma Fan Token,ASR-USD,2020-07-28,3.000257,3.226367,2.969878,3.080294,298513.0
38,AS Roma Fan Token,ASR-USD,2020-07-29,3.078029,3.268243,3.066445,3.13215,299721.0
39,AS Roma Fan Token,ASR-USD,2020-07-30,3.13215,3.586588,3.10373,3.371714,315264.0
40,AS Roma Fan Token,ASR-USD,2020-07-31,3.371714,4.20809,3.371714,3.608503,177399.0
41,AS Roma Fan Token,ASR-USD,2020-08-01,3.619405,3.619405,3.34775,3.424316,333385.0
42,AS Roma Fan Token,ASR-USD,2020-08-02,3.431148,3.50636,3.1657,3.237566,315798.0
43,AS Roma Fan Token,ASR-USD,2020-08-03,3.231736,3.584212,3.190234,3.365583,321247.0
44,AS Roma Fan Token,ASR-USD,2020-08-04,3.36435,3.481178,3.317479,3.422373,327708.0
45,AS Roma Fan Token,ASR-USD,2020-08-05,3.418534,3.560508,3.350675,3.478719,338911.0
46,AS Roma Fan Token,ASR-USD,2020-08-06,3.478719,3.575157,3.4141,3.485845,328455.0
47,AS Roma Fan Token,ASR-USD,2020-08-07,3.49333,3.579844,3.277781,3.439394,332989.0
48,AS Roma Fan Token,ASR-USD,2020-08-08,3.435682,3.509913,3.373247,3.474106,332046.0
49,AS Roma Fan Token,ASR-USD,2020-08-09,3.477067,3.597373,3.434138,3.575023,348169.0
50,AS Roma Fan Token,ASR-USD,2020-08-10,3.575023,3.789568,3.441157,3.687994,343539.0
51,AS Roma Fan Token,ASR-USD,2020-08-11,3.691703,3.758996,3.492696,3.629483,344830.0
52,AS Roma Fan Token,ASR-USD,2020-08-12,3.637741,4.156764,3.558152,4.131902,395302.0
53,AS Roma Fan Token,ASR-USD,2020-08-13,4.137026,4.998158,4.133798,4.650125,467438.0
54,AS Roma Fan Token,ASR-USD,2020-08-14,4.650122,5.025407,4.476297,4.841624,475469.0
55,AS Roma Fan Token,ASR-USD,2020-08-15,4.850782,4.871159,4.53425,4.741516,439130.0
56,AS Roma Fan Token,ASR-USD,2020-08-16,4.737526,5.177801,4.591683,5.045083,473278.0
57,AS Roma Fan Token,ASR-USD,2020-08-17,5.045083,5.337388,4.945643,5.159,494056.0
58,AS Roma Fan Token,ASR-USD,2020-08-18,5.17423,5.816398,4.24431,4.352479,473684.0
59,AS Roma Fan Token,ASR-USD,2020-08-19,4.359656,4.443114,3.755813,3.892465,373107.0
60,AS Roma Fan Token,ASR-USD,2020-08-20,3.892465,4.344447,3.844045,4.234569,397823.0
61,AS Roma Fan Token,ASR-USD,2020-08-21,4.234987,4.383059,3.825467,3.878992,369482.0
62,AS Roma Fan Token,ASR-USD,2020-08-22,3.874787,4.094134,3.818595,4.063642,390068.0
63,AS Roma Fan Token,ASR-USD,2020-08-23,4.056217,4.110193,3.876982,4.036878,379829.0
64,AS Roma Fan Token,ASR-USD,2020-08-24,4.037355,4.271726,3.871021,3.991878,391553.0
65,AS Roma Fan Token,ASR-USD,2020-08-25,3.985545,4.112849,3.584777,3.746825,358371.0
66,AS Roma Fan Token,ASR-USD,2020-08-26,3.746415,3.910145,3.632345,3.730764,364004.0
67,AS Roma Fan Token,ASR-USD,2020-08-27,3.729571,3.762209,3.453865,3.486028,334218.0
68,AS Roma Fan Token,ASR-USD,2020-08-28,3.487392,3.699166,3.386391,3.622594,351466.0
69,AS Roma Fan Token,ASR-USD,2020-08-29,3.618195,3.665327,3.491404,3.53899,338363.0
70,AS Roma Fan Token,ASR-USD,2020-08-30,3.538097,3.555289,3.326415,3.468164,330619.0
71,AS Roma Fan Token,ASR-USD,2020-08-31,3.463586,3.465524,3.372274,3.420658,333280.0
72,AS Roma Fan Token,ASR-USD,2020-09-01,3.41484,3.649044,3.369873,3.446992,329827.0
73,AS Roma Fan Token,ASR-USD,2020-09-02,3.445807,3.446669,3.137737,3.265409,312808.0
74,AS Roma Fan Token,ASR-USD,2020-09-03,3.266766,3.296221,2.558667,2.587546,255602.0
75,AS Roma Fan Token,ASR-USD,2020-09-04,2.587483,2.795205,2.465868,2.727709,265886.0
76,AS Roma Fan Token,ASR-USD,2020-09-05,2.729423,2.761063,2.279212,2.369473,224074.0
77,AS Roma Fan Token,ASR-USD,2020-09-06,2.36809,2.556969,2.272812,2.51109,237831.0
78,AS Roma Fan Token,ASR-USD,2020-09-07,2.51109,2.662611,2.349474,2.552024,249523.0
79,AS Roma Fan Token,ASR-USD,2020-09-08,2.552101,2.637616,2.425095,2.506713,247026.0
80,AS Roma Fan Token,ASR-USD,2020-09-09,2.511305,2.830666,2.45442,2.764207,268673.0
81,AS Roma Fan Token,ASR-USD,2020-09-10,2.764207,2.900287,2.7624,2.82188,273685.0
82,AS Roma Fan Token,ASR-USD,2020-09-11,2.82188,2.939146,2.764002,2.812465,270433.0
