,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Atletico De Madrid Fan Token,ATM-USD,2020-06-21,4.408771,4.547717,3.984181,4.311019,130969.0
1,Atletico De Madrid Fan Token,ATM-USD,2020-06-22,4.314423,5.419477,4.024688,4.863404,177686.0
2,Atletico De Madrid Fan Token,ATM-USD,2020-06-23,4.848812,5.09088,4.757488,4.819938,231702.0
3,Atletico De Madrid Fan Token,ATM-USD,2020-06-24,4.816967,5.001023,4.244399,4.389963,216562.0
4,Atletico De Madrid Fan Token,ATM-USD,2020-06-25,4.396501,4.502245,4.224606,4.249244,206369.0
5,Atletico De Madrid Fan Token,ATM-USD,2020-06-26,4.249411,4.260373,3.893589,4.084789,202205.0
6,Atletico De Madrid Fan Token,ATM-USD,2020-06-27,4.084159,4.184122,3.514132,3.514132,177699.0
7,Atletico De Madrid Fan Token,ATM-USD,2020-06-28,3.514132,3.911493,3.442173,3.885,188879.0
8,Atletico De Madrid Fan Token,ATM-USD,2020-06-29,3.885,3.919137,3.601119,3.785273,185811.0
9,Atletico De Madrid Fan Token,ATM-USD,2020-06-30,3.781232,3.856795,3.66229,3.749925,179528.0
10,Atletico De Madrid Fan Token,ATM-USD,2020-07-01,3.756842,3.783512,2.963955,3.601295,174203.0
11,Atletico De Madrid Fan Token,ATM-USD,2020-07-02,3.602469,3.640805,3.025946,3.174558,155628.0
12,Atletico De Madrid Fan Token,ATM-USD,2020-07-03,3.182866,3.544121,3.009097,3.174839,159325.0
13,Atletico De Madrid Fan Token,ATM-USD,2020-07-04,3.176925,3.406755,3.114297,3.364206,162712.0
14,Atletico De Madrid Fan Token,ATM-USD,2020-07-05,3.362634,3.381891,3.20709,3.299671,154836.0
15,Atletico De Madrid Fan Token,ATM-USD,2020-07-06,3.299671,3.395394,3.23618,3.352678,94632.0
16,Atletico De Madrid Fan Token,ATM-USD,2020-07-07,3.35216,3.409241,3.200821,3.282965,98911.0
17,Atletico De Madrid Fan Token,ATM-USD,2020-07-08,3.282965,3.404109,3.197494,3.297275,52572.0
18,Atletico De Madrid Fan Token,ATM-USD,2020-07-09,3.297183,3.475884,3.192661,3.289143,58951.0
