,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Aston Villa Fan Token,AVL-USD,2021-11-24,1.808366,2.200478,1.804415,2.06026,192191.0
1,Aston Villa Fan Token,AVL-USD,2021-11-25,2.059888,2.232386,1.894371,2.067688,133126.0
2,Aston Villa Fan Token,AVL-USD,2021-11-26,2.157653,2.157653,1.779173,1.810835,88469.0
3,Aston Villa Fan Token,AVL-USD,2021-11-27,1.813029,1.936214,1.676365,1.788721,61409.0
4,Aston Villa Fan Token,AVL-USD,2021-11-28,1.796907,1.796907,1.62326,1.760382,4181.0
5,Aston Villa Fan Token,AVL-USD,2021-11-29,1.761564,4.015319,0.0,1.789572,96072.0
6,Aston Villa Fan Token,AVL-USD,2021-11-30,1.789108,1.911762,1.618291,1.711859,252977.0
7,Aston Villa Fan Token,AVL-USD,2021-12-01,1.709744,1.863705,1.571517,1.625179,250836.0
8,Aston Villa Fan Token,AVL-USD,2021-12-02,1.630199,1.703406,1.54634,1.639498,116603.0
9,Aston Villa Fan Token,AVL-USD,2021-12-03,1.63929,1.749033,1.462247,1.546333,49060.0
10,Aston Villa Fan Token,AVL-USD,2021-12-04,1.546189,1.597637,0.978971,1.396603,149425.0
11,Aston Villa Fan Token,AVL-USD,2021-12-05,1.396092,1.519778,1.220692,1.300087,68517.0
12,Aston Villa Fan Token,AVL-USD,2021-12-06,1.29912,1.403265,1.152633,1.345882,67274.0
13,Aston Villa Fan Token,AVL-USD,2021-12-07,1.344942,1.462108,1.305722,1.339083,69669.0
14,Aston Villa Fan Token,AVL-USD,2021-12-08,1.339253,1.388803,1.247993,1.379177,75404.0
15,Aston Villa Fan Token,AVL-USD,2021-12-09,1.376832,1.434695,1.242498,1.242498,51231.0
16,Aston Villa Fan Token,AVL-USD,2021-12-10,1.243625,1.352562,1.197587,1.210372,139175.0
17,Aston Villa Fan Token,AVL-USD,2021-12-11,1.207835,1.265504,1.173414,1.258655,69008.0
18,Aston Villa Fan Token,AVL-USD,2021-12-12,1.255729,1.334033,1.233075,1.311713,141056.0
19,Aston Villa Fan Token,AVL-USD,2021-12-13,1.312779,1.432658,1.161967,1.228776,163625.0
20,Aston Villa Fan Token,AVL-USD,2021-12-14,1.230115,1.349428,1.149466,1.303438,160718.0
21,Aston Villa Fan Token,AVL-USD,2021-12-15,1.303906,1.354723,1.21258,1.269402,114503.0
22,Aston Villa Fan Token,AVL-USD,2021-12-16,1.269773,1.726306,1.269773,1.409695,135532.0
23,Aston Villa Fan Token,AVL-USD,2021-12-17,1.413257,3.159136,1.313464,2.627079,213717.0
24,Aston Villa Fan Token,AVL-USD,2021-12-18,2.618458,2.973191,2.07561,2.165008,190972.0
