,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,FC Barcelona Fan Token,BAR-USD,2020-06-24,2.539728,8.214714,2.521947,6.739848,2474641.0
1,FC Barcelona Fan Token,BAR-USD,2020-06-25,6.749885,6.821954,6.237892,6.276334,316601.0
2,FC Barcelona Fan Token,BAR-USD,2020-06-26,6.276523,6.360017,5.664151,5.807454,306668.0
3,FC Barcelona Fan Token,BAR-USD,2020-06-27,5.791695,5.997406,5.013621,5.026706,337452.0
4,FC Barcelona Fan Token,BAR-USD,2020-06-28,5.026706,5.214136,4.664291,5.063728,335636.0
5,FC Barcelona Fan Token,BAR-USD,2020-06-29,5.064337,5.089483,4.730464,5.032925,307147.0
6,FC Barcelona Fan Token,BAR-USD,2020-06-30,5.015148,5.063821,4.621241,4.667931,290058.0
7,FC Barcelona Fan Token,BAR-USD,2020-07-01,4.676774,4.796162,4.230808,4.60539,338036.0
8,FC Barcelona Fan Token,BAR-USD,2020-07-02,4.606891,4.613716,4.107598,4.281439,291484.0
9,FC Barcelona Fan Token,BAR-USD,2020-07-03,4.292644,4.394344,3.975382,4.342291,259474.0
10,FC Barcelona Fan Token,BAR-USD,2020-07-04,4.345144,5.172794,4.343824,4.90363,303764.0
11,FC Barcelona Fan Token,BAR-USD,2020-07-05,4.901339,5.053613,4.513487,4.727777,246223.0
12,FC Barcelona Fan Token,BAR-USD,2020-07-06,4.727777,4.851387,4.46243,4.623029,130830.0
13,FC Barcelona Fan Token,BAR-USD,2020-07-07,4.622314,4.721338,4.391121,4.418579,139360.0
14,FC Barcelona Fan Token,BAR-USD,2020-07-08,4.418579,4.583552,4.305237,4.39175,114905.0
15,FC Barcelona Fan Token,BAR-USD,2020-07-09,4.391628,4.63586,4.143087,4.303351,141380.0
16,FC Barcelona Fan Token,BAR-USD,2020-07-10,4.301387,4.394931,4.1585,4.207496,136535.0
17,FC Barcelona Fan Token,BAR-USD,2020-07-11,4.207496,4.366695,3.885274,4.027229,129380.0
18,FC Barcelona Fan Token,BAR-USD,2020-07-12,4.032451,4.474786,3.922096,4.314205,212607.0
19,FC Barcelona Fan Token,BAR-USD,2020-07-13,4.314205,4.516864,3.933639,4.218031,145579.0
20,FC Barcelona Fan Token,BAR-USD,2020-07-14,4.218031,4.371123,4.005734,4.217559,148530.0
21,FC Barcelona Fan Token,BAR-USD,2020-07-15,4.216487,4.338209,4.11373,4.199006,132015.0
22,FC Barcelona Fan Token,BAR-USD,2020-07-16,4.190904,4.281759,3.904145,3.912659,139706.0
23,FC Barcelona Fan Token,BAR-USD,2020-07-17,3.895327,4.072496,3.888553,4.017116,110255.0
24,FC Barcelona Fan Token,BAR-USD,2020-07-18,4.017116,4.076047,3.846839,3.864748,17571.0
25,FC Barcelona Fan Token,BAR-USD,2020-07-19,3.908611,4.025242,3.663019,3.860719,122459.0
26,FC Barcelona Fan Token,BAR-USD,2020-07-20,3.860971,4.276786,3.710245,4.186628,186678.0
27,FC Barcelona Fan Token,BAR-USD,2020-07-21,4.198346,4.499176,3.995629,4.323406,239596.0
28,FC Barcelona Fan Token,BAR-USD,2020-07-22,4.323406,4.467739,4.217211,4.275767,186772.0
29,FC Barcelona Fan Token,BAR-USD,2020-07-23,4.275767,4.370947,4.043528,4.129483,98827.0
30,FC Barcelona Fan Token,BAR-USD,2020-07-24,4.129483,4.227442,3.993992,4.059535,147960.0
31,FC Barcelona Fan Token,BAR-USD,2020-07-25,4.059322,4.158539,3.931867,3.969307,207833.0
