,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Bodrumspor Fan Token,BDRM-USD,2022-06-15,0.196622,0.201302,0.19149,0.195389,2301.0
1,Bodrumspor Fan Token,BDRM-USD,2022-06-16,0.195391,0.199085,0.18407,0.185917,1146.0
2,Bodrumspor Fan Token,BDRM-USD,2022-06-17,0.185915,0.186002,0.16222,0.170257,2145.0
3,Bodrumspor Fan Token,BDRM-USD,2022-06-18,0.170257,0.17279,0.149822,0.152828,3117.0
4,Bodrumspor Fan Token,BDRM-USD,2022-06-19,0.152983,0.157632,0.146308,0.157228,633.0
5,Bodrumspor Fan Token,BDRM-USD,2022-06-20,0.157228,0.159058,0.15117,0.153944,2387.0
6,Bodrumspor Fan Token,BDRM-USD,2022-06-21,0.153952,0.165235,0.151551,0.153482,3981.0
7,Bodrumspor Fan Token,BDRM-USD,2022-06-22,0.153589,0.158756,0.144527,0.145561,1767.0
8,Bodrumspor Fan Token,BDRM-USD,2022-06-23,0.145561,0.158275,0.139444,0.155989,5026.0
9,Bodrumspor Fan Token,BDRM-USD,2022-06-24,0.155989,0.162012,0.13638,0.141001,1496.0
10,Bodrumspor Fan Token,BDRM-USD,2022-06-25,0.141001,0.152921,0.136571,0.143258,277.0
11,Bodrumspor Fan Token,BDRM-USD,2022-06-26,0.143258,0.144336,0.134822,0.137031,5414.0
12,Bodrumspor Fan Token,BDRM-USD,2022-06-27,0.137119,0.142022,0.133063,0.135918,1673.0
13,Bodrumspor Fan Token,BDRM-USD,2022-06-28,0.135918,0.143867,0.129642,0.130273,3437.0
14,Bodrumspor Fan Token,BDRM-USD,2022-06-29,0.130273,0.14111,0.12552,0.127792,16154.0
15,Bodrumspor Fan Token,BDRM-USD,2022-06-30,0.127792,0.146034,0.120027,0.141242,22443.0
16,Bodrumspor Fan Token,BDRM-USD,2022-07-01,0.141242,0.143362,0.122362,0.136146,21566.0
17,Bodrumspor Fan Token,BDRM-USD,2022-07-02,0.136146,0.137827,0.127402,0.129687,18676.0
18,Bodrumspor Fan Token,BDRM-USD,2022-07-03,0.129688,0.132301,0.122624,0.128433,22217.0
19,Bodrumspor Fan Token,BDRM-USD,2022-07-04,0.128433,0.133108,0.123551,0.126026,22623.0
20,Bodrumspor Fan Token,BDRM-USD,2022-07-05,0.126026,0.135993,0.123955,0.131546,23185.0
21,Bodrumspor Fan Token,BDRM-USD,2022-07-06,0.1314,0.131792,0.115039,0.117889,20196.0
22,Bodrumspor Fan Token,BDRM-USD,2022-07-07,0.117889,0.121527,0.098757,0.102191,16371.0
23,Bodrumspor Fan Token,BDRM-USD,2022-07-08,0.102191,0.116895,0.099053,0.112736,15075.0
24,Bodrumspor Fan Token,BDRM-USD,2022-07-09,0.112736,0.134349,0.107809,0.122241,17705.0
25,Bodrumspor Fan Token,BDRM-USD,2022-07-10,0.12224,0.128491,0.115615,0.117142,20316.0
26,Bodrumspor Fan Token,BDRM-USD,2022-07-11,0.117141,0.128577,0.049075,0.116963,20168.0
27,Bodrumspor Fan Token,BDRM-USD,2022-07-12,0.116963,0.121406,0.101572,0.106813,347.0
28,Bodrumspor Fan Token,BDRM-USD,2022-07-13,0.106814,0.114434,0.096381,0.106976,2445.0
29,Bodrumspor Fan Token,BDRM-USD,2022-07-14,0.10709,0.110869,0.092084,0.092199,7661.0
30,Bodrumspor Fan Token,BDRM-USD,2022-07-15,0.092199,0.103027,0.081114,0.100885,4714.0
31,Bodrumspor Fan Token,BDRM-USD,2022-07-16,0.100885,0.101013,0.080561,0.088418,3435.0
32,Bodrumspor Fan Token,BDRM-USD,2022-07-17,0.088418,0.094885,0.080681,0.082534,1459.0
33,Bodrumspor Fan Token,BDRM-USD,2022-07-18,0.082534,0.086502,0.077798,0.07905,1424.0
34,Bodrumspor Fan Token,BDRM-USD,2022-07-19,0.079041,0.082256,0.062574,0.063498,2899.0
35,Bodrumspor Fan Token,BDRM-USD,2022-07-20,0.063498,0.082841,0.057581,0.073139,4225.0
36,Bodrumspor Fan Token,BDRM-USD,2022-07-21,0.073139,0.073678,0.058525,0.068404,4923.0
37,Bodrumspor Fan Token,BDRM-USD,2022-07-22,0.068658,0.070769,0.058208,0.058887,3952.0
38,Bodrumspor Fan Token,BDRM-USD,2022-07-23,0.058888,0.068559,0.054399,0.055172,9048.0
39,Bodrumspor Fan Token,BDRM-USD,2022-07-24,0.055172,0.059459,0.052775,0.05769,9810.0
40,Bodrumspor Fan Token,BDRM-USD,2022-07-25,0.05769,0.066432,0.049656,0.055506,8893.0
41,Bodrumspor Fan Token,BDRM-USD,2022-07-26,0.055505,0.064506,0.049142,0.050719,10000.0
42,Bodrumspor Fan Token,BDRM-USD,2022-07-27,0.050764,0.059876,0.047181,0.048974,9259.0
43,Bodrumspor Fan Token,BDRM-USD,2022-07-28,0.048974,0.051559,0.048356,0.049994,8521.0
44,Bodrumspor Fan Token,BDRM-USD,2022-07-29,0.049994,0.054522,0.045696,0.048711,9171.0
45,Bodrumspor Fan Token,BDRM-USD,2022-07-30,0.048713,0.051589,0.045189,0.045633,8526.0
46,Bodrumspor Fan Token,BDRM-USD,2022-07-31,0.045674,0.050749,0.038073,0.043509,1880.0
47,Bodrumspor Fan Token,BDRM-USD,2022-08-01,0.043509,0.04843,0.043231,0.045713,3140.0
48,Bodrumspor Fan Token,BDRM-USD,2022-08-02,0.045704,0.048762,0.037404,0.040234,6146.0
49,Bodrumspor Fan Token,BDRM-USD,2022-08-03,0.040234,0.052882,0.036509,0.037055,6881.0
50,Bodrumspor Fan Token,BDRM-USD,2022-08-04,0.037055,0.052408,0.036735,0.044124,1442.0
51,Bodrumspor Fan Token,BDRM-USD,2022-08-05,0.044124,0.056975,0.0416,0.042563,1770.0
52,Bodrumspor Fan Token,BDRM-USD,2022-08-06,0.042563,0.056349,0.040024,0.045809,2270.0
53,Bodrumspor Fan Token,BDRM-USD,2022-08-07,0.046513,0.054065,0.041835,0.046648,5164.0
54,Bodrumspor Fan Token,BDRM-USD,2022-08-08,0.046648,0.048654,0.043818,0.045685,6195.0
55,Bodrumspor Fan Token,BDRM-USD,2022-08-09,0.045685,0.046971,0.039797,0.041498,8579.0
56,Bodrumspor Fan Token,BDRM-USD,2022-08-10,0.041498,0.044797,0.039064,0.039725,4998.0
