,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Brazil National Football Team Fan Token,BFT-USD,2018-05-07,0.320121,0.321893,0.297061,0.302592,39113200
1,Brazil National Football Team Fan Token,BFT-USD,2018-05-08,0.303778,0.350301,0.303766,0.318503,107745000
2,Brazil National Football Team Fan Token,BFT-USD,2018-05-09,0.318246,0.320921,0.294095,0.300916,58291800
3,Brazil National Football Team Fan Token,BFT-USD,2018-05-10,0.299952,0.323216,0.283062,0.283062,5648240
4,Brazil National Football Team Fan Token,BFT-USD,2018-05-11,0.283161,0.283161,0.219673,0.251163,5105630
5,Brazil National Football Team Fan Token,BFT-USD,2018-05-12,0.250127,0.250127,0.203892,0.235712,4081430
6,Brazil National Football Team Fan Token,BFT-USD,2018-05-13,0.235707,0.288967,0.234266,0.266414,4518860
7,Brazil National Football Team Fan Token,BFT-USD,2018-05-14,0.265962,0.28014,0.243778,0.259775,5089690
8,Brazil National Football Team Fan Token,BFT-USD,2018-05-15,0.259657,0.266825,0.246468,0.247986,3446930
9,Brazil National Football Team Fan Token,BFT-USD,2018-05-16,0.24783,0.248059,0.225769,0.234026,3987820
10,Brazil National Football Team Fan Token,BFT-USD,2018-05-17,0.233669,0.242353,0.225318,0.225318,3333110
11,Brazil National Football Team Fan Token,BFT-USD,2018-05-18,0.225529,0.225576,0.208994,0.218486,3362210
12,Brazil National Football Team Fan Token,BFT-USD,2018-05-19,0.218365,0.220282,0.209219,0.214121,3764570
13,Brazil National Football Team Fan Token,BFT-USD,2018-05-20,0.214311,0.235197,0.211661,0.233182,3453950
14,Brazil National Football Team Fan Token,BFT-USD,2018-05-21,0.234786,0.238801,0.213741,0.216361,2607300
15,Brazil National Football Team Fan Token,BFT-USD,2018-05-22,0.216479,0.226426,0.203386,0.211538,3013710
16,Brazil National Football Team Fan Token,BFT-USD,2018-05-23,0.21161,0.219263,0.181289,0.203162,3501450
17,Brazil National Football Team Fan Token,BFT-USD,2018-05-24,0.204944,0.211963,0.178568,0.187726,3046250
18,Brazil National Football Team Fan Token,BFT-USD,2018-05-25,0.188476,0.204514,0.168089,0.204514,3154730
19,Brazil National Football Team Fan Token,BFT-USD,2018-05-26,0.205497,0.227112,0.178671,0.192213,8613110
20,Brazil National Football Team Fan Token,BFT-USD,2018-05-27,0.190327,0.199549,0.182808,0.19245,4091230
21,Brazil National Football Team Fan Token,BFT-USD,2018-05-28,0.192462,0.200186,0.174247,0.180369,4008420
22,Brazil National Football Team Fan Token,BFT-USD,2018-05-29,0.180047,0.220665,0.171378,0.195539,7450990
