,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Baskonia Fan Token,BKN-USD,2022-06-13,0.236801,0.278105,0.112485,0.214994,447523.0
1,Baskonia Fan Token,BKN-USD,2022-06-14,0.214995,0.244178,0.146148,0.208587,1744433.0
2,Baskonia Fan Token,BKN-USD,2022-06-15,0.208587,0.215102,0.143641,0.180855,1560624.0
3,Baskonia Fan Token,BKN-USD,2022-06-16,0.180855,0.194546,0.178226,0.18573,711082.0
4,Baskonia Fan Token,BKN-USD,2022-06-17,0.185729,0.193539,0.176018,0.190249,554481.0
5,Baskonia Fan Token,BKN-USD,2022-06-18,0.190249,0.22192,0.180875,0.191419,922870.0
6,Baskonia Fan Token,BKN-USD,2022-06-19,0.191613,0.213088,0.178397,0.209483,5965.0
7,Baskonia Fan Token,BKN-USD,2022-06-20,0.209482,0.224149,0.196543,0.197198,11033.0
8,Baskonia Fan Token,BKN-USD,2022-06-21,0.197209,0.21184,0.196322,0.205752,8100.0
9,Baskonia Fan Token,BKN-USD,2022-06-22,0.205895,0.224394,0.188405,0.188695,3230.0
10,Baskonia Fan Token,BKN-USD,2022-06-23,0.188695,0.210021,0.163988,0.165781,8428.0
11,Baskonia Fan Token,BKN-USD,2022-06-24,0.165781,0.182124,0.165341,0.170549,2414.0
12,Baskonia Fan Token,BKN-USD,2022-06-25,0.170549,0.172369,0.163271,0.166127,5951.0
13,Baskonia Fan Token,BKN-USD,2022-06-26,0.166127,0.183641,0.16386,0.183275,5275.0
14,Baskonia Fan Token,BKN-USD,2022-06-27,0.183387,0.184578,0.163064,0.169565,72.0
15,Baskonia Fan Token,BKN-USD,2022-06-28,0.169565,0.181241,0.165089,0.173754,11249.0
16,Baskonia Fan Token,BKN-USD,2022-06-29,0.173754,0.176412,0.138554,0.145988,19544.0
17,Baskonia Fan Token,BKN-USD,2022-06-30,0.145988,0.159065,0.137759,0.157603,2376.0
18,Baskonia Fan Token,BKN-USD,2022-07-01,0.157603,0.15877,0.130691,0.133867,41033.0
19,Baskonia Fan Token,BKN-USD,2022-07-02,0.133867,0.144112,0.110845,0.110845,61532.0
20,Baskonia Fan Token,BKN-USD,2022-07-03,0.110846,0.135705,0.103855,0.113923,3289.0
21,Baskonia Fan Token,BKN-USD,2022-07-04,0.113923,0.136606,0.106238,0.114387,805.0
22,Baskonia Fan Token,BKN-USD,2022-07-05,0.114387,0.125571,0.105511,0.108322,36843.0
23,Baskonia Fan Token,BKN-USD,2022-07-06,0.108201,0.125939,0.099102,0.110901,44437.0
24,Baskonia Fan Token,BKN-USD,2022-07-07,0.110901,0.111516,0.076701,0.082836,40117.0
25,Baskonia Fan Token,BKN-USD,2022-07-08,0.082836,0.088845,0.06867,0.073253,21919.0
26,Baskonia Fan Token,BKN-USD,2022-07-09,0.073253,0.09185,0.071937,0.081766,10169.0
27,Baskonia Fan Token,BKN-USD,2022-07-10,0.081765,0.089566,0.077314,0.080116,31930.0
