,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Club Atletico Independiente,CAI-USD,2020-11-10,0.76091,0.769074,0.729512,0.75683,37515.0
1,Club Atletico Independiente,CAI-USD,2020-11-11,0.756785,0.769484,0.738912,0.740603,35981.0
2,Club Atletico Independiente,CAI-USD,2020-11-12,0.740612,0.759556,0.715729,0.727361,31875.0
3,Club Atletico Independiente,CAI-USD,2020-11-13,0.727366,0.774031,0.727354,0.74605,36780.0
4,Club Atletico Independiente,CAI-USD,2020-11-14,0.746048,0.749423,0.703715,0.725603,42067.0
5,Club Atletico Independiente,CAI-USD,2020-11-15,0.725643,0.74432,0.698712,0.703918,35033.0
6,Club Atletico Independiente,CAI-USD,2020-11-16,0.703914,0.784107,0.692349,0.769479,42190.0
7,Club Atletico Independiente,CAI-USD,2020-11-17,0.778546,0.791914,0.729584,0.761352,35938.0
8,Club Atletico Independiente,CAI-USD,2020-11-18,0.761412,0.770205,0.708108,0.734334,35096.0
9,Club Atletico Independiente,CAI-USD,2020-11-19,0.734408,0.742241,0.702135,0.714423,34994.0
10,Club Atletico Independiente,CAI-USD,2020-11-20,0.71438,0.752064,0.713677,0.736742,35325.0
11,Club Atletico Independiente,CAI-USD,2020-11-21,0.736721,0.778015,0.731495,0.771172,38397.0
12,Club Atletico Independiente,CAI-USD,2020-11-22,0.771179,0.773312,0.723246,0.743309,36860.0
13,Club Atletico Independiente,CAI-USD,2020-11-23,0.742876,0.823589,0.704746,0.768163,42125.0
14,Club Atletico Independiente,CAI-USD,2020-11-24,0.768501,0.854242,0.641884,0.731228,40137.0
15,Club Atletico Independiente,CAI-USD,2020-11-25,0.731424,0.807942,0.621532,0.744737,43036.0
16,Club Atletico Independiente,CAI-USD,2020-11-26,0.747383,0.772945,0.560543,0.642614,37062.0
17,Club Atletico Independiente,CAI-USD,2020-11-27,0.643198,0.656684,0.572261,0.615597,29939.0
18,Club Atletico Independiente,CAI-USD,2020-11-28,0.61587,0.643103,0.465382,0.598877,31031.0
