,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Deportivo Alaves Fan Token,DAFT22523-USD,2023-03-22,0.007578,0.007676,0.007512,0.007577,82804.0
1,Deportivo Alaves Fan Token,DAFT22523-USD,2023-03-23,0.007577,0.007662,0.007501,0.007643,69012.0
2,Deportivo Alaves Fan Token,DAFT22523-USD,2023-03-24,0.007644,0.007665,0.007495,0.007617,35585.0
3,Deportivo Alaves Fan Token,DAFT22523-USD,2023-03-25,0.007617,0.007643,0.007488,0.007536,40354.0
4,Deportivo Alaves Fan Token,DAFT22523-USD,2023-03-26,0.007536,0.007723,0.007495,0.007618,54881.0
5,Deportivo Alaves Fan Token,DAFT22523-USD,2023-03-27,0.007618,0.007722,0.007576,0.007634,56242.0
6,Deportivo Alaves Fan Token,DAFT22523-USD,2023-03-28,0.007635,0.007756,0.00757,0.007608,51985.0
7,Deportivo Alaves Fan Token,DAFT22523-USD,2023-03-29,0.007608,0.007716,0.007361,0.007463,53379.0
8,Deportivo Alaves Fan Token,DAFT22523-USD,2023-03-30,0.007464,0.0075,0.007352,0.007389,52756.0
9,Deportivo Alaves Fan Token,DAFT22523-USD,2023-03-31,0.007389,0.007449,0.006925,0.007083,50448.0
10,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-01,0.007083,0.007116,0.006994,0.007076,51752.0
11,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-02,0.0071,0.007118,0.00631,0.00639,38944.0
12,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-03,0.006388,0.006454,0.006174,0.006267,43636.0
13,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-04,0.006267,0.006335,0.006164,0.006243,38805.0
14,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-05,0.006243,0.006576,0.006202,0.006532,45338.0
15,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-06,0.006532,0.006979,0.006375,0.006584,47519.0
16,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-07,0.006583,0.00669,0.006317,0.006383,40847.0
17,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-08,0.006382,0.006452,0.006155,0.006192,41222.0
18,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-09,0.006193,0.006371,0.006191,0.006359,41341.0
19,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-10,0.006359,0.006691,0.00623,0.006557,42709.0
20,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-11,0.006558,0.006815,0.006556,0.006594,46700.0
21,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-12,0.006594,0.007657,0.006587,0.00753,57369.0
22,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-13,0.007446,0.007572,0.007301,0.00757,55873.0
23,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-14,0.00757,0.007616,0.005952,0.006408,49260.0
24,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-15,0.006408,0.006628,0.006329,0.006558,47255.0
25,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-16,0.006558,0.006628,0.006328,0.00643,46886.0
26,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-17,0.00643,0.006665,0.006364,0.00643,44903.0
27,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-18,0.00643,0.0065,0.006241,0.006346,45210.0
28,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-19,0.006346,0.006459,0.006162,0.00631,44437.0
29,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-20,0.00631,0.006416,0.006237,0.006415,43717.0
30,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-21,0.006415,0.006417,0.006275,0.006347,42771.0
31,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-22,0.006347,0.006493,0.006275,0.006356,42939.0
32,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-23,0.006356,0.006494,0.006355,0.006422,43475.0
33,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-24,0.006423,0.007374,0.006355,0.007192,54091.0
34,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-25,0.007192,0.007265,0.007068,0.007141,51577.0
35,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-26,0.007141,0.007216,0.006949,0.006951,41435.0
36,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-27,0.006951,0.007174,0.006783,0.006784,27342.0
37,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-28,0.006784,0.006939,0.006704,0.006773,17924.0
38,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-29,0.006774,0.006848,0.006705,0.006775,9783.0
39,Deportivo Alaves Fan Token,DAFT22523-USD,2023-04-30,0.006775,0.006848,0.006704,0.006842,9053.0
40,Deportivo Alaves Fan Token,DAFT22523-USD,2023-05-01,0.006842,0.006846,0.006698,0.00677,10134.0
41,Deportivo Alaves Fan Token,DAFT22523-USD,2023-05-02,0.006771,0.006846,0.0067,0.00684,10148.0
42,Deportivo Alaves Fan Token,DAFT22523-USD,2023-05-03,0.006841,0.0074,0.006693,0.00677,12389.0
43,Deportivo Alaves Fan Token,DAFT22523-USD,2023-05-04,0.00677,0.006879,0.006615,0.006877,13265.0
44,Deportivo Alaves Fan Token,DAFT22523-USD,2023-05-05,0.006877,0.006878,0.006647,0.006713,14043.0
45,Deportivo Alaves Fan Token,DAFT22523-USD,2023-05-06,,,,,
46,Deportivo Alaves Fan Token,DAFT22523-USD,2023-05-07,0.006557,0.006631,0.00649,0.006554,9676.0
