,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Davis Cup Fan Token,DAVIS-USD,2021-11-24,5.18146,6.052445,5.140161,5.575832,1432054.0
1,Davis Cup Fan Token,DAVIS-USD,2021-11-25,5.576635,6.364936,5.37784,5.929778,1559893.0
2,Davis Cup Fan Token,DAVIS-USD,2021-11-26,5.713505,5.749198,4.824039,4.999673,17623.0
3,Davis Cup Fan Token,DAVIS-USD,2021-11-27,5.005729,5.660969,4.900863,5.036074,8615.0
4,Davis Cup Fan Token,DAVIS-USD,2021-11-28,5.059123,5.160748,4.616273,5.006226,85.0
5,Davis Cup Fan Token,DAVIS-USD,2021-11-29,5.009588,5.700322,0.0,4.324415,8267.0
6,Davis Cup Fan Token,DAVIS-USD,2021-11-30,4.323294,4.616938,3.575284,3.97239,236516.0
7,Davis Cup Fan Token,DAVIS-USD,2021-12-01,3.967484,4.206203,3.460877,3.650135,21257.0
8,Davis Cup Fan Token,DAVIS-USD,2021-12-02,3.661409,3.679968,3.340757,3.620384,6048.0
9,Davis Cup Fan Token,DAVIS-USD,2021-12-03,3.619923,3.766519,3.196838,3.274124,4837.0
10,Davis Cup Fan Token,DAVIS-USD,2021-12-04,3.273819,3.424386,2.104058,2.759225,2758.0
11,Davis Cup Fan Token,DAVIS-USD,2021-12-05,2.758215,2.877728,2.43282,2.542958,9163.0
12,Davis Cup Fan Token,DAVIS-USD,2021-12-06,2.541067,2.62648,2.18266,2.482476,8034.0
13,Davis Cup Fan Token,DAVIS-USD,2021-12-07,2.480742,2.769567,2.382169,2.461362,1273.0
14,Davis Cup Fan Token,DAVIS-USD,2021-12-08,2.456506,2.578376,2.335052,2.516916,770.0
15,Davis Cup Fan Token,DAVIS-USD,2021-12-09,2.512635,2.551055,2.264505,2.264505,628.0
16,Davis Cup Fan Token,DAVIS-USD,2021-12-10,2.266559,2.420614,2.095069,2.107471,10884.0
17,Davis Cup Fan Token,DAVIS-USD,2021-12-11,2.103054,2.257484,2.084838,2.159399,9341.0
18,Davis Cup Fan Token,DAVIS-USD,2021-12-12,2.154379,2.428177,2.145556,2.231734,19726.0
19,Davis Cup Fan Token,DAVIS-USD,2021-12-13,2.233548,2.283078,1.927674,2.151712,17020.0
20,Davis Cup Fan Token,DAVIS-USD,2021-12-14,2.154055,2.23949,1.913267,1.937015,7274.0
21,Davis Cup Fan Token,DAVIS-USD,2021-12-15,1.93771,2.228716,1.901285,2.166293,27866.0
22,Davis Cup Fan Token,DAVIS-USD,2021-12-16,2.166926,2.262559,2.033673,2.083897,19796.0
23,Davis Cup Fan Token,DAVIS-USD,2021-12-17,2.089163,2.152054,1.867981,2.060506,23462.0
24,Davis Cup Fan Token,DAVIS-USD,2021-12-18,2.053745,2.72132,1.946013,2.189518,38513.0
25,Davis Cup Fan Token,DAVIS-USD,2021-12-19,2.189893,2.511437,2.122447,2.341097,23557.0
26,Davis Cup Fan Token,DAVIS-USD,2021-12-20,2.343692,2.494218,2.054548,2.485161,38378.0
27,Davis Cup Fan Token,DAVIS-USD,2021-12-21,2.487425,2.95193,2.199824,2.521839,26155.0
28,Davis Cup Fan Token,DAVIS-USD,2021-12-22,2.52245,3.623256,2.447115,3.08409,40582.0
29,Davis Cup Fan Token,DAVIS-USD,2021-12-23,3.085244,4.673082,2.750842,3.441918,46405.0
30,Davis Cup Fan Token,DAVIS-USD,2021-12-24,3.439356,10.688299,3.363552,3.860397,62519.0
31,Davis Cup Fan Token,DAVIS-USD,2021-12-25,3.860585,6.343236,3.815244,5.266536,102908.0
32,Davis Cup Fan Token,DAVIS-USD,2021-12-26,5.250097,5.891388,4.612716,4.924224,56099.0
33,Davis Cup Fan Token,DAVIS-USD,2021-12-27,4.925656,8.122313,4.634114,5.666892,39200.0
34,Davis Cup Fan Token,DAVIS-USD,2021-12-28,5.661062,16.639977,5.016248,7.846731,65251.0
35,Davis Cup Fan Token,DAVIS-USD,2021-12-29,7.840966,8.893646,6.336459,6.978736,46116.0
36,Davis Cup Fan Token,DAVIS-USD,2021-12-30,6.965507,9.808245,5.481868,5.947067,43055.0
37,Davis Cup Fan Token,DAVIS-USD,2021-12-31,5.939621,7.128255,5.584581,6.255873,3286.0
38,Davis Cup Fan Token,DAVIS-USD,2022-01-01,6.256284,6.619368,5.425253,5.760268,6246.0
39,Davis Cup Fan Token,DAVIS-USD,2022-01-02,5.759711,6.220526,5.746011,5.91158,3108.0
40,Davis Cup Fan Token,DAVIS-USD,2022-01-03,5.911469,6.187168,5.634637,5.732306,1495.0
41,Davis Cup Fan Token,DAVIS-USD,2022-01-04,5.731791,5.954223,5.439422,5.447205,3147.0
42,Davis Cup Fan Token,DAVIS-USD,2022-01-05,5.447507,5.943548,4.279645,4.708871,15831.0
43,Davis Cup Fan Token,DAVIS-USD,2022-01-06,4.708508,5.640751,4.674342,5.298898,18222.0
44,Davis Cup Fan Token,DAVIS-USD,2022-01-07,5.298301,5.587463,4.740896,4.913931,30009.0
45,Davis Cup Fan Token,DAVIS-USD,2022-01-08,4.914339,5.441645,4.582603,4.978505,24103.0
46,Davis Cup Fan Token,DAVIS-USD,2022-01-09,4.97838,5.378617,4.724544,5.133678,7150.0
