,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Dinamo Zagreb Fan Token,DZG-USD,2021-11-24,1.079288,1.168922,1.039409,1.13168,38872.0
1,Dinamo Zagreb Fan Token,DZG-USD,2021-11-25,1.131843,1.231328,1.022007,1.12408,38070.0
2,Dinamo Zagreb Fan Token,DZG-USD,2021-11-26,1.076312,1.090643,0.946244,1.005234,29356.0
3,Dinamo Zagreb Fan Token,DZG-USD,2021-11-27,1.007001,1.066191,0.927218,0.967961,27929.0
4,Dinamo Zagreb Fan Token,DZG-USD,2021-11-28,0.967961,0.988672,0.887273,0.962224,2457.0
5,Dinamo Zagreb Fan Token,DZG-USD,2021-11-29,0.96287,1.425032,0.0,0.979894,42742.0
6,Dinamo Zagreb Fan Token,DZG-USD,2021-11-30,0.97964,1.02814,0.903083,0.943717,125734.0
7,Dinamo Zagreb Fan Token,DZG-USD,2021-12-01,0.943717,1.016705,0.891078,0.974203,116160.0
8,Dinamo Zagreb Fan Token,DZG-USD,2021-12-02,0.973369,0.979021,0.892937,0.927223,51014.0
9,Dinamo Zagreb Fan Token,DZG-USD,2021-12-03,0.927105,1.166933,0.885016,0.950815,26357.0
10,Dinamo Zagreb Fan Token,DZG-USD,2021-12-04,0.950679,0.980783,0.594201,0.880098,31249.0
11,Dinamo Zagreb Fan Token,DZG-USD,2021-12-05,0.879775,0.90647,0.732887,0.774315,25841.0
12,Dinamo Zagreb Fan Token,DZG-USD,2021-12-06,0.775025,0.815867,0.692702,0.798514,17793.0
13,Dinamo Zagreb Fan Token,DZG-USD,2021-12-07,0.797956,0.847703,0.733884,0.76519,10885.0
14,Dinamo Zagreb Fan Token,DZG-USD,2021-12-08,0.765287,0.826392,0.736751,0.813615,35626.0
15,Dinamo Zagreb Fan Token,DZG-USD,2021-12-09,0.812232,0.849132,0.728763,0.840251,27045.0
16,Dinamo Zagreb Fan Token,DZG-USD,2021-12-10,0.841013,0.90354,0.731664,0.805965,40154.0
17,Dinamo Zagreb Fan Token,DZG-USD,2021-12-11,0.804276,0.888643,0.768305,0.867935,42500.0
18,Dinamo Zagreb Fan Token,DZG-USD,2021-12-12,0.865918,0.90455,0.822786,0.838039,62915.0
19,Dinamo Zagreb Fan Token,DZG-USD,2021-12-13,0.83872,0.884196,0.730578,0.755129,59759.0
20,Dinamo Zagreb Fan Token,DZG-USD,2021-12-14,0.755952,0.940124,0.73478,0.759176,63674.0
21,Dinamo Zagreb Fan Token,DZG-USD,2021-12-15,0.759448,0.842912,0.708118,0.785138,48076.0
22,Dinamo Zagreb Fan Token,DZG-USD,2021-12-16,0.785367,0.844765,0.734249,0.746637,8884.0
23,Dinamo Zagreb Fan Token,DZG-USD,2021-12-17,0.748524,0.868301,0.712704,0.855204,32027.0
24,Dinamo Zagreb Fan Token,DZG-USD,2021-12-18,0.852397,0.877002,0.77417,0.816984,16414.0
25,Dinamo Zagreb Fan Token,DZG-USD,2021-12-19,0.817124,0.93893,0.798351,0.851308,12499.0
26,Dinamo Zagreb Fan Token,DZG-USD,2021-12-20,0.852251,0.889099,0.768085,0.823043,29032.0
