,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Everton Fan Token,EFC-USD,2021-11-24,2.213973,2.424606,2.159463,2.415352,91001.0
1,Everton Fan Token,EFC-USD,2021-11-25,2.426829,2.661435,2.299703,2.490507,109451.0
2,Everton Fan Token,EFC-USD,2021-11-26,2.454393,2.469726,2.076947,2.142086,145007.0
3,Everton Fan Token,EFC-USD,2021-11-27,2.144681,2.275048,1.962756,2.092045,60398.0
4,Everton Fan Token,EFC-USD,2021-11-28,2.10162,2.135086,1.917655,2.079646,4284.0
5,Everton Fan Token,EFC-USD,2021-11-29,2.081042,2.516619,0.0,2.179105,98767.0
6,Everton Fan Token,EFC-USD,2021-11-30,2.175445,2.240089,1.973109,2.021829,481329.0
7,Everton Fan Token,EFC-USD,2021-12-01,2.030717,2.115927,1.937668,1.977157,337833.0
8,Everton Fan Token,EFC-USD,2021-12-02,1.983263,1.989268,1.872974,1.934524,177415.0
9,Everton Fan Token,EFC-USD,2021-12-03,1.934278,1.978363,1.721287,1.814575,112814.0
10,Everton Fan Token,EFC-USD,2021-12-04,1.814406,1.826572,1.093428,1.566506,86164.0
11,Everton Fan Token,EFC-USD,2021-12-05,1.565932,1.644265,1.377584,1.417699,188446.0
12,Everton Fan Token,EFC-USD,2021-12-06,1.416645,1.49204,1.252347,1.452136,105220.0
13,Everton Fan Token,EFC-USD,2021-12-07,1.451122,1.555007,1.401091,1.437704,120276.0
14,Everton Fan Token,EFC-USD,2021-12-08,1.438102,1.50231,1.356862,1.501551,101136.0
15,Everton Fan Token,EFC-USD,2021-12-09,1.498997,1.521917,1.331522,1.334866,79930.0
16,Everton Fan Token,EFC-USD,2021-12-10,1.336077,1.407613,1.282522,1.290114,88849.0
17,Everton Fan Token,EFC-USD,2021-12-11,1.28741,1.347754,1.256158,1.330238,38785.0
18,Everton Fan Token,EFC-USD,2021-12-12,1.327145,1.424127,1.313824,1.384586,131024.0
19,Everton Fan Token,EFC-USD,2021-12-13,1.385711,1.410685,1.213383,1.22607,59006.0
20,Everton Fan Token,EFC-USD,2021-12-14,1.227405,1.525174,0.870621,1.253199,108150.0
21,Everton Fan Token,EFC-USD,2021-12-15,1.253648,1.313922,1.160179,1.286595,80842.0
22,Everton Fan Token,EFC-USD,2021-12-16,1.286971,1.326343,1.201076,1.209106,29918.0
23,Everton Fan Token,EFC-USD,2021-12-17,1.212162,2.481612,1.098813,2.40526,89091.0
24,Everton Fan Token,EFC-USD,2021-12-18,2.397367,2.504567,2.060745,2.135052,201548.0
25,Everton Fan Token,EFC-USD,2021-12-19,2.135419,2.298237,2.018966,2.06521,6931.0
26,Everton Fan Token,EFC-USD,2021-12-20,2.067499,2.133323,1.916427,2.068295,5955.0
27,Everton Fan Token,EFC-USD,2021-12-21,2.07018,2.184095,2.008043,2.089844,14441.0
28,Everton Fan Token,EFC-USD,2021-12-22,2.09035,2.201967,2.056038,2.131189,10792.0
29,Everton Fan Token,EFC-USD,2021-12-23,2.131987,2.348695,2.090787,2.316495,7913.0
30,Everton Fan Token,EFC-USD,2021-12-24,2.314771,2.395723,1.91492,2.326484,7785.0
31,Everton Fan Token,EFC-USD,2021-12-25,2.326598,2.479898,2.21426,2.451333,6098.0
32,Everton Fan Token,EFC-USD,2021-12-26,2.443681,2.617496,2.370408,2.468376,12101.0
33,Everton Fan Token,EFC-USD,2021-12-27,2.471087,2.771967,2.438836,2.556759,10350.0
34,Everton Fan Token,EFC-USD,2021-12-28,2.54933,2.621775,2.284827,2.386016,23997.0
35,Everton Fan Token,EFC-USD,2021-12-29,2.384263,2.976751,2.270659,2.413396,87906.0
36,Everton Fan Token,EFC-USD,2021-12-30,2.408821,2.770701,2.263193,2.417176,10235.0
37,Everton Fan Token,EFC-USD,2021-12-31,2.41415,2.511538,2.322123,2.369004,4616.0
38,Everton Fan Token,EFC-USD,2022-01-01,2.36916,2.670527,2.366679,2.530046,6443.0
39,Everton Fan Token,EFC-USD,2022-01-02,2.529802,2.752265,2.51884,2.653988,7048.0
40,Everton Fan Token,EFC-USD,2022-01-03,2.653938,2.694228,2.372839,2.427977,9874.0
41,Everton Fan Token,EFC-USD,2022-01-04,2.431461,2.554612,2.334949,2.334949,9415.0
42,Everton Fan Token,EFC-USD,2022-01-05,2.335078,2.517839,2.070365,2.19766,6623.0
43,Everton Fan Token,EFC-USD,2022-01-06,2.19749,2.333202,2.017433,2.333202,111507.0
44,Everton Fan Token,EFC-USD,2022-01-07,2.332939,2.345655,1.977024,2.021521,71933.0
45,Everton Fan Token,EFC-USD,2022-01-08,2.021688,2.210741,1.843524,2.032356,44584.0
46,Everton Fan Token,EFC-USD,2022-01-09,2.032305,2.108279,1.980196,2.035724,43345.0
47,Everton Fan Token,EFC-USD,2022-01-10,2.035635,2.101641,1.85401,1.951001,18213.0
48,Everton Fan Token,EFC-USD,2022-01-11,1.951355,2.070928,1.892804,2.009214,34161.0
49,Everton Fan Token,EFC-USD,2022-01-12,2.009875,2.179754,1.988935,2.125583,72628.0
50,Everton Fan Token,EFC-USD,2022-01-13,2.125526,2.172082,1.970043,2.002725,9105.0
51,Everton Fan Token,EFC-USD,2022-01-14,2.002819,2.075144,1.920277,2.047816,31604.0
52,Everton Fan Token,EFC-USD,2022-01-15,2.047813,2.047813,1.887986,1.977378,29320.0
53,Everton Fan Token,EFC-USD,2022-01-16,1.976248,2.094865,1.946627,2.009082,9932.0
54,Everton Fan Token,EFC-USD,2022-01-17,2.009165,2.046241,1.858663,1.879487,15163.0
55,Everton Fan Token,EFC-USD,2022-01-18,1.879416,2.021187,1.857326,1.960094,56073.0
56,Everton Fan Token,EFC-USD,2022-01-19,1.960114,1.984646,1.792602,1.886082,27484.0
57,Everton Fan Token,EFC-USD,2022-01-20,1.885661,1.910388,1.852209,1.88214,0.0
58,Everton Fan Token,EFC-USD,2022-01-21,1.88214,1.88214,1.455854,1.484085,24671.0
59,Everton Fan Token,EFC-USD,2022-01-22,1.485441,1.535813,1.251408,1.324092,21766.0
60,Everton Fan Token,EFC-USD,2022-01-23,1.324596,1.456207,1.300511,1.408732,10095.0
61,Everton Fan Token,EFC-USD,2022-01-24,1.409003,1.444575,1.208163,1.32597,13126.0
62,Everton Fan Token,EFC-USD,2022-01-25,1.325997,1.381357,1.270105,1.309093,7358.0
63,Everton Fan Token,EFC-USD,2022-01-26,1.309093,1.439968,1.279679,1.343428,27963.0
64,Everton Fan Token,EFC-USD,2022-01-27,1.34319,1.385213,1.258641,1.34501,45376.0
65,Everton Fan Token,EFC-USD,2022-01-28,1.34486,1.559451,1.31679,1.397033,52194.0
66,Everton Fan Token,EFC-USD,2022-01-29,1.397085,1.619084,1.395256,1.441692,21591.0
67,Everton Fan Token,EFC-USD,2022-01-30,1.441877,1.560151,1.411523,1.47833,51148.0
68,Everton Fan Token,EFC-USD,2022-01-31,1.478401,1.629261,1.392517,1.591206,6474.0
69,Everton Fan Token,EFC-USD,2022-02-01,1.591266,1.685108,1.526986,1.664966,27240.0
70,Everton Fan Token,EFC-USD,2022-02-02,1.664738,1.750171,1.503907,1.59178,50893.0
71,Everton Fan Token,EFC-USD,2022-02-03,1.591471,1.719567,1.508548,1.719567,29122.0
72,Everton Fan Token,EFC-USD,2022-02-04,1.719212,1.871141,1.676238,1.789338,69379.0
73,Everton Fan Token,EFC-USD,2022-02-05,1.789495,1.857046,1.722691,1.757836,19785.0
74,Everton Fan Token,EFC-USD,2022-02-06,1.758024,1.963125,1.757686,1.957197,49732.0
75,Everton Fan Token,EFC-USD,2022-02-07,1.957544,2.076613,1.902467,2.026245,13675.0
76,Everton Fan Token,EFC-USD,2022-02-08,2.026248,2.055126,1.814899,1.974617,27094.0
77,Everton Fan Token,EFC-USD,2022-02-09,1.973729,2.092814,1.864436,2.088507,16016.0
78,Everton Fan Token,EFC-USD,2022-02-10,2.08845,2.110315,1.900769,1.933162,2230.0
79,Everton Fan Token,EFC-USD,2022-02-11,1.933435,1.98471,1.688004,1.759698,16156.0
80,Everton Fan Token,EFC-USD,2022-02-12,1.759826,1.849238,1.700951,1.766529,13285.0
81,Everton Fan Token,EFC-USD,2022-02-13,1.766496,1.826923,1.712913,1.735003,12273.0
82,Everton Fan Token,EFC-USD,2022-02-14,1.734353,1.814775,1.675891,1.791036,11891.0
83,Everton Fan Token,EFC-USD,2022-02-15,1.790977,1.936262,1.759731,1.928818,2926.0
84,Everton Fan Token,EFC-USD,2022-02-16,1.928818,1.953577,1.810985,1.892593,15068.0
85,Everton Fan Token,EFC-USD,2022-02-17,1.892527,1.98695,1.719363,1.769368,6123.0
86,Everton Fan Token,EFC-USD,2022-02-18,1.770072,1.834541,1.662449,1.708256,7905.0
87,Everton Fan Token,EFC-USD,2022-02-19,1.707994,1.767265,1.643376,1.703233,10989.0
88,Everton Fan Token,EFC-USD,2022-02-20,1.702837,1.7247,1.580936,1.620646,9518.0
89,Everton Fan Token,EFC-USD,2022-02-21,1.62045,1.716238,1.460406,1.466506,21456.0
90,Everton Fan Token,EFC-USD,2022-02-22,1.466302,1.563162,1.388186,1.543525,12318.0
91,Everton Fan Token,EFC-USD,2022-02-23,1.543554,1.643897,1.478664,1.516332,10317.0
92,Everton Fan Token,EFC-USD,2022-02-24,1.516006,1.519733,1.256589,1.447699,2839.0
93,Everton Fan Token,EFC-USD,2022-02-25,1.447855,1.553339,1.393776,1.532158,3471.0
94,Everton Fan Token,EFC-USD,2022-02-26,1.532267,1.587261,1.505857,1.520333,5921.0
95,Everton Fan Token,EFC-USD,2022-02-27,1.520245,1.687557,1.465593,1.517316,10463.0
96,Everton Fan Token,EFC-USD,2022-02-28,1.517348,1.75568,1.456596,1.718855,54357.0
97,Everton Fan Token,EFC-USD,2022-03-01,1.718855,1.791149,1.622551,1.76195,22162.0
98,Everton Fan Token,EFC-USD,2022-03-02,1.761699,1.883177,1.671028,1.756124,19636.0
99,Everton Fan Token,EFC-USD,2022-03-03,1.75621,1.782516,1.605134,1.70361,1376.0
100,Everton Fan Token,EFC-USD,2022-03-04,1.708111,1.828793,1.621601,1.749609,3670.0
101,Everton Fan Token,EFC-USD,2022-03-05,1.750326,2.051359,1.664816,2.032341,11881.0
102,Everton Fan Token,EFC-USD,2022-03-06,2.032649,2.056624,1.785069,1.881074,2965.0
103,Everton Fan Token,EFC-USD,2022-03-07,1.880861,1.905963,1.728345,1.795823,12826.0
104,Everton Fan Token,EFC-USD,2022-03-08,1.795756,1.842867,1.725213,1.769821,3278.0
105,Everton Fan Token,EFC-USD,2022-03-09,1.770159,1.897556,1.753506,1.824938,6589.0
106,Everton Fan Token,EFC-USD,2022-03-10,1.824938,1.869542,1.665194,1.854366,1041.0
107,Everton Fan Token,EFC-USD,2022-03-11,1.854158,1.931389,1.738832,1.770824,17763.0
108,Everton Fan Token,EFC-USD,2022-03-12,1.770756,2.03455,1.760805,1.818578,9531.0
109,Everton Fan Token,EFC-USD,2022-03-13,1.817976,1.93234,1.729373,1.741238,3839.0
110,Everton Fan Token,EFC-USD,2022-03-14,1.74039,1.757315,1.628628,1.704544,4579.0
111,Everton Fan Token,EFC-USD,2022-03-15,1.704477,1.762508,1.610063,1.740306,19781.0
112,Everton Fan Token,EFC-USD,2022-03-16,1.740257,1.792747,1.531848,1.624896,20091.0
113,Everton Fan Token,EFC-USD,2022-03-17,1.624904,1.732962,1.428797,1.512815,31840.0
114,Everton Fan Token,EFC-USD,2022-03-18,1.512551,1.56231,1.390887,1.455097,33387.0
115,Everton Fan Token,EFC-USD,2022-03-19,1.45492,1.530927,1.420846,1.44665,21205.0
116,Everton Fan Token,EFC-USD,2022-03-20,1.447094,1.462827,1.377404,1.408299,3269.0
117,Everton Fan Token,EFC-USD,2022-03-21,1.408194,1.475454,1.353848,1.412908,4064.0
118,Everton Fan Token,EFC-USD,2022-03-22,1.412844,1.553186,1.400077,1.459748,9699.0
