,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,RCD Espanyol Fan Token,ENFT-USD,2022-06-15,0.053107,0.056825,0.050946,0.053843,11038.0
1,RCD Espanyol Fan Token,ENFT-USD,2022-06-16,0.053844,0.055287,0.051815,0.054988,4302.0
2,RCD Espanyol Fan Token,ENFT-USD,2022-06-17,0.054988,0.060337,0.049561,0.051077,22098.0
3,RCD Espanyol Fan Token,ENFT-USD,2022-06-18,0.051077,0.051837,0.045869,0.04987,4770.0
4,RCD Espanyol Fan Token,ENFT-USD,2022-06-19,0.04992,0.054615,0.045585,0.047994,10104.0
5,RCD Espanyol Fan Token,ENFT-USD,2022-06-20,0.047994,0.049597,0.045795,0.048076,3803.0
6,RCD Espanyol Fan Token,ENFT-USD,2022-06-21,0.048079,0.051167,0.043201,0.050505,5783.0
7,RCD Espanyol Fan Token,ENFT-USD,2022-06-22,0.05054,0.05091,0.038433,0.040589,17872.0
8,RCD Espanyol Fan Token,ENFT-USD,2022-06-23,0.040589,0.043014,0.035899,0.037616,12456.0
9,RCD Espanyol Fan Token,ENFT-USD,2022-06-24,0.037616,0.038513,0.031749,0.035747,28722.0
10,RCD Espanyol Fan Token,ENFT-USD,2022-06-25,0.035747,0.035969,0.028364,0.031401,47397.0
11,RCD Espanyol Fan Token,ENFT-USD,2022-06-26,0.031401,0.032238,0.025484,0.028263,40987.0
12,RCD Espanyol Fan Token,ENFT-USD,2022-06-27,0.028281,0.028483,0.026164,0.027663,3943.0
13,RCD Espanyol Fan Token,ENFT-USD,2022-06-28,0.027663,0.028707,0.026595,0.026878,3482.0
14,RCD Espanyol Fan Token,ENFT-USD,2022-06-29,0.026878,0.02786,0.023547,0.024446,12150.0
15,RCD Espanyol Fan Token,ENFT-USD,2022-06-30,0.024446,0.025059,0.021494,0.022517,9963.0
16,RCD Espanyol Fan Token,ENFT-USD,2022-07-01,0.022517,0.024681,0.021001,0.021986,12527.0
17,RCD Espanyol Fan Token,ENFT-USD,2022-07-02,0.021986,0.023626,0.021559,0.022025,7601.0
18,RCD Espanyol Fan Token,ENFT-USD,2022-07-03,0.022026,0.02414,0.020173,0.020748,15645.0
19,RCD Espanyol Fan Token,ENFT-USD,2022-07-04,0.020748,0.024229,0.018838,0.021274,15366.0
20,RCD Espanyol Fan Token,ENFT-USD,2022-07-05,0.021274,0.022003,0.019084,0.019478,6805.0
21,RCD Espanyol Fan Token,ENFT-USD,2022-07-06,0.019456,0.019579,0.017096,0.017509,8088.0
22,RCD Espanyol Fan Token,ENFT-USD,2022-07-07,0.017509,0.017834,0.014127,0.014478,12353.0
23,RCD Espanyol Fan Token,ENFT-USD,2022-07-08,0.014478,0.016551,0.013468,0.015399,5194.0
24,RCD Espanyol Fan Token,ENFT-USD,2022-07-09,0.015399,0.01909,0.014902,0.016495,4161.0
25,RCD Espanyol Fan Token,ENFT-USD,2022-07-10,0.016495,0.017354,0.015863,0.016588,6146.0
26,RCD Espanyol Fan Token,ENFT-USD,2022-07-11,0.016588,0.017779,0.015867,0.016148,13405.0
27,RCD Espanyol Fan Token,ENFT-USD,2022-07-12,0.016148,0.016921,0.014203,0.014936,6815.0
28,RCD Espanyol Fan Token,ENFT-USD,2022-07-13,0.014936,0.015679,0.013153,0.014325,7999.0
29,RCD Espanyol Fan Token,ENFT-USD,2022-07-14,0.014341,0.018472,0.013484,0.013972,18473.0
30,RCD Espanyol Fan Token,ENFT-USD,2022-07-15,0.013972,0.014669,0.012877,0.014519,2976.0
31,RCD Espanyol Fan Token,ENFT-USD,2022-07-16,0.014519,0.014677,0.013087,0.013239,2523.0
32,RCD Espanyol Fan Token,ENFT-USD,2022-07-17,0.013239,0.014528,0.011895,0.013473,2824.0
33,RCD Espanyol Fan Token,ENFT-USD,2022-07-18,0.013473,0.013784,0.010051,0.012016,3985.0
34,RCD Espanyol Fan Token,ENFT-USD,2022-07-19,0.012014,0.013373,0.011769,0.012847,1456.0
35,RCD Espanyol Fan Token,ENFT-USD,2022-07-20,0.012847,0.014345,0.01164,0.011826,1755.0
36,RCD Espanyol Fan Token,ENFT-USD,2022-07-21,0.011826,0.013174,0.011475,0.011969,6265.0
37,RCD Espanyol Fan Token,ENFT-USD,2022-07-22,0.012013,0.012601,0.008968,0.009815,39978.0
38,RCD Espanyol Fan Token,ENFT-USD,2022-07-23,0.009815,0.010623,0.009262,0.009979,7720.0
39,RCD Espanyol Fan Token,ENFT-USD,2022-07-24,0.009979,0.010724,0.009534,0.009615,4817.0
40,RCD Espanyol Fan Token,ENFT-USD,2022-07-25,0.009615,0.010441,0.009335,0.00956,1576.0
41,RCD Espanyol Fan Token,ENFT-USD,2022-07-26,0.00956,0.010336,0.009356,0.009673,1450.0
42,RCD Espanyol Fan Token,ENFT-USD,2022-07-27,0.009681,0.010127,0.008528,0.00871,3086.0
43,RCD Espanyol Fan Token,ENFT-USD,2022-07-28,0.00871,0.009661,0.008632,0.009401,1549.0
44,RCD Espanyol Fan Token,ENFT-USD,2022-07-29,0.009401,0.009445,0.008257,0.008598,2462.0
45,RCD Espanyol Fan Token,ENFT-USD,2022-07-30,0.008598,0.009233,0.008482,0.008583,742.0
46,RCD Espanyol Fan Token,ENFT-USD,2022-07-31,0.008591,0.00903,0.008349,0.008766,934.0
47,RCD Espanyol Fan Token,ENFT-USD,2022-08-01,0.008766,0.008956,0.008272,0.008538,1543.0
48,RCD Espanyol Fan Token,ENFT-USD,2022-08-02,0.008536,0.008662,0.008057,0.008068,1626.0
49,RCD Espanyol Fan Token,ENFT-USD,2022-08-03,0.008068,0.009043,0.007621,0.008821,3331.0
50,RCD Espanyol Fan Token,ENFT-USD,2022-08-04,0.008821,0.009514,0.007664,0.009275,850.0
51,RCD Espanyol Fan Token,ENFT-USD,2022-08-05,0.009275,0.009987,0.008643,0.009891,1353.0
52,RCD Espanyol Fan Token,ENFT-USD,2022-08-06,0.009891,0.010136,0.009061,0.009204,893.0
53,RCD Espanyol Fan Token,ENFT-USD,2022-08-07,0.009345,0.01022,0.009142,0.010084,703.0
54,RCD Espanyol Fan Token,ENFT-USD,2022-08-08,0.010084,0.010329,0.009365,0.00958,561.0
55,RCD Espanyol Fan Token,ENFT-USD,2022-08-09,0.00958,0.010323,0.009113,0.009386,1425.0
56,RCD Espanyol Fan Token,ENFT-USD,2022-08-10,0.009386,0.009823,0.007969,0.008806,805.0
57,RCD Espanyol Fan Token,ENFT-USD,2022-08-11,0.008806,0.009679,0.008076,0.008624,2643.0
58,RCD Espanyol Fan Token,ENFT-USD,2022-08-12,0.008624,0.009496,0.008015,0.00889,1620.0
59,RCD Espanyol Fan Token,ENFT-USD,2022-08-13,0.00889,0.009803,0.008258,0.009404,1910.0
60,RCD Espanyol Fan Token,ENFT-USD,2022-08-14,0.009404,0.009634,0.008229,0.008686,1105.0
61,RCD Espanyol Fan Token,ENFT-USD,2022-08-15,0.008707,0.009484,0.008431,0.009147,1930.0
62,RCD Espanyol Fan Token,ENFT-USD,2022-08-16,0.009147,0.011087,0.008591,0.010389,1272.0
63,RCD Espanyol Fan Token,ENFT-USD,2022-08-17,0.0104,0.013668,0.010138,0.013126,5033.0
64,RCD Espanyol Fan Token,ENFT-USD,2022-08-18,0.013126,0.015415,0.009553,0.01309,3167.0
65,RCD Espanyol Fan Token,ENFT-USD,2022-08-19,0.013098,0.013098,0.01011,0.01198,1313.0
66,RCD Espanyol Fan Token,ENFT-USD,2022-08-20,0.011984,0.012447,0.010955,0.011506,389.0
67,RCD Espanyol Fan Token,ENFT-USD,2022-08-21,0.011492,0.01298,0.010709,0.01197,487.0
68,RCD Espanyol Fan Token,ENFT-USD,2022-08-22,0.01197,0.012427,0.010388,0.010474,997.0
69,RCD Espanyol Fan Token,ENFT-USD,2022-08-23,0.010474,0.01132,0.008956,0.011062,1440.0
70,RCD Espanyol Fan Token,ENFT-USD,2022-08-24,0.011062,0.013894,0.008783,0.009969,3498.0
71,RCD Espanyol Fan Token,ENFT-USD,2022-08-25,0.009969,0.011073,0.008116,0.008706,856.0
72,RCD Espanyol Fan Token,ENFT-USD,2022-08-26,0.00869,0.010259,0.008173,0.008173,583.0
73,RCD Espanyol Fan Token,ENFT-USD,2022-08-27,0.008173,0.009781,0.00807,0.008226,604.0
74,RCD Espanyol Fan Token,ENFT-USD,2022-08-28,0.008224,0.009769,0.008224,0.009653,178.0
75,RCD Espanyol Fan Token,ENFT-USD,2022-08-29,0.009653,0.009772,0.008406,0.009122,364.0
76,RCD Espanyol Fan Token,ENFT-USD,2022-08-30,0.009122,0.01054,0.008394,0.009932,246.0
77,RCD Espanyol Fan Token,ENFT-USD,2022-08-31,0.009957,0.011224,0.009144,0.010238,854.0
78,RCD Espanyol Fan Token,ENFT-USD,2022-09-01,0.010238,0.01128,0.009566,0.010594,268.0
79,RCD Espanyol Fan Token,ENFT-USD,2022-09-02,0.010594,0.010648,0.009718,0.010064,20.0
80,RCD Espanyol Fan Token,ENFT-USD,2022-09-03,0.010066,0.010657,0.008698,0.009758,949.0
81,RCD Espanyol Fan Token,ENFT-USD,2022-09-04,0.009739,0.009924,0.008667,0.009,325.0
82,RCD Espanyol Fan Token,ENFT-USD,2022-09-05,0.008999,0.010357,0.008735,0.010208,1071.0
83,RCD Espanyol Fan Token,ENFT-USD,2022-09-06,0.010208,0.010786,0.008447,0.010035,1219.0
84,RCD Espanyol Fan Token,ENFT-USD,2022-09-07,0.010039,0.010256,0.008976,0.010068,301.0
85,RCD Espanyol Fan Token,ENFT-USD,2022-09-08,0.010084,0.01024,0.009205,0.009396,158.0
86,RCD Espanyol Fan Token,ENFT-USD,2022-09-09,0.009396,0.010855,0.009177,0.009351,407.0
87,RCD Espanyol Fan Token,ENFT-USD,2022-09-10,0.009361,0.010021,0.009124,0.009963,349.0
88,RCD Espanyol Fan Token,ENFT-USD,2022-09-11,0.009963,0.011078,0.009132,0.010709,946.0
89,RCD Espanyol Fan Token,ENFT-USD,2022-09-12,0.010712,0.011618,0.009497,0.010652,467.0
90,RCD Espanyol Fan Token,ENFT-USD,2022-09-13,0.010652,0.011051,0.009279,0.010663,419.0
91,RCD Espanyol Fan Token,ENFT-USD,2022-09-14,0.010121,0.010669,0.009112,0.009381,669.0
