,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Fenerbahce Token,FB11308-USD,2021-08-20,10.280735,10.390314,10.087854,10.353069,11034492
1,Fenerbahce Token,FB11308-USD,2021-08-21,10.354246,10.382501,9.955145,10.006946,7069871
2,Fenerbahce Token,FB11308-USD,2021-08-22,10.024605,10.322459,9.569789,9.701135,8641646
3,Fenerbahce Token,FB11308-USD,2021-08-23,9.70123,9.812005,9.358736,9.541846,6848094
4,Fenerbahce Token,FB11308-USD,2021-08-24,9.505792,9.712604,9.159394,9.465143,9423271
5,Fenerbahce Token,FB11308-USD,2021-08-25,9.455815,9.946556,9.261609,9.383981,7695948
6,Fenerbahce Token,FB11308-USD,2021-08-26,9.353188,9.655776,8.641062,8.704466,10075852
7,Fenerbahce Token,FB11308-USD,2021-08-27,8.764983,8.94597,8.593048,8.938788,9050780
8,Fenerbahce Token,FB11308-USD,2021-08-28,8.941182,9.288296,8.748474,8.814306,6197831
9,Fenerbahce Token,FB11308-USD,2021-08-29,8.8167,8.939985,8.316551,8.698045,4122242
10,Fenerbahce Token,FB11308-USD,2021-08-30,8.72052,8.720752,8.290317,8.344799,3049355
11,Fenerbahce Token,FB11308-USD,2021-08-31,8.344764,8.362193,7.926178,8.029618,3815395
12,Fenerbahce Token,FB11308-USD,2021-09-01,8.013366,10.131162,7.990437,8.799119,34073735
13,Fenerbahce Token,FB11308-USD,2021-09-02,8.824723,9.904889,8.77119,8.988886,22342514
14,Fenerbahce Token,FB11308-USD,2021-09-03,8.94357,9.334186,8.797979,8.915269,9027694
15,Fenerbahce Token,FB11308-USD,2021-09-04,8.917672,9.130341,8.831163,8.903254,4753922
16,Fenerbahce Token,FB11308-USD,2021-09-05,8.87682,8.996972,8.855193,8.91314,3559839
17,Fenerbahce Token,FB11308-USD,2021-09-06,8.913381,9.271667,8.77176,8.83262,7909519
18,Fenerbahce Token,FB11308-USD,2021-09-07,8.835029,8.905945,7.980273,8.100502,5083285
19,Fenerbahce Token,FB11308-USD,2021-09-08,8.113772,8.393984,7.740582,8.021635,3185089
20,Fenerbahce Token,FB11308-USD,2021-09-09,8.028654,8.446475,8.022693,8.166576,2827740
21,Fenerbahce Token,FB11308-USD,2021-09-10,8.167533,8.791211,8.028809,8.170494,5524191
22,Fenerbahce Token,FB11308-USD,2021-09-11,8.170494,8.471574,8.085483,8.168133,2729535
23,Fenerbahce Token,FB11308-USD,2021-09-12,8.168133,8.251963,7.995382,8.085079,2897566
24,Fenerbahce Token,FB11308-USD,2021-09-13,8.085079,8.088692,7.707627,7.938094,2381117
25,Fenerbahce Token,FB11308-USD,2021-09-14,7.939145,8.197383,7.834396,8.074228,3324283
26,Fenerbahce Token,FB11308-USD,2021-09-15,8.074151,8.874533,8.024238,8.688791,12351651
27,Fenerbahce Token,FB11308-USD,2021-09-16,8.691321,9.16177,7.96608,8.092585,15085305
28,Fenerbahce Token,FB11308-USD,2021-09-17,8.052627,8.137233,7.89619,7.915856,3014577
29,Fenerbahce Token,FB11308-USD,2021-09-18,7.903131,8.02228,7.873055,7.970224,1937524
30,Fenerbahce Token,FB11308-USD,2021-09-19,7.900818,7.992203,7.719163,7.722316,2143319
31,Fenerbahce Token,FB11308-USD,2021-09-20,7.722941,7.765396,7.034133,7.097304,3103057
32,Fenerbahce Token,FB11308-USD,2021-09-21,7.108524,8.196133,7.032928,7.221694,3739152
33,Fenerbahce Token,FB11308-USD,2021-09-22,7.217534,7.543372,7.186906,7.543372,1963386
34,Fenerbahce Token,FB11308-USD,2021-09-23,7.543229,7.982115,7.243098,7.571824,6813723
35,Fenerbahce Token,FB11308-USD,2021-09-24,7.571775,7.694891,7.099575,7.264847,2660276
36,Fenerbahce Token,FB11308-USD,2021-09-25,7.263721,7.314382,7.177033,7.226569,956295
37,Fenerbahce Token,FB11308-USD,2021-09-26,7.216437,7.270164,7.007036,7.209169,1232533
38,Fenerbahce Token,FB11308-USD,2021-09-27,7.209067,7.404573,7.197705,7.29788,1397965
39,Fenerbahce Token,FB11308-USD,2021-09-28,7.297797,7.351628,7.098124,7.219749,1137654
40,Fenerbahce Token,FB11308-USD,2021-09-29,7.219357,7.342297,7.050281,7.103907,1127357
41,Fenerbahce Token,FB11308-USD,2021-09-30,7.101894,7.251248,7.050114,7.079865,3412947
42,Fenerbahce Token,FB11308-USD,2021-10-01,7.079706,7.245886,7.065266,7.206862,2506157
43,Fenerbahce Token,FB11308-USD,2021-10-02,7.206862,7.301659,7.110936,7.210247,5406919
44,Fenerbahce Token,FB11308-USD,2021-10-03,7.210247,7.311816,7.110852,7.130761,2444157
45,Fenerbahce Token,FB11308-USD,2021-10-04,7.130439,7.683818,7.035267,7.1724,9675793
46,Fenerbahce Token,FB11308-USD,2021-10-05,7.181347,7.441299,7.106336,7.229269,20152024
47,Fenerbahce Token,FB11308-USD,2021-10-06,7.194885,7.307411,7.057892,7.198174,21073716
48,Fenerbahce Token,FB11308-USD,2021-10-07,7.198369,7.798062,7.128131,7.321304,27758346
49,Fenerbahce Token,FB11308-USD,2021-10-08,7.32163,7.404807,7.192436,7.212932,20812937
50,Fenerbahce Token,FB11308-USD,2021-10-09,7.212932,7.296668,7.079439,7.19418,18164052
51,Fenerbahce Token,FB11308-USD,2021-10-10,7.19418,8.015195,7.116201,7.239235,34320076
52,Fenerbahce Token,FB11308-USD,2021-10-11,7.238158,7.564646,7.178177,7.228266,30107584
53,Fenerbahce Token,FB11308-USD,2021-10-12,7.228471,7.301615,6.972731,7.145286,28062463
54,Fenerbahce Token,FB11308-USD,2021-10-13,7.145413,7.479902,7.071758,7.266838,28218655
55,Fenerbahce Token,FB11308-USD,2021-10-14,7.266167,7.817957,7.187694,7.538694,36489417
56,Fenerbahce Token,FB11308-USD,2021-10-15,7.559212,7.841008,7.176012,7.194338,25081386
57,Fenerbahce Token,FB11308-USD,2021-10-16,7.196496,7.401493,7.067023,7.182469,19345879
58,Fenerbahce Token,FB11308-USD,2021-10-17,7.182469,7.259855,6.923497,7.004076,33011219
59,Fenerbahce Token,FB11308-USD,2021-10-18,7.003391,7.133737,6.905755,6.940765,21436653
60,Fenerbahce Token,FB11308-USD,2021-10-19,6.940305,7.079368,6.891488,6.947529,34182883
61,Fenerbahce Token,FB11308-USD,2021-10-20,6.947443,7.094266,6.916698,7.044651,41696197
