,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-15,0.014102,0.019465,0.014096,0.016999,20580.0
1,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-16,0.017,0.01717,0.0137,0.014755,6508.0
2,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-17,0.014755,0.015721,0.013773,0.01436,4268.0
3,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-18,0.01436,0.014574,0.013021,0.01405,3536.0
4,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-19,0.014064,0.015467,0.013073,0.015252,5744.0
5,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-20,0.015252,0.015252,0.013427,0.013574,7722.0
6,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-21,0.013575,0.014439,0.01271,0.013273,2118.0
7,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-22,0.013282,0.014715,0.012996,0.014379,3144.0
8,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-23,0.014379,0.017761,0.0132,0.014373,16381.0
9,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-24,0.014373,0.014696,0.012846,0.013255,5050.0
10,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-25,0.013255,0.013628,0.012874,0.013248,567.0
11,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-26,0.013248,0.013384,0.012557,0.012832,439.0
12,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-27,0.012841,0.013527,0.011781,0.012301,1414.0
13,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-28,0.012301,0.013309,0.011722,0.012549,1669.0
14,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-29,0.012549,0.012769,0.011116,0.011887,4489.0
15,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-06-30,0.011887,0.012237,0.011363,0.011563,2528.0
16,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-01,0.011563,0.012336,0.010898,0.011934,3138.0
17,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-02,0.011934,0.012171,0.011592,0.011987,2954.0
18,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-03,0.011987,0.012159,0.010438,0.011826,4991.0
19,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-04,0.011826,0.012308,0.011786,0.011819,3055.0
20,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-05,0.011819,0.012173,0.010588,0.012149,3885.0
21,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-06,0.012136,0.012186,0.01123,0.011424,2852.0
22,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-07,0.011424,0.011599,0.009723,0.009921,1617.0
23,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-08,0.009921,0.010945,0.009536,0.010646,2224.0
24,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-09,0.010646,0.012132,0.010079,0.010697,1383.0
25,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-10,0.010697,0.012178,0.010553,0.011341,678.0
26,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-11,0.011341,0.012298,0.01068,0.011676,3147.0
27,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-12,0.011676,0.012045,0.010751,0.011263,1574.0
28,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-13,0.011264,0.011666,0.010243,0.011163,3315.0
29,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-14,0.011175,0.011569,0.010407,0.010691,2124.0
30,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-15,0.010691,0.011131,0.010344,0.010852,922.0
31,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-16,0.010852,0.011594,0.010499,0.011168,1790.0
32,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-17,0.011168,0.011516,0.01051,0.011062,1341.0
33,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-18,0.011062,0.011703,0.010836,0.010944,99.0
34,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-19,0.010943,0.011325,0.010089,0.010564,736.0
35,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-20,0.010564,0.013572,0.010385,0.01177,3410.0
36,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-21,0.01177,0.012249,0.011556,0.011632,67.0
37,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-22,0.011675,0.012001,0.011321,0.011581,647.0
38,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-23,0.011581,0.011608,0.010854,0.011042,115.0
39,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-24,0.011042,0.011093,0.010583,0.010727,10.0
40,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-25,0.010727,0.010957,0.010414,0.010701,3.0
41,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-26,0.010701,0.010805,0.010339,0.010517,38.0
42,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-27,0.010526,0.010734,0.009902,0.010391,300.0
43,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-28,0.010391,0.010586,0.008768,0.008836,656.0
44,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-29,0.008836,0.010756,0.008836,0.010339,617.0
45,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-30,0.01034,0.01185,0.009617,0.010518,826.0
46,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-07-31,0.010527,0.010662,0.010134,0.01015,75.0
47,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-01,0.01015,0.010367,0.009458,0.009829,135.0
48,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-02,0.009827,0.010368,0.00934,0.009913,287.0
49,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-03,0.009913,0.011754,0.009695,0.01036,1256.0
50,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-04,0.01036,0.010967,0.010182,0.010751,64.0
51,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-05,0.010751,0.011651,0.010592,0.010825,310.0
52,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-06,0.010825,0.011354,0.009606,0.010228,431.0
53,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-07,0.010385,0.012283,0.008868,0.010935,5268.0
54,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-08,0.010935,0.013603,0.009989,0.0119,6807.0
55,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-09,0.0119,0.013438,0.010805,0.012419,9135.0
56,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-10,0.012419,0.012735,0.009765,0.009969,2179.0
57,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-11,0.009969,0.01219,0.008723,0.00897,884.0
58,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-12,0.00897,0.012085,0.008812,0.011265,2460.0
59,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-13,0.011265,0.011515,0.00998,0.011328,530.0
60,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-14,0.011328,0.011864,0.010673,0.011107,109.0
61,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-15,0.011133,0.011638,0.010681,0.011373,64.0
62,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-16,0.011373,0.012271,0.009488,0.010144,390.0
63,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-17,0.010155,0.014731,0.009899,0.0118,473.0
64,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-18,0.0118,0.014107,0.008787,0.009046,459.0
65,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-19,0.009052,0.015567,0.008319,0.010551,369.0
66,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-20,0.010554,0.011038,0.010142,0.010757,421.0
67,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-21,0.010744,0.012052,0.010589,0.010914,263.0
68,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-22,0.010914,0.012096,0.010828,0.011247,83.0
69,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-23,0.011247,0.013136,0.009848,0.011627,817.0
70,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-24,0.011627,0.012407,0.008536,0.00931,25.0
71,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-25,0.00931,0.011184,0.009209,0.010612,348.0
72,Fatih Karagumruk SK Fan Token,FKSK-USD,2022-08-26,0.010593,0.011348,0.010308,0.01061,291.0
