,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-11,2.146263,2.320663,2.08845,2.142509,0.0
1,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-12,2.146794,2.352054,1.770572,2.15958,0.0
2,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-13,2.158362,2.258358,1.870134,1.996305,0.0
3,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-14,1.991315,2.090234,1.895105,1.926319,0.0
4,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-15,1.927941,1.978879,1.829404,1.905734,0.0
5,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-16,1.905283,2.01095,1.65302,1.822094,0.0
6,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-17,1.830148,1.86644,1.477133,1.558649,0.0
7,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-18,1.565807,1.659454,1.457059,1.550431,0.0
8,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-19,1.546802,1.785718,1.447152,1.750605,0.0
9,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-20,1.753008,2.444174,1.553586,1.908406,0.0
10,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-21,1.908323,2.121697,1.743968,1.887384,0.0
11,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-22,1.878217,2.163955,1.737057,1.909939,0.0
12,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-23,1.908607,2.002405,1.752981,1.85413,0.0
13,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-24,1.857199,1.958819,1.695777,1.758398,0.0
14,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-25,1.754064,1.889855,1.572128,1.743947,0.0
15,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-26,1.745724,1.816884,1.590179,1.602367,0.0
16,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-27,1.602591,1.711286,1.53968,1.672328,0.0
17,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-28,1.67549,1.702634,1.626897,1.654196,0.0
18,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-29,1.654228,1.758829,1.612974,1.689833,0.0
19,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-30,1.684129,1.831109,1.638481,1.652484,0.0
20,Fortuna Sittard Fan Token,FOR9510-USD,2021-08-31,1.650764,1.800806,1.619332,1.674179,0.0
21,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-01,1.669281,1.747219,1.588503,1.694424,0.0
22,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-02,1.69644,1.79218,1.57833,1.639645,0.0
23,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-03,1.639838,1.717074,1.596025,1.678775,0.0
24,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-04,1.679794,1.905135,1.642465,1.744591,0.0
25,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-05,1.745607,1.79135,1.670436,1.72563,0.0
26,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-06,1.728753,1.804297,1.489339,1.677577,0.0
27,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-07,1.681403,1.694583,1.131904,1.379649,0.0
28,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-08,1.379781,1.39731,1.229073,1.310716,0.0
29,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-09,1.269813,1.420987,1.198421,1.281668,0.0
30,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-10,1.281604,1.434274,1.211817,1.292601,0.0
31,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-11,1.292605,1.459881,1.269872,1.341556,0.0
32,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-12,1.344,1.526918,1.306193,1.397446,0.0
33,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-13,1.396887,1.408462,1.260967,1.31158,0.0
34,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-14,1.312152,1.449075,1.264397,1.33466,0.0
35,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-15,1.334732,1.516734,1.3239,1.446699,0.0
36,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-16,1.447355,3.845339,1.422584,2.443317,0.0
37,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-17,2.443868,3.02685,1.588542,2.045426,0.0
38,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-18,2.048447,2.486403,1.999614,2.442393,0.0
39,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-19,2.444642,2.786936,2.235178,2.364415,0.0
40,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-20,2.363353,2.562037,0.0,2.01472,0.0
41,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-21,2.008439,2.170678,1.775685,1.816525,0.0
42,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-22,1.832643,2.286496,1.81977,2.016192,0.0
43,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-23,2.015588,2.143193,1.916679,2.017156,0.0
44,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-24,2.016587,2.15242,1.737533,1.864262,0.0
45,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-25,1.865527,1.976581,1.786903,1.871763,0.0
46,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-26,1.868551,1.896987,1.728891,1.807085,0.0
47,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-27,1.805849,1.917081,1.738477,1.761578,0.0
48,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-28,1.762374,1.823753,1.671919,1.709133,0.0
49,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-29,1.711108,1.803882,1.668315,1.711374,0.0
50,Fortuna Sittard Fan Token,FOR9510-USD,2021-09-30,1.713376,1.836545,1.677557,1.713996,0.0
51,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-01,1.714671,1.923951,1.690574,1.909746,0.0
52,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-02,1.905149,1.991244,1.852641,1.870566,0.0
53,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-03,1.868284,2.003309,1.82056,1.854531,0.0
54,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-04,1.853856,1.915676,1.646826,1.766564,0.0
55,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-05,1.766717,1.913314,1.639463,1.805823,0.0
56,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-06,1.809388,1.859785,1.487168,1.639601,0.0
57,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-07,1.636571,1.966611,1.495047,1.617579,0.0
58,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-08,1.609064,1.892655,1.521051,1.586736,0.0
59,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-09,1.592783,1.705057,1.44371,1.604958,0.0
60,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-10,1.612528,1.625475,1.453129,1.5138,0.0
61,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-11,1.513178,1.579898,1.383198,1.422451,0.0
62,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-12,1.422378,2.235089,1.313209,2.166481,0.0
63,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-13,2.16235,2.276452,2.065548,2.20097,0.0
64,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-14,2.201071,2.292428,2.16303,2.224496,0.0
65,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-15,2.223908,2.241946,2.077773,2.142045,0.0
66,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-16,2.140112,2.217712,2.129423,2.19191,0.0
67,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-17,2.192672,2.243268,2.02378,2.093142,0.0
68,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-18,2.092506,2.173399,2.076938,2.148051,0.0
69,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-19,2.146056,2.196374,2.098196,2.114725,0.0
70,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-20,2.116482,2.588974,2.06842,2.200809,0.0
71,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-21,2.201318,2.299962,2.107578,2.11076,0.0
72,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-22,2.108746,2.339357,2.108746,2.194314,0.0
73,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-23,2.191642,2.287599,2.167682,2.261953,0.0
74,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-24,2.263246,2.278237,2.082283,2.183292,0.0
75,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-25,2.183206,2.302287,2.148263,2.257994,0.0
76,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-26,2.258702,2.441236,2.2211,2.269237,0.0
77,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-27,2.267456,2.405719,1.904593,2.036929,0.0
78,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-28,2.045447,2.212077,1.999292,2.161406,0.0
79,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-29,2.161367,2.406666,2.119941,2.320748,0.0
80,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-30,2.324429,4.211712,2.23069,3.508592,0.0
81,Fortuna Sittard Fan Token,FOR9510-USD,2021-10-31,3.419192,3.865593,2.582558,2.727425,0.0
82,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-01,2.728013,3.657458,2.674752,3.083793,0.0
83,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-02,3.089591,4.202114,3.031715,3.232864,0.0
84,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-03,3.236599,3.309257,2.940588,3.001898,0.0
85,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-04,3.008874,3.197049,2.742089,2.836918,244216.0
86,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-05,2.837045,3.192875,2.836886,3.048646,261938.0
87,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-06,3.043893,3.960589,2.910592,3.332816,314445.0
88,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-07,3.333764,3.467943,3.084454,3.305116,296731.0
89,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-08,3.30015,3.312586,3.003591,3.15433,302576.0
90,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-09,3.155559,3.210686,3.005024,3.078886,289699.0
91,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-10,3.078019,3.721143,2.87823,3.13616,294705.0
92,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-11,3.14852,3.506181,3.032718,3.449823,323487.0
93,Fortuna Sittard Fan Token,FOR9510-USD,2021-11-12,3.444684,3.667938,3.203576,3.599161,343409.0
