,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-13,0.077882,0.081572,0.051102,0.062509,91021.0
1,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-14,0.062511,0.064757,0.0536,0.054846,47902.0
2,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-15,0.054846,0.05609,0.047165,0.05545,35869.0
3,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-16,0.055451,0.058836,0.052228,0.054119,13858.0
4,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-17,0.054118,0.056603,0.052661,0.053604,7099.0
5,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-18,0.053604,0.054953,0.047574,0.048445,4263.0
6,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-19,0.048494,0.05449,0.046571,0.054349,8379.0
7,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-20,0.054349,0.054349,0.049051,0.049295,10486.0
8,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-21,0.049298,0.053784,0.048921,0.051507,6627.0
9,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-22,0.051543,0.052062,0.045344,0.045364,11552.0
10,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-23,0.045364,0.048247,0.043149,0.04545,9394.0
11,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-24,0.04545,0.04952,0.042811,0.047659,7519.0
12,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-25,0.047659,0.047966,0.043246,0.044716,2518.0
13,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-26,0.044715,0.047035,0.043654,0.04644,2858.0
14,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-27,0.04647,0.048388,0.043342,0.045115,3779.0
15,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-28,0.045115,0.046485,0.043375,0.043449,2761.0
16,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-29,0.043449,0.044528,0.040546,0.041815,6055.0
17,Peruvian National Football Team Fan Token,FPFT-USD,2022-06-30,0.041815,0.043174,0.036564,0.037706,11894.0
18,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-01,0.037706,0.03997,0.035818,0.039577,5596.0
19,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-02,0.039577,0.039934,0.037194,0.038509,1050.0
20,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-03,0.038509,0.038759,0.035202,0.037355,1604.0
21,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-04,0.037355,0.038061,0.035688,0.036072,2593.0
22,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-05,0.036072,0.037481,0.035063,0.036473,1233.0
23,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-06,0.036432,0.036508,0.032841,0.03402,1997.0
24,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-07,0.03402,0.034419,0.026168,0.027174,9245.0
25,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-08,0.027174,0.031245,0.025986,0.030319,9998.0
26,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-09,0.030319,0.035203,0.029245,0.033229,1701.0
27,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-10,0.033229,0.036092,0.031974,0.035596,1356.0
28,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-11,0.035596,0.036471,0.032667,0.033656,1946.0
29,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-12,0.033656,0.034116,0.030994,0.033021,2626.0
30,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-13,0.033021,0.034172,0.02732,0.031027,2502.0
31,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-14,0.03106,0.031995,0.028344,0.030518,2112.0
32,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-15,0.030518,0.031274,0.028094,0.030731,3422.0
33,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-16,0.030731,0.031367,0.028191,0.029102,3388.0
34,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-17,0.029102,0.031746,0.027528,0.028308,1458.0
35,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-18,0.028308,0.030415,0.026222,0.028222,2306.0
36,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-19,0.028219,0.031444,0.027174,0.028926,1251.0
37,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-20,0.028926,0.030214,0.027213,0.028869,1036.0
38,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-21,0.028869,0.029939,0.027485,0.02898,2311.0
39,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-22,0.029087,0.029329,0.026372,0.026812,2476.0
40,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-23,0.026813,0.031568,0.026563,0.029219,3126.0
41,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-24,0.029219,0.029239,0.026293,0.026679,1066.0
42,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-25,0.026679,0.028047,0.025643,0.026738,1082.0
43,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-26,0.026737,0.027758,0.02536,0.026441,364.0
44,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-27,0.026464,0.026647,0.023984,0.02423,1055.0
45,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-28,0.02423,0.025958,0.024158,0.024965,237.0
46,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-29,0.024965,0.025286,0.023483,0.024174,1478.0
47,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-30,0.024175,0.027805,0.023941,0.024188,2618.0
48,Peruvian National Football Team Fan Token,FPFT-USD,2022-07-31,0.024209,0.026726,0.02416,0.025523,613.0
49,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-01,0.025523,0.02684,0.023001,0.023406,678.0
50,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-02,0.023401,0.024942,0.022573,0.023127,1231.0
51,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-03,0.023127,0.024929,0.02136,0.022411,1555.0
52,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-04,0.022411,0.024955,0.022069,0.023372,1737.0
53,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-05,0.023372,0.02567,0.022454,0.025507,486.0
54,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-06,0.025507,0.031688,0.025235,0.030993,2825.0
55,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-07,0.031469,0.031884,0.026981,0.028426,426.0
56,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-08,0.028426,0.032033,0.027128,0.029766,775.0
57,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-09,0.029766,0.030181,0.027325,0.027712,384.0
58,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-10,0.027712,0.029224,0.023961,0.025992,561.0
59,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-11,0.025992,0.028622,0.023163,0.023338,920.0
60,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-12,0.023338,0.02794,0.023238,0.02427,1113.0
61,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-13,0.02427,0.026971,0.024246,0.025299,637.0
62,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-14,0.025299,0.030404,0.024716,0.026843,1298.0
63,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-15,0.026907,0.028263,0.025392,0.026594,992.0
64,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-16,0.026594,0.032765,0.026338,0.030209,5103.0
65,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-17,0.030241,0.039184,0.029476,0.038141,5254.0
66,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-18,0.038141,0.043038,0.030548,0.038874,5630.0
67,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-19,0.0389,0.0389,0.028704,0.037039,2911.0
68,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-20,0.037052,0.037594,0.029834,0.037235,664.0
69,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-21,0.03719,0.038836,0.033178,0.035198,863.0
70,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-22,0.035198,0.036776,0.033205,0.033571,2168.0
71,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-23,0.033571,0.087603,0.031215,0.081858,846.0
72,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-24,0.081858,0.093377,0.075405,0.080631,790.0
73,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-25,0.080632,0.082605,0.024287,0.027476,683.0
74,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-26,0.027427,0.031896,0.026709,0.030134,368.0
75,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-27,0.030134,0.208628,0.030134,0.087942,634.0
76,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-28,0.087942,0.087953,0.087939,0.087948,609.0
77,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-29,0.08795,0.087952,0.024596,0.087939,235.0
78,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-30,0.087939,0.087961,0.087933,0.08795,899.0
79,Peruvian National Football Team Fan Token,FPFT-USD,2022-08-31,0.087951,0.192416,0.025777,0.030011,782.0
80,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-01,0.030011,0.030496,0.026341,0.029042,1209.0
81,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-02,0.029042,0.031933,0.027777,0.028222,2788.0
82,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-03,0.028228,0.030007,0.027148,0.029489,1419.0
83,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-04,0.029433,0.032019,0.026599,0.03165,1412.0
84,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-05,0.031645,0.03808,0.029392,0.03443,7951.0
85,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-06,0.03443,0.035996,0.02874,0.031603,12355.0
86,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-07,0.031616,0.034991,0.026497,0.033169,19255.0
87,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-08,0.033222,0.033981,0.02758,0.027688,11611.0
88,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-09,0.027688,0.033501,0.027589,0.030989,9294.0
89,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-10,0.031021,0.031825,0.029125,0.030959,767.0
90,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-11,0.030959,0.033601,0.027312,0.02826,3727.0
91,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-12,0.02827,0.034519,0.027913,0.03206,4710.0
92,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-13,0.032059,0.033263,0.026817,0.030726,5593.0
93,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-14,0.02914,0.032204,0.029075,0.029781,449.0
94,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-15,0.029781,0.036184,0.029466,0.03227,12698.0
95,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-16,0.03227,0.037765,0.031192,0.037646,25258.0
96,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-17,0.037646,0.041998,0.018334,0.034785,8676.0
97,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-18,0.034785,0.041385,0.015669,0.038994,3759.0
98,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-19,0.038994,0.046751,0.016002,0.039447,38088.0
99,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-20,0.039487,0.047909,0.020745,0.041745,11007.0
100,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-21,0.041761,0.043575,0.017745,0.034806,13204.0
101,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-22,0.034806,0.05615,0.020492,0.054464,40360.0
102,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-23,0.054464,0.07991,0.053016,0.069367,48205.0
103,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-24,0.069367,0.081067,0.058655,0.070861,28409.0
104,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-25,0.070882,0.076456,0.061473,0.063152,25190.0
105,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-26,0.063151,0.077015,0.061791,0.076636,12689.0
106,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-27,0.076523,0.108548,0.073155,0.098167,53672.0
107,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-28,0.098066,0.176182,0.090709,0.148991,226771.0
108,Peruvian National Football Team Fan Token,FPFT-USD,2022-09-29,0.148991,0.170367,0.107988,0.112353,148666.0
