,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Galatasaray Fan Token,GAL-USD,2020-06-08,4.828474,4.978729,4.588022,4.817021,388338.0
1,Galatasaray Fan Token,GAL-USD,2020-06-09,4.821752,5.225411,4.745163,4.827255,392890.0
2,Galatasaray Fan Token,GAL-USD,2020-06-10,4.829037,4.963807,4.0306,4.382179,356624.0
3,Galatasaray Fan Token,GAL-USD,2020-06-11,4.384498,4.936582,3.885655,4.175921,324953.0
4,Galatasaray Fan Token,GAL-USD,2020-06-12,4.176318,4.602443,3.768493,4.142443,325603.0
5,Galatasaray Fan Token,GAL-USD,2020-06-13,4.142275,4.249497,3.915958,4.069098,309008.0
6,Galatasaray Fan Token,GAL-USD,2020-06-14,4.078951,4.225809,3.340828,3.437279,293025.0
7,Galatasaray Fan Token,GAL-USD,2020-06-15,3.437279,3.681742,3.076066,3.32989,272508.0
8,Galatasaray Fan Token,GAL-USD,2020-06-16,3.336035,3.570968,2.272802,2.909096,333382.0
9,Galatasaray Fan Token,GAL-USD,2020-06-17,2.90762,2.985843,2.635427,2.810299,243720.0
10,Galatasaray Fan Token,GAL-USD,2020-06-18,2.810299,2.919835,2.632944,2.805876,237722.0
11,Galatasaray Fan Token,GAL-USD,2020-06-19,2.787635,3.453417,2.599077,3.01306,258140.0
12,Galatasaray Fan Token,GAL-USD,2020-06-20,3.01306,3.036666,2.622316,2.948926,231714.0
13,Galatasaray Fan Token,GAL-USD,2020-06-21,2.950301,3.312609,2.737926,2.740769,167098.0
14,Galatasaray Fan Token,GAL-USD,2020-06-22,2.742934,4.180408,2.673795,3.309394,400920.0
15,Galatasaray Fan Token,GAL-USD,2020-06-23,3.299464,3.41716,3.185594,3.323422,292412.0
16,Galatasaray Fan Token,GAL-USD,2020-06-24,3.321373,3.381031,2.933209,3.069982,281674.0
17,Galatasaray Fan Token,GAL-USD,2020-06-25,3.074554,3.102525,2.939537,3.029365,226277.0
18,Galatasaray Fan Token,GAL-USD,2020-06-26,3.029484,3.035709,2.702303,2.702799,227033.0
19,Galatasaray Fan Token,GAL-USD,2020-06-27,2.766502,2.884455,2.401135,2.464174,190008.0
20,Galatasaray Fan Token,GAL-USD,2020-06-28,2.464174,2.759578,2.336915,2.617233,187869.0
21,Galatasaray Fan Token,GAL-USD,2020-06-29,2.617233,2.699498,2.476393,2.631173,198872.0
22,Galatasaray Fan Token,GAL-USD,2020-06-30,2.628364,2.712572,2.384957,2.449301,180718.0
23,Galatasaray Fan Token,GAL-USD,2020-07-01,2.453818,2.527298,2.216177,2.356876,187602.0
24,Galatasaray Fan Token,GAL-USD,2020-07-02,2.357644,2.359233,2.062958,2.107351,173317.0
25,Galatasaray Fan Token,GAL-USD,2020-07-03,2.112867,2.166307,1.953063,2.038391,149767.0
26,Galatasaray Fan Token,GAL-USD,2020-07-04,2.03973,2.447681,2.009418,2.185038,172269.0
27,Galatasaray Fan Token,GAL-USD,2020-07-05,2.184017,2.452768,2.149947,2.191549,164711.0
28,Galatasaray Fan Token,GAL-USD,2020-07-06,2.191549,2.321076,2.159491,2.270323,113397.0
29,Galatasaray Fan Token,GAL-USD,2020-07-07,2.269972,2.33082,2.066808,2.1513,107772.0
30,Galatasaray Fan Token,GAL-USD,2020-07-08,2.1513,2.234394,2.067601,2.121282,72915.0
31,Galatasaray Fan Token,GAL-USD,2020-07-09,2.121282,2.265848,2.047813,2.117236,61422.0
32,Galatasaray Fan Token,GAL-USD,2020-07-10,2.116392,2.190577,1.946867,2.083593,106486.0
33,Galatasaray Fan Token,GAL-USD,2020-07-11,2.083593,2.242737,1.833571,1.946153,91075.0
34,Galatasaray Fan Token,GAL-USD,2020-07-12,1.948676,2.484905,1.859084,2.150671,148117.0
35,Galatasaray Fan Token,GAL-USD,2020-07-13,2.150671,2.34121,2.123081,2.143961,105920.0
36,Galatasaray Fan Token,GAL-USD,2020-07-14,2.143961,2.299121,2.099311,2.232586,100047.0
37,Galatasaray Fan Token,GAL-USD,2020-07-15,2.232018,2.310648,2.137992,2.20055,113008.0
38,Galatasaray Fan Token,GAL-USD,2020-07-16,2.196304,2.246215,2.040534,2.048403,119482.0
39,Galatasaray Fan Token,GAL-USD,2020-07-17,2.047864,2.194091,2.023549,2.0638,91634.0
40,Galatasaray Fan Token,GAL-USD,2020-07-18,2.0638,2.181951,2.027408,2.071335,35468.0
41,Galatasaray Fan Token,GAL-USD,2020-07-19,2.06982,2.1113,1.987391,2.028633,101736.0
42,Galatasaray Fan Token,GAL-USD,2020-07-20,2.032002,2.381604,2.01298,2.310425,128500.0
43,Galatasaray Fan Token,GAL-USD,2020-07-21,2.310425,2.635842,2.244833,2.478558,167018.0
44,Galatasaray Fan Token,GAL-USD,2020-07-22,2.478558,2.567277,2.369412,2.444832,149403.0
45,Galatasaray Fan Token,GAL-USD,2020-07-23,2.444832,2.74101,2.386131,2.46225,92415.0
46,Galatasaray Fan Token,GAL-USD,2020-07-24,2.46225,2.622594,2.38995,2.496628,115249.0
47,Galatasaray Fan Token,GAL-USD,2020-07-25,2.496497,2.594515,2.465255,2.469223,179191.0
48,Galatasaray Fan Token,GAL-USD,2020-07-26,2.469352,2.58579,2.433636,2.527408,179388.0
49,Galatasaray Fan Token,GAL-USD,2020-07-27,2.528048,2.587049,2.269684,2.380071,161767.0
50,Galatasaray Fan Token,GAL-USD,2020-07-28,2.378531,2.484234,2.266008,2.344809,176088.0
51,Galatasaray Fan Token,GAL-USD,2020-07-29,2.343085,2.439622,2.321687,2.381453,169022.0
52,Galatasaray Fan Token,GAL-USD,2020-07-30,2.381453,2.722559,2.363118,2.722559,197789.0
53,Galatasaray Fan Token,GAL-USD,2020-07-31,2.722559,3.153358,2.550034,2.659801,151593.0
54,Galatasaray Fan Token,GAL-USD,2020-08-01,2.667837,2.667837,2.450996,2.60713,185706.0
55,Galatasaray Fan Token,GAL-USD,2020-08-02,2.612332,2.61364,2.316917,2.456921,180981.0
56,Galatasaray Fan Token,GAL-USD,2020-08-03,2.452497,2.616239,2.415259,2.485566,173259.0
57,Galatasaray Fan Token,GAL-USD,2020-08-04,2.484654,2.738603,2.444899,2.583036,152175.0
58,Galatasaray Fan Token,GAL-USD,2020-08-05,2.580138,2.723621,2.49621,2.587989,185675.0
59,Galatasaray Fan Token,GAL-USD,2020-08-06,2.587989,2.643406,2.475606,2.537551,187388.0
60,Galatasaray Fan Token,GAL-USD,2020-08-07,2.542731,2.858893,2.37645,2.544694,269081.0
61,Galatasaray Fan Token,GAL-USD,2020-08-08,2.542036,2.61728,2.412128,2.532946,229516.0
62,Galatasaray Fan Token,GAL-USD,2020-08-09,2.535105,2.656439,2.480506,2.618467,198064.0
63,Galatasaray Fan Token,GAL-USD,2020-08-10,2.618467,2.67846,2.4428,2.615468,194906.0
64,Galatasaray Fan Token,GAL-USD,2020-08-11,2.618098,2.681537,2.342908,2.438731,190543.0
65,Galatasaray Fan Token,GAL-USD,2020-08-12,2.44428,2.66691,2.374145,2.637979,208791.0
66,Galatasaray Fan Token,GAL-USD,2020-08-13,2.641249,3.136005,2.639189,2.94256,232654.0
67,Galatasaray Fan Token,GAL-USD,2020-08-14,2.994032,3.192777,2.826115,3.101632,231748.0
68,Galatasaray Fan Token,GAL-USD,2020-08-15,3.107498,3.149204,2.770995,2.932808,214398.0
69,Galatasaray Fan Token,GAL-USD,2020-08-16,2.966547,3.190492,2.793949,3.034199,229610.0
70,Galatasaray Fan Token,GAL-USD,2020-08-17,3.034199,3.162108,2.928374,3.077923,227312.0
71,Galatasaray Fan Token,GAL-USD,2020-08-18,3.087009,3.314217,2.481353,2.770041,222595.0
72,Galatasaray Fan Token,GAL-USD,2020-08-19,2.774609,2.794977,2.411701,2.571583,178874.0
73,Galatasaray Fan Token,GAL-USD,2020-08-20,2.571583,2.937668,2.561055,2.807863,213523.0
74,Galatasaray Fan Token,GAL-USD,2020-08-21,2.80814,2.898892,2.512439,2.600593,185004.0
75,Galatasaray Fan Token,GAL-USD,2020-08-22,2.597774,2.771817,2.560101,2.732431,195685.0
76,Galatasaray Fan Token,GAL-USD,2020-08-23,2.727439,2.951527,2.597135,2.786623,204771.0
