,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Genclerbirligi Fan Token,GBSK-USD,2022-09-20,0.028096,0.029699,0.027152,0.029042,1523.0
1,Genclerbirligi Fan Token,GBSK-USD,2022-09-21,0.029045,0.030324,0.025227,0.025254,540.0
2,Genclerbirligi Fan Token,GBSK-USD,2022-09-22,0.025254,0.03017,0.025207,0.030001,775.0
3,Genclerbirligi Fan Token,GBSK-USD,2022-09-23,0.030001,0.033298,0.027722,0.032951,3774.0
4,Genclerbirligi Fan Token,GBSK-USD,2022-09-24,0.032952,0.048403,0.031222,0.04164,18335.0
5,Genclerbirligi Fan Token,GBSK-USD,2022-09-25,0.041649,0.046034,0.034453,0.045661,12417.0
6,Genclerbirligi Fan Token,GBSK-USD,2022-09-26,0.045661,0.046191,0.033854,0.038421,5925.0
7,Genclerbirligi Fan Token,GBSK-USD,2022-09-27,0.038379,0.041955,0.031797,0.035934,1395.0
8,Genclerbirligi Fan Token,GBSK-USD,2022-09-28,0.03591,0.043931,0.03578,0.040641,7004.0
9,Genclerbirligi Fan Token,GBSK-USD,2022-09-29,0.040641,0.044235,0.036454,0.037112,1982.0
10,Genclerbirligi Fan Token,GBSK-USD,2022-09-30,0.037133,0.041076,0.03156,0.038627,8812.0
11,Genclerbirligi Fan Token,GBSK-USD,2022-10-01,0.038657,0.039363,0.03296,0.03844,726.0
12,Genclerbirligi Fan Token,GBSK-USD,2022-10-02,0.03844,0.041828,0.034492,0.037416,1752.0
13,Genclerbirligi Fan Token,GBSK-USD,2022-10-03,0.037416,0.037569,0.035247,0.037554,873.0
14,Genclerbirligi Fan Token,GBSK-USD,2022-10-04,0.037551,0.037907,0.034907,0.03746,1138.0
15,Genclerbirligi Fan Token,GBSK-USD,2022-10-05,0.03746,0.037609,0.02964,0.030331,2835.0
16,Genclerbirligi Fan Token,GBSK-USD,2022-10-06,0.030331,0.033317,0.03031,0.032732,8952.0
