,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Goztepe S.K. Fan Token,GOZ-USD,2021-05-14,2.19633,2.290344,2.0774,2.196387,0.0
1,Goztepe S.K. Fan Token,GOZ-USD,2021-05-15,2.195696,2.618706,1.950686,2.104682,0.0
2,Goztepe S.K. Fan Token,GOZ-USD,2021-05-16,2.104966,2.402707,1.876126,1.969624,0.0
3,Goztepe S.K. Fan Token,GOZ-USD,2021-05-17,1.970848,2.075359,1.719819,1.887494,0.0
4,Goztepe S.K. Fan Token,GOZ-USD,2021-05-18,1.889497,2.173852,1.77669,1.964837,0.0
5,Goztepe S.K. Fan Token,GOZ-USD,2021-05-19,1.958851,2.002558,0.921296,1.241832,0.0
6,Goztepe S.K. Fan Token,GOZ-USD,2021-05-20,1.232404,1.601909,1.096165,1.439507,0.0
7,Goztepe S.K. Fan Token,GOZ-USD,2021-05-21,1.438701,1.590736,1.128334,1.328311,0.0
8,Goztepe S.K. Fan Token,GOZ-USD,2021-05-22,1.327282,1.377291,1.144639,1.234273,0.0
9,Goztepe S.K. Fan Token,GOZ-USD,2021-05-23,1.233947,1.280392,0.785619,1.050075,0.0
10,Goztepe S.K. Fan Token,GOZ-USD,2021-05-24,1.047271,1.259404,1.001281,1.247614,0.0
11,Goztepe S.K. Fan Token,GOZ-USD,2021-05-25,1.250727,1.288759,0.992258,1.1874,0.0
12,Goztepe S.K. Fan Token,GOZ-USD,2021-05-26,1.193894,1.46825,1.10654,1.456128,0.0
13,Goztepe S.K. Fan Token,GOZ-USD,2021-05-27,1.452779,1.467684,1.237985,1.340469,0.0
14,Goztepe S.K. Fan Token,GOZ-USD,2021-05-28,1.336817,1.462338,1.161778,1.297017,0.0
15,Goztepe S.K. Fan Token,GOZ-USD,2021-05-29,1.299496,1.349055,1.150679,1.223297,0.0
16,Goztepe S.K. Fan Token,GOZ-USD,2021-05-30,1.224115,1.394829,1.126195,1.238098,0.0
17,Goztepe S.K. Fan Token,GOZ-USD,2021-05-31,1.238433,1.319794,1.163539,1.254993,0.0
18,Goztepe S.K. Fan Token,GOZ-USD,2021-06-01,1.256064,1.29269,1.143283,1.219076,0.0
19,Goztepe S.K. Fan Token,GOZ-USD,2021-06-02,1.220467,1.264566,1.185018,1.234861,0.0
20,Goztepe S.K. Fan Token,GOZ-USD,2021-06-03,1.234458,1.399386,1.215609,1.314465,0.0
21,Goztepe S.K. Fan Token,GOZ-USD,2021-06-04,1.313428,1.354416,1.100537,1.182491,0.0
22,Goztepe S.K. Fan Token,GOZ-USD,2021-06-05,1.181697,1.243079,1.067397,1.101029,0.0
23,Goztepe S.K. Fan Token,GOZ-USD,2021-06-06,1.09867,1.297598,1.094882,1.20176,0.0
24,Goztepe S.K. Fan Token,GOZ-USD,2021-06-07,1.200933,1.27032,1.062376,1.069585,0.0
25,Goztepe S.K. Fan Token,GOZ-USD,2021-06-08,1.066387,1.096819,0.9018,1.023206,0.0
26,Goztepe S.K. Fan Token,GOZ-USD,2021-06-09,1.02159,1.03413,0.941198,1.013465,0.0
27,Goztepe S.K. Fan Token,GOZ-USD,2021-06-10,1.015391,1.14746,0.959999,1.121352,0.0
28,Goztepe S.K. Fan Token,GOZ-USD,2021-06-11,1.120561,1.340926,1.031828,1.176019,0.0
29,Goztepe S.K. Fan Token,GOZ-USD,2021-06-12,1.177635,1.333727,1.070352,1.139044,0.0
30,Goztepe S.K. Fan Token,GOZ-USD,2021-06-13,1.137319,1.205841,1.080855,1.16604,0.0
31,Goztepe S.K. Fan Token,GOZ-USD,2021-06-14,1.163297,1.224868,1.128618,1.195273,1.0
32,Goztepe S.K. Fan Token,GOZ-USD,2021-06-15,1.181058,1.362389,1.131483,1.173333,1.0
33,Goztepe S.K. Fan Token,GOZ-USD,2021-06-16,1.207666,1.333607,1.064965,1.144696,0.0
34,Goztepe S.K. Fan Token,GOZ-USD,2021-06-17,1.142366,1.302974,1.108936,1.183138,0.0
35,Goztepe S.K. Fan Token,GOZ-USD,2021-06-18,1.184807,1.190959,1.012374,1.080767,0.0
36,Goztepe S.K. Fan Token,GOZ-USD,2021-06-19,1.079872,1.161451,1.03498,1.071467,0.0
37,Goztepe S.K. Fan Token,GOZ-USD,2021-06-20,1.072732,1.167885,0.995992,1.058741,0.0
38,Goztepe S.K. Fan Token,GOZ-USD,2021-06-21,1.057652,1.0672,0.794401,0.816008,0.0
39,Goztepe S.K. Fan Token,GOZ-USD,2021-06-22,0.819939,0.973369,0.696628,0.820189,0.0
40,Goztepe S.K. Fan Token,GOZ-USD,2021-06-23,0.82164,0.974618,0.79685,0.905524,0.0
41,Goztepe S.K. Fan Token,GOZ-USD,2021-06-24,0.914389,0.99203,0.859749,0.961766,0.0
42,Goztepe S.K. Fan Token,GOZ-USD,2021-06-25,0.961089,0.998305,0.840087,0.860722,0.0
43,Goztepe S.K. Fan Token,GOZ-USD,2021-06-26,0.857862,0.948592,0.821457,0.897534,0.0
44,Goztepe S.K. Fan Token,GOZ-USD,2021-06-27,0.900038,0.941142,0.865585,0.939465,0.0
45,Goztepe S.K. Fan Token,GOZ-USD,2021-06-28,0.93963,0.972098,0.899117,0.930613,0.0
46,Goztepe S.K. Fan Token,GOZ-USD,2021-06-29,0.929729,0.980031,0.872826,0.917608,0.0
47,Goztepe S.K. Fan Token,GOZ-USD,2021-06-30,0.91606,0.920807,0.780369,0.878282,0.0
48,Goztepe S.K. Fan Token,GOZ-USD,2021-07-01,0.877864,0.918371,0.744931,0.823599,0.0
49,Goztepe S.K. Fan Token,GOZ-USD,2021-07-02,0.824736,0.85188,0.79,0.842568,0.0
50,Goztepe S.K. Fan Token,GOZ-USD,2021-07-03,0.843306,0.907473,0.826373,0.858242,0.0
51,Goztepe S.K. Fan Token,GOZ-USD,2021-07-04,0.858535,0.912254,0.837204,0.852812,0.0
52,Goztepe S.K. Fan Token,GOZ-USD,2021-07-05,0.853671,0.890133,0.792491,0.814572,0.0
53,Goztepe S.K. Fan Token,GOZ-USD,2021-07-06,0.811749,0.880636,0.811713,0.870476,0.0
54,Goztepe S.K. Fan Token,GOZ-USD,2021-07-07,0.870918,0.968757,0.814115,0.841176,0.0
55,Goztepe S.K. Fan Token,GOZ-USD,2021-07-08,0.843391,0.932953,0.774935,0.805879,0.0
56,Goztepe S.K. Fan Token,GOZ-USD,2021-07-09,0.805803,0.857612,0.753454,0.843422,0.0
57,Goztepe S.K. Fan Token,GOZ-USD,2021-07-10,0.838492,0.877774,0.796199,0.825053,0.0
58,Goztepe S.K. Fan Token,GOZ-USD,2021-07-11,0.82528,0.872455,0.801006,0.859139,0.0
59,Goztepe S.K. Fan Token,GOZ-USD,2021-07-12,0.85879,0.998011,0.818925,0.927364,0.0
60,Goztepe S.K. Fan Token,GOZ-USD,2021-07-13,0.927309,1.01432,0.873435,0.909993,0.0
61,Goztepe S.K. Fan Token,GOZ-USD,2021-07-14,0.910636,1.23151,0.839169,1.100695,0.0
62,Goztepe S.K. Fan Token,GOZ-USD,2021-07-15,1.101915,1.181739,0.946343,0.97124,0.0
63,Goztepe S.K. Fan Token,GOZ-USD,2021-07-16,0.972614,1.009343,0.854646,0.875494,0.0
64,Goztepe S.K. Fan Token,GOZ-USD,2021-07-17,0.875346,0.912458,0.852842,0.883779,0.0
65,Goztepe S.K. Fan Token,GOZ-USD,2021-07-18,0.884749,0.932262,0.841874,0.927255,0.0
66,Goztepe S.K. Fan Token,GOZ-USD,2021-07-19,0.927575,0.928097,0.836384,0.870576,0.0
67,Goztepe S.K. Fan Token,GOZ-USD,2021-07-20,0.869009,0.89002,0.757703,0.792948,0.0
68,Goztepe S.K. Fan Token,GOZ-USD,2021-07-21,0.79283,0.880815,0.768515,0.845166,0.0
69,Goztepe S.K. Fan Token,GOZ-USD,2021-07-22,0.845318,0.891947,0.828564,0.882066,0.0
70,Goztepe S.K. Fan Token,GOZ-USD,2021-07-23,0.881584,0.938321,0.861916,0.929137,0.0
71,Goztepe S.K. Fan Token,GOZ-USD,2021-07-24,0.930023,1.00983,0.905475,0.946462,0.0
72,Goztepe S.K. Fan Token,GOZ-USD,2021-07-25,0.947089,0.979698,0.908547,0.965921,0.0
73,Goztepe S.K. Fan Token,GOZ-USD,2021-07-26,0.965778,1.024784,0.905533,0.923495,0.0
74,Goztepe S.K. Fan Token,GOZ-USD,2021-07-27,0.9221,0.962826,0.870508,0.925492,0.0
75,Goztepe S.K. Fan Token,GOZ-USD,2021-07-28,0.925547,0.937274,0.879505,0.912478,0.0
76,Goztepe S.K. Fan Token,GOZ-USD,2021-07-29,0.912033,0.965567,0.889784,0.951703,0.0
77,Goztepe S.K. Fan Token,GOZ-USD,2021-07-30,0.952907,0.987407,0.908569,0.96098,0.0
