,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-19,5.38557,6.044244,5.163739,5.879946,0.0
1,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-20,5.88601,6.986535,5.480609,5.776963,0.0
2,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-21,5.796494,6.625674,5.533032,5.640136,0.0
3,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-22,5.6371,6.001223,5.306645,5.86728,0.0
4,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-23,5.874259,7.355358,5.76344,6.304318,0.0
5,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-24,6.310794,6.85857,5.459904,6.122171,0.0
6,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-25,6.123944,6.244659,5.238336,5.560759,0.0
7,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-26,5.559849,6.19697,5.237692,5.555278,0.0
8,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-27,5.552635,5.975831,5.357831,5.72056,0.0
9,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-28,5.718245,6.123608,5.575593,5.925806,0.0
10,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-29,5.93094,6.085942,5.570151,5.639312,0.0
11,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-30,5.634757,5.879462,0.0,5.51642,0.0
12,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-03-31,5.512664,5.573304,4.878795,5.301128,0.0
13,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-01,5.302341,5.484933,4.820118,5.160958,0.0
14,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-02,5.164516,5.542211,4.860898,5.153322,0.0
15,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-03,5.155161,5.297697,4.373884,4.43479,0.0
16,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-04,4.446416,4.840836,3.903393,4.299457,0.0
17,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-05,4.29489,4.483654,3.912946,4.291254,0.0
18,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-06,4.29351,4.362374,3.831057,4.16974,0.0
19,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-07,4.154777,5.03619,3.64913,4.454493,0.0
20,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-08,4.429207,5.597773,4.308883,4.911661,0.0
21,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-09,4.912996,5.275169,4.689021,4.771215,0.0
22,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-10,4.783449,5.17642,4.488894,4.501611,0.0
23,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-11,4.500727,5.160043,4.174976,4.733618,0.0
24,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-12,4.736229,5.73469,4.635389,5.614053,0.0
25,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-13,5.600787,5.600787,4.720337,4.943111,0.0
26,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-14,4.946904,5.030685,4.346065,4.719005,0.0
27,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-15,4.714243,5.402918,4.558455,4.866972,0.0
28,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-16,4.874889,5.727478,4.335757,4.948248,0.0
29,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-17,4.953062,5.022705,3.971784,4.49746,0.0
30,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-18,4.498124,4.756954,3.157487,4.229711,0.0
31,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-19,4.221242,4.255496,3.600822,3.735773,0.0
32,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-20,3.733222,4.180917,3.394111,4.017822,0.0
33,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-21,4.019362,4.943928,3.436976,3.896691,0.0
34,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-22,3.902124,4.257262,3.390449,3.798587,0.0
35,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-23,3.794221,3.967549,2.732707,3.851761,0.0
36,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-24,3.851829,4.701088,3.589984,4.085867,0.0
37,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-25,4.092025,4.573795,3.416364,3.674766,0.0
38,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-26,3.678567,4.615946,3.527047,3.811765,0.0
39,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-27,3.815606,5.360998,3.705018,4.859397,0.0
40,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-28,4.873217,5.172256,3.92108,4.678977,0.0
41,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-29,4.697731,5.050369,4.338496,4.50111,0.0
42,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-04-30,4.492839,4.742653,4.282085,4.612337,0.0
43,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-05-01,4.61583,4.693295,4.368703,4.440509,0.0
44,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-05-02,4.434847,4.710651,4.098697,4.460975,0.0
45,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-05-03,4.453842,5.004289,4.200001,4.615934,0.0
46,Istanbul Basaksehir FK Fan Token,IBFK-USD,2021-05-04,4.623106,4.792576,4.101082,4.151098,0.0
