,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Inter Milan Fan Token,INTER-USD,2021-09-14,7.344137,8.93,6.721675,8.692,934017.0
1,Inter Milan Fan Token,INTER-USD,2021-09-15,8.693,9.899,8.111,9.635,367820.0
2,Inter Milan Fan Token,INTER-USD,2021-09-16,9.633,9.89,8.775,9.579,262920.0
3,Inter Milan Fan Token,INTER-USD,2021-09-17,9.579,9.901,9.065,9.213,110774.0
4,Inter Milan Fan Token,INTER-USD,2021-09-18,9.213,9.643,9.213,9.381,72046.0
5,Inter Milan Fan Token,INTER-USD,2021-09-19,9.381,9.522,9.087,9.266,82388.0
6,Inter Milan Fan Token,INTER-USD,2021-09-20,9.266,9.27,8.192,8.214,195084.0
7,Inter Milan Fan Token,INTER-USD,2021-09-21,8.206,8.73,7.594,7.901,191926.0
8,Inter Milan Fan Token,INTER-USD,2021-09-22,7.921,9.648,7.921,9.506,149608.0
9,Inter Milan Fan Token,INTER-USD,2021-09-23,9.507,10.079,9.305,10.06,213816.0
10,Inter Milan Fan Token,INTER-USD,2021-09-24,10.06,10.325,8.917,9.694,135159.0
11,Inter Milan Fan Token,INTER-USD,2021-09-25,9.694,10.762,9.656,10.48,219977.0
12,Inter Milan Fan Token,INTER-USD,2021-09-26,10.48,10.527,9.757,10.389,128443.0
13,Inter Milan Fan Token,INTER-USD,2021-09-27,10.389,10.54,9.724,9.78,104150.0
14,Inter Milan Fan Token,INTER-USD,2021-09-28,9.78,9.86,9.27,9.342,65236.0
15,Inter Milan Fan Token,INTER-USD,2021-09-29,9.342,9.618,8.832,8.97,90675.0
16,Inter Milan Fan Token,INTER-USD,2021-09-30,8.97,9.342,8.896,9.22,55955.0
17,Inter Milan Fan Token,INTER-USD,2021-10-01,9.22,9.354,8.7,8.827,121033.0
18,Inter Milan Fan Token,INTER-USD,2021-10-02,8.827,9.207,8.68,8.96,90841.0
19,Inter Milan Fan Token,INTER-USD,2021-10-03,8.96,8.992,8.612,8.761,66355.0
20,Inter Milan Fan Token,INTER-USD,2021-10-04,8.761,8.865,8.563,8.731,68935.0
21,Inter Milan Fan Token,INTER-USD,2021-10-05,8.731,8.803,7.98,8.467,171484.0
22,Inter Milan Fan Token,INTER-USD,2021-10-06,8.469,8.529,8.082,8.418,140893.0
23,Inter Milan Fan Token,INTER-USD,2021-10-07,8.418,9.304,8.103,8.974,225827.0
24,Inter Milan Fan Token,INTER-USD,2021-10-08,9.018,9.018,8.729,8.795,71717.0
25,Inter Milan Fan Token,INTER-USD,2021-10-09,8.795,9.049,8.687,8.76,36833.0
26,Inter Milan Fan Token,INTER-USD,2021-10-10,8.76,8.901,8.494,8.5,36890.0
27,Inter Milan Fan Token,INTER-USD,2021-10-11,8.5,8.703,8.177,8.358,49697.0
28,Inter Milan Fan Token,INTER-USD,2021-10-12,8.358,8.951,8.18,8.76,121900.0
29,Inter Milan Fan Token,INTER-USD,2021-10-13,8.76,9.431,8.401,9.404,189665.0
30,Inter Milan Fan Token,INTER-USD,2021-10-14,9.404,9.448,9.031,9.281,130831.0
31,Inter Milan Fan Token,INTER-USD,2021-10-15,9.28,9.28,8.587,8.841,157118.0
32,Inter Milan Fan Token,INTER-USD,2021-10-16,8.841,9.046,8.785,8.822,70116.0
33,Inter Milan Fan Token,INTER-USD,2021-10-17,8.788,8.898,8.441,8.578,66663.0
34,Inter Milan Fan Token,INTER-USD,2021-10-18,8.578,8.807,8.552,8.725,86178.0
35,Inter Milan Fan Token,INTER-USD,2021-10-19,8.725,8.775,8.44,8.492,71250.0
36,Inter Milan Fan Token,INTER-USD,2021-10-20,8.492,8.664,8.355,8.634,71157.0
37,Inter Milan Fan Token,INTER-USD,2021-10-21,8.634,8.905,8.501,8.545,137440.0
38,Inter Milan Fan Token,INTER-USD,2021-10-22,8.545,14.089,8.545,10.252,1572631.0
39,Inter Milan Fan Token,INTER-USD,2021-10-23,10.252,11.6,10.147,10.472,118223.0
40,Inter Milan Fan Token,INTER-USD,2021-10-24,10.472,10.472,9.914,10.039,95349.0
41,Inter Milan Fan Token,INTER-USD,2021-10-25,10.039,10.1,9.631601,9.685794,17294698.0
42,Inter Milan Fan Token,INTER-USD,2021-10-26,9.686095,9.900264,9.045241,9.114479,14389311.0
