,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Italian National Football Team Fan Token,ITA-USD,2022-10-28,3.14076,3.309266,3.13654,3.141432,3534316.0
1,Italian National Football Team Fan Token,ITA-USD,2022-10-29,3.141416,3.187588,2.583881,2.61608,2329250.0
2,Italian National Football Team Fan Token,ITA-USD,2022-10-30,2.624493,3.051514,2.606633,2.857397,1465093.0
3,Italian National Football Team Fan Token,ITA-USD,2022-10-31,2.857413,3.275709,2.755621,2.954531,2161667.0
4,Italian National Football Team Fan Token,ITA-USD,2022-11-01,2.954556,3.408117,2.938168,3.30495,858978.0
5,Italian National Football Team Fan Token,ITA-USD,2022-11-02,3.304931,3.313295,2.967217,3.143748,198674.0
6,Italian National Football Team Fan Token,ITA-USD,2022-11-03,3.143694,3.373692,2.983338,3.215443,250593.0
7,Italian National Football Team Fan Token,ITA-USD,2022-11-04,3.214723,3.318287,3.017099,3.113035,222223.0
8,Italian National Football Team Fan Token,ITA-USD,2022-11-05,3.113034,3.22646,3.013683,3.103755,261371.0
9,Italian National Football Team Fan Token,ITA-USD,2022-11-06,3.103763,3.476497,3.093603,3.298604,362275.0
10,Italian National Football Team Fan Token,ITA-USD,2022-11-07,3.298642,3.327277,3.018146,3.024352,277771.0
11,Italian National Football Team Fan Token,ITA-USD,2022-11-08,3.024107,3.076835,1.951752,2.265863,289157.0
12,Italian National Football Team Fan Token,ITA-USD,2022-11-09,2.264949,2.274196,1.605311,1.670477,274978.0
13,Italian National Football Team Fan Token,ITA-USD,2022-11-10,1.674873,2.409126,1.620158,2.238901,232211.0
14,Italian National Football Team Fan Token,ITA-USD,2022-11-11,2.238855,2.511071,2.0443,2.20316,190691.0
15,Italian National Football Team Fan Token,ITA-USD,2022-11-12,2.203118,2.267671,2.041638,2.065743,161718.0
16,Italian National Football Team Fan Token,ITA-USD,2022-11-13,2.070269,2.141118,1.823991,1.922675,211848.0
17,Italian National Football Team Fan Token,ITA-USD,2022-11-14,1.922667,2.116888,1.772561,1.901104,216093.0
18,Italian National Football Team Fan Token,ITA-USD,2022-11-15,1.901118,2.155345,1.901113,2.073746,225343.0
19,Italian National Football Team Fan Token,ITA-USD,2022-11-16,2.076774,2.342114,2.07425,2.186852,247193.0
20,Italian National Football Team Fan Token,ITA-USD,2022-11-17,2.187441,2.394262,2.046662,2.306559,248325.0
21,Italian National Football Team Fan Token,ITA-USD,2022-11-18,2.306547,2.63889,2.256571,2.49517,285433.0
22,Italian National Football Team Fan Token,ITA-USD,2022-11-19,2.495201,2.624742,2.25445,2.282387,273177.0
23,Italian National Football Team Fan Token,ITA-USD,2022-11-20,2.283627,2.287549,1.936957,1.941526,258460.0
24,Italian National Football Team Fan Token,ITA-USD,2022-11-21,1.945517,1.958456,1.68105,1.849145,212120.0
25,Italian National Football Team Fan Token,ITA-USD,2022-11-22,1.8532,1.863144,1.760512,1.834522,206466.0
26,Italian National Football Team Fan Token,ITA-USD,2022-11-23,1.834539,1.882966,1.743423,1.753956,190293.0
27,Italian National Football Team Fan Token,ITA-USD,2022-11-24,1.756141,1.774387,1.541868,1.545995,185659.0
28,Italian National Football Team Fan Token,ITA-USD,2022-11-25,1.54704,1.563929,1.448298,1.501744,200677.0
29,Italian National Football Team Fan Token,ITA-USD,2022-11-26,1.501841,1.546978,1.323999,1.384383,208503.0
30,Italian National Football Team Fan Token,ITA-USD,2022-11-27,1.384375,1.424351,1.327276,1.367464,204002.0
31,Italian National Football Team Fan Token,ITA-USD,2022-11-28,1.367838,1.446277,1.36021,1.385208,223220.0
32,Italian National Football Team Fan Token,ITA-USD,2022-11-29,1.38464,1.547327,1.37766,1.495031,250239.0
33,Italian National Football Team Fan Token,ITA-USD,2022-11-30,1.495014,1.512232,1.42801,1.434913,179035.0
34,Italian National Football Team Fan Token,ITA-USD,2022-12-01,1.434932,1.439659,1.221664,1.290755,177244.0
35,Italian National Football Team Fan Token,ITA-USD,2022-12-02,1.290751,1.290751,1.147095,1.219321,211901.0
36,Italian National Football Team Fan Token,ITA-USD,2022-12-03,1.219309,1.256865,1.170198,1.17529,204061.0
37,Italian National Football Team Fan Token,ITA-USD,2022-12-04,1.175291,1.207186,1.155149,1.195891,180732.0
38,Italian National Football Team Fan Token,ITA-USD,2022-12-05,1.19665,1.200213,1.154516,1.164409,180209.0
39,Italian National Football Team Fan Token,ITA-USD,2022-12-06,1.164436,1.170682,1.129301,1.13515,201022.0
40,Italian National Football Team Fan Token,ITA-USD,2022-12-07,1.136269,1.141042,1.095492,1.103724,208246.0
41,Italian National Football Team Fan Token,ITA-USD,2022-12-08,1.104722,1.137933,1.083709,1.098109,342930.0
42,Italian National Football Team Fan Token,ITA-USD,2022-12-09,1.098102,1.153492,1.065681,1.075947,425826.0
43,Italian National Football Team Fan Token,ITA-USD,2022-12-10,1.075952,1.112615,1.044379,1.069665,431766.0
44,Italian National Football Team Fan Token,ITA-USD,2022-12-11,1.069103,1.075329,1.042841,1.042841,663417.0
45,Italian National Football Team Fan Token,ITA-USD,2022-12-12,1.042849,1.046351,0.997835,1.015402,458677.0
46,Italian National Football Team Fan Token,ITA-USD,2022-12-13,1.015483,1.016233,0.977628,0.988725,464471.0
47,Italian National Football Team Fan Token,ITA-USD,2022-12-14,0.989261,1.002215,0.891701,0.912289,435546.0
48,Italian National Football Team Fan Token,ITA-USD,2022-12-15,0.912292,0.968334,0.89775,0.942353,429035.0
49,Italian National Football Team Fan Token,ITA-USD,2022-12-16,0.942352,0.950405,0.927664,0.936125,447203.0
50,Italian National Football Team Fan Token,ITA-USD,2022-12-17,0.936111,0.938041,0.804928,0.841894,409379.0
51,Italian National Football Team Fan Token,ITA-USD,2022-12-18,0.841871,0.870779,0.796078,0.805814,431904.0
52,Italian National Football Team Fan Token,ITA-USD,2022-12-19,0.80581,0.897969,0.781214,0.819194,386133.0
53,Italian National Football Team Fan Token,ITA-USD,2022-12-20,0.819188,0.895193,0.807845,0.868481,406231.0
54,Italian National Football Team Fan Token,ITA-USD,2022-12-21,0.868466,1.028037,0.803844,0.851643,478787.0
55,Italian National Football Team Fan Token,ITA-USD,2022-12-22,0.851645,0.874019,0.813975,0.828633,529117.0
56,Italian National Football Team Fan Token,ITA-USD,2022-12-23,0.828625,0.861702,0.822451,0.857415,547992.0
57,Italian National Football Team Fan Token,ITA-USD,2022-12-24,0.857415,0.869953,0.839275,0.85284,547900.0
58,Italian National Football Team Fan Token,ITA-USD,2022-12-25,0.852838,0.856521,0.833529,0.842527,533899.0
59,Italian National Football Team Fan Token,ITA-USD,2022-12-26,0.84252,0.845033,0.817982,0.835686,537512.0
60,Italian National Football Team Fan Token,ITA-USD,2022-12-27,0.83566,0.841964,0.830559,0.833945,551363.0
61,Italian National Football Team Fan Token,ITA-USD,2022-12-28,0.833949,0.836155,0.793365,0.800657,541413.0
62,Italian National Football Team Fan Token,ITA-USD,2022-12-29,0.800652,0.805732,0.750807,0.752317,124978.0
63,Italian National Football Team Fan Token,ITA-USD,2022-12-30,0.752314,0.758596,0.749877,0.753056,137586.0
64,Italian National Football Team Fan Token,ITA-USD,2022-12-31,0.753063,0.811746,0.743604,0.799538,106056.0
65,Italian National Football Team Fan Token,ITA-USD,2023-01-01,0.799543,0.827299,0.790312,0.813338,110609.0
66,Italian National Football Team Fan Token,ITA-USD,2023-01-02,0.813335,0.826972,0.810827,0.811562,91288.0
67,Italian National Football Team Fan Token,ITA-USD,2023-01-03,0.811571,0.852224,0.796237,0.825501,115445.0
68,Italian National Football Team Fan Token,ITA-USD,2023-01-04,0.825494,0.841488,0.820928,0.827676,127399.0
69,Italian National Football Team Fan Token,ITA-USD,2023-01-05,0.827669,0.942661,0.819951,0.885681,108264.0
70,Italian National Football Team Fan Token,ITA-USD,2023-01-06,0.885693,1.010709,0.853605,0.854075,116588.0
71,Italian National Football Team Fan Token,ITA-USD,2023-01-07,0.854071,0.908392,0.8407,0.864507,101823.0
72,Italian National Football Team Fan Token,ITA-USD,2023-01-08,0.864507,0.876133,0.830677,0.843799,98256.0
73,Italian National Football Team Fan Token,ITA-USD,2023-01-09,0.843788,0.878972,0.817006,0.875498,118349.0
74,Italian National Football Team Fan Token,ITA-USD,2023-01-10,0.875496,1.017754,0.859425,0.902988,96550.0
75,Italian National Football Team Fan Token,ITA-USD,2023-01-11,0.902983,0.949916,0.870838,0.939914,93763.0
76,Italian National Football Team Fan Token,ITA-USD,2023-01-12,0.961008,1.016796,0.911589,0.928082,128706.0
77,Italian National Football Team Fan Token,ITA-USD,2023-01-13,0.928109,0.976436,0.92366,0.963292,116215.0
78,Italian National Football Team Fan Token,ITA-USD,2023-01-14,0.963285,0.99863,0.945446,0.989051,103508.0
