,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Juventus Fan Token,JUV-USD,2020-04-22,2.063383,2.289182,1.855369,2.161335,125545.0
1,Juventus Fan Token,JUV-USD,2020-04-23,2.143965,2.292742,1.877248,2.118463,58544.0
2,Juventus Fan Token,JUV-USD,2020-04-24,2.11811,2.184836,2.06399,2.1054,25436.0
3,Juventus Fan Token,JUV-USD,2020-04-25,2.105414,2.189926,2.077885,2.165803,25846.0
4,Juventus Fan Token,JUV-USD,2020-04-26,2.164969,2.197279,2.075431,2.125542,27430.0
5,Juventus Fan Token,JUV-USD,2020-04-27,2.125542,2.216673,2.001026,2.103961,28966.0
6,Juventus Fan Token,JUV-USD,2020-04-28,2.105234,2.558053,2.03679,2.51039,63030.0
7,Juventus Fan Token,JUV-USD,2020-04-29,2.510875,2.578766,2.485427,2.533464,44156.0
8,Juventus Fan Token,JUV-USD,2020-04-30,2.533309,2.685829,2.404696,2.462289,48010.0
9,Juventus Fan Token,JUV-USD,2020-05-01,2.462289,2.669682,2.458493,2.618583,53041.0
10,Juventus Fan Token,JUV-USD,2020-05-02,2.615736,2.746136,2.596398,2.727158,62981.0
11,Juventus Fan Token,JUV-USD,2020-05-03,2.7282,2.788844,2.612378,2.65295,48444.0
12,Juventus Fan Token,JUV-USD,2020-05-04,2.653295,3.320198,2.573171,3.311323,72220.0
13,Juventus Fan Token,JUV-USD,2020-05-05,3.298518,4.794984,3.206963,4.703017,99981.0
14,Juventus Fan Token,JUV-USD,2020-05-06,4.703017,5.526297,4.656747,4.916982,102060.0
15,Juventus Fan Token,JUV-USD,2020-05-07,4.916982,5.532528,4.089746,4.343952,87790.0
16,Juventus Fan Token,JUV-USD,2020-05-08,4.343952,4.829844,4.234208,4.61007,84691.0
17,Juventus Fan Token,JUV-USD,2020-05-09,4.604127,4.667244,4.370082,4.370082,81702.0
18,Juventus Fan Token,JUV-USD,2020-05-10,4.368069,4.368069,3.412775,3.913309,91695.0
19,Juventus Fan Token,JUV-USD,2020-05-11,3.913334,4.564221,3.805017,4.373573,91563.0
20,Juventus Fan Token,JUV-USD,2020-05-12,4.373183,4.627885,4.337894,4.524015,87403.0
21,Juventus Fan Token,JUV-USD,2020-05-13,4.517169,5.068586,4.516178,4.969715,94938.0
22,Juventus Fan Token,JUV-USD,2020-05-14,4.969715,5.18705,4.736205,4.910852,108695.0
23,Juventus Fan Token,JUV-USD,2020-05-15,4.911581,5.326981,4.504244,4.560351,131589.0
