,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Kocaelispor Fan Token,KSTT-USD,2022-06-15,0.007478,0.008232,0.007041,0.007793,3948.0
1,Kocaelispor Fan Token,KSTT-USD,2022-06-16,0.007793,0.011608,0.007755,0.009991,57229.0
2,Kocaelispor Fan Token,KSTT-USD,2022-06-17,0.009991,0.009996,0.008023,0.008707,19477.0
3,Kocaelispor Fan Token,KSTT-USD,2022-06-18,0.008707,0.008919,0.007706,0.008101,6980.0
4,Kocaelispor Fan Token,KSTT-USD,2022-06-19,0.008109,0.008153,0.007509,0.007883,1310.0
5,Kocaelispor Fan Token,KSTT-USD,2022-06-20,0.007883,0.008185,0.006767,0.007413,5214.0
6,Kocaelispor Fan Token,KSTT-USD,2022-06-21,0.007414,0.008091,0.007358,0.007699,3742.0
7,Kocaelispor Fan Token,KSTT-USD,2022-06-22,0.007705,0.008164,0.007305,0.00749,7432.0
8,Kocaelispor Fan Token,KSTT-USD,2022-06-23,0.00749,0.009385,0.006578,0.007489,96046.0
9,Kocaelispor Fan Token,KSTT-USD,2022-06-24,0.007489,0.008176,0.007298,0.007536,7665.0
10,Kocaelispor Fan Token,KSTT-USD,2022-06-25,0.007536,0.008114,0.007453,0.007648,2524.0
11,Kocaelispor Fan Token,KSTT-USD,2022-06-26,0.007648,0.00813,0.007531,0.007841,44518.0
12,Kocaelispor Fan Token,KSTT-USD,2022-06-27,0.007847,0.008102,0.007018,0.007018,73154.0
13,Kocaelispor Fan Token,KSTT-USD,2022-06-28,0.007018,0.007958,0.006809,0.00695,176058.0
14,Kocaelispor Fan Token,KSTT-USD,2022-06-29,0.00695,0.007368,0.006571,0.006766,219576.0
15,Kocaelispor Fan Token,KSTT-USD,2022-06-30,0.006766,0.006985,0.005866,0.006608,10979.0
16,Kocaelispor Fan Token,KSTT-USD,2022-07-01,0.006608,0.006796,0.006028,0.006302,3449.0
17,Kocaelispor Fan Token,KSTT-USD,2022-07-02,0.006302,0.006735,0.00605,0.006387,2937.0
18,Kocaelispor Fan Token,KSTT-USD,2022-07-03,0.006387,0.006576,0.005963,0.006184,257142.0
19,Kocaelispor Fan Token,KSTT-USD,2022-07-04,0.006184,0.00683,0.006122,0.006475,86246.0
20,Kocaelispor Fan Token,KSTT-USD,2022-07-05,0.006475,0.006686,0.005768,0.006188,52222.0
21,Kocaelispor Fan Token,KSTT-USD,2022-07-06,0.006181,0.006243,0.005635,0.005803,101027.0
22,Kocaelispor Fan Token,KSTT-USD,2022-07-07,0.005803,0.005957,0.004649,0.004811,71735.0
23,Kocaelispor Fan Token,KSTT-USD,2022-07-08,0.004811,0.005768,0.00458,0.00503,66024.0
24,Kocaelispor Fan Token,KSTT-USD,2022-07-09,0.00503,0.00568,0.004712,0.004906,3064.0
25,Kocaelispor Fan Token,KSTT-USD,2022-07-10,0.004906,0.005432,0.004686,0.005243,1597.0
