,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,S.S. Lazio Fan Token,LAZIO-USD,2021-10-21,35.760544,35.760544,18.855165,23.460558,947713165
1,S.S. Lazio Fan Token,LAZIO-USD,2021-10-22,23.240471,23.547789,16.443281,16.962534,302806776
2,S.S. Lazio Fan Token,LAZIO-USD,2021-10-23,16.897394,17.783682,13.192684,13.404485,101391217
3,S.S. Lazio Fan Token,LAZIO-USD,2021-10-24,13.390311,14.300036,11.723745,12.2769,95386619
4,S.S. Lazio Fan Token,LAZIO-USD,2021-10-25,12.257518,19.177078,12.027785,15.817376,424673937
5,S.S. Lazio Fan Token,LAZIO-USD,2021-10-26,15.804722,16.371466,14.125247,14.298688,129402069
6,S.S. Lazio Fan Token,LAZIO-USD,2021-10-27,14.390443,14.760041,12.167035,12.236348,70708439
7,S.S. Lazio Fan Token,LAZIO-USD,2021-10-28,12.184767,12.668232,11.205469,11.536599,50780146
8,S.S. Lazio Fan Token,LAZIO-USD,2021-10-29,11.57093,14.660789,11.529532,12.589581,115135948
9,S.S. Lazio Fan Token,LAZIO-USD,2021-10-30,12.600527,12.950207,11.541566,11.609191,39347345
10,S.S. Lazio Fan Token,LAZIO-USD,2021-10-31,11.64706,11.939746,11.235162,11.499009,19907838
11,S.S. Lazio Fan Token,LAZIO-USD,2021-11-01,11.492067,13.388764,11.366079,12.060454,48808011
12,S.S. Lazio Fan Token,LAZIO-USD,2021-11-02,12.044833,12.153989,11.691883,11.765756,22949379
13,S.S. Lazio Fan Token,LAZIO-USD,2021-11-03,11.766042,12.252007,11.497105,11.522919,32307602
14,S.S. Lazio Fan Token,LAZIO-USD,2021-11-04,11.523859,11.60915,10.466168,10.770746,20850850
15,S.S. Lazio Fan Token,LAZIO-USD,2021-11-05,10.760068,11.217125,10.271367,10.442515,21052952
16,S.S. Lazio Fan Token,LAZIO-USD,2021-11-06,10.451175,10.594725,9.690804,10.112852,15520356
17,S.S. Lazio Fan Token,LAZIO-USD,2021-11-07,10.094482,11.835057,9.743634,10.277943,66997216
18,S.S. Lazio Fan Token,LAZIO-USD,2021-11-08,10.278129,10.739773,9.93507,9.988352,29177460
19,S.S. Lazio Fan Token,LAZIO-USD,2021-11-09,9.977201,10.147468,9.606756,9.700368,19103064
