,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Legia Warsaw Fan Token,LEG-USD,2021-09-01,1.957572,2.094525,1.854258,2.057882,0.0
1,Legia Warsaw Fan Token,LEG-USD,2021-09-02,2.05804,2.142497,1.820458,2.051481,0.0
2,Legia Warsaw Fan Token,LEG-USD,2021-09-03,2.051722,2.235954,1.772467,2.032392,0.0
3,Legia Warsaw Fan Token,LEG-USD,2021-09-04,2.033278,2.316957,1.814376,2.035891,0.0
4,Legia Warsaw Fan Token,LEG-USD,2021-09-05,2.03605,2.108499,1.840764,1.958686,0.0
5,Legia Warsaw Fan Token,LEG-USD,2021-09-06,1.957745,2.081211,1.728997,1.784255,0.0
6,Legia Warsaw Fan Token,LEG-USD,2021-09-07,1.786647,1.998026,1.261842,1.523078,0.0
7,Legia Warsaw Fan Token,LEG-USD,2021-09-08,1.523223,1.643862,1.380011,1.485927,0.0
8,Legia Warsaw Fan Token,LEG-USD,2021-09-09,1.473652,1.698142,1.467637,1.523492,0.0
9,Legia Warsaw Fan Token,LEG-USD,2021-09-10,1.523416,1.769448,1.364316,1.605859,0.0
10,Legia Warsaw Fan Token,LEG-USD,2021-09-11,1.605864,1.699167,1.54818,1.583966,0.0
11,Legia Warsaw Fan Token,LEG-USD,2021-09-12,1.586852,1.663892,1.529373,1.641068,0.0
12,Legia Warsaw Fan Token,LEG-USD,2021-09-13,1.640412,1.671057,1.460067,1.494815,0.0
13,Legia Warsaw Fan Token,LEG-USD,2021-09-14,1.495467,1.914102,1.492855,1.590807,0.0
14,Legia Warsaw Fan Token,LEG-USD,2021-09-15,1.590892,1.953471,1.561106,1.724243,0.0
15,Legia Warsaw Fan Token,LEG-USD,2021-09-16,1.725025,2.610261,1.635253,2.065345,0.0
16,Legia Warsaw Fan Token,LEG-USD,2021-09-17,2.065811,2.555164,1.731306,2.214254,0.0
17,Legia Warsaw Fan Token,LEG-USD,2021-09-18,2.217525,2.474435,2.090461,2.232898,0.0
18,Legia Warsaw Fan Token,LEG-USD,2021-09-19,2.232295,2.515809,2.125244,2.398375,0.0
19,Legia Warsaw Fan Token,LEG-USD,2021-09-20,2.399232,2.443114,1.968573,1.990381,0.0
20,Legia Warsaw Fan Token,LEG-USD,2021-09-21,1.984176,2.14633,1.796505,1.839169,0.0
21,Legia Warsaw Fan Token,LEG-USD,2021-09-22,1.855487,2.098226,1.730874,2.018501,0.0
22,Legia Warsaw Fan Token,LEG-USD,2021-09-23,2.020527,2.182744,1.831295,2.091098,0.0
23,Legia Warsaw Fan Token,LEG-USD,2021-09-24,2.090509,2.109394,1.760462,1.924049,0.0
24,Legia Warsaw Fan Token,LEG-USD,2021-09-25,1.925354,1.955748,1.792082,1.858393,0.0
25,Legia Warsaw Fan Token,LEG-USD,2021-09-26,1.855205,1.859713,1.690304,1.822868,0.0
26,Legia Warsaw Fan Token,LEG-USD,2021-09-27,1.821621,1.893742,1.759351,1.764124,0.0
27,Legia Warsaw Fan Token,LEG-USD,2021-09-28,1.764921,1.890026,1.677737,1.6896,0.0
28,Legia Warsaw Fan Token,LEG-USD,2021-09-29,1.691552,1.821105,1.651453,1.721339,0.0
29,Legia Warsaw Fan Token,LEG-USD,2021-09-30,1.723352,2.058636,1.674233,1.80035,0.0
30,Legia Warsaw Fan Token,LEG-USD,2021-10-01,1.801059,1.952621,1.700002,1.947192,0.0
31,Legia Warsaw Fan Token,LEG-USD,2021-10-02,1.942505,2.085777,1.771957,1.921736,0.0
32,Legia Warsaw Fan Token,LEG-USD,2021-10-03,1.919392,2.150219,1.819906,1.911947,0.0
33,Legia Warsaw Fan Token,LEG-USD,2021-10-04,1.911251,1.945442,1.700935,1.845833,0.0
34,Legia Warsaw Fan Token,LEG-USD,2021-10-05,1.845992,1.947436,1.687972,1.75999,0.0
35,Legia Warsaw Fan Token,LEG-USD,2021-10-06,1.763464,1.87217,1.539279,1.697291,0.0
36,Legia Warsaw Fan Token,LEG-USD,2021-10-07,1.694154,2.086253,1.552051,1.893139,0.0
37,Legia Warsaw Fan Token,LEG-USD,2021-10-08,1.883174,1.989567,1.71931,1.846202,0.0
38,Legia Warsaw Fan Token,LEG-USD,2021-10-09,1.853238,1.894621,1.806426,1.845537,0.0
39,Legia Warsaw Fan Token,LEG-USD,2021-10-10,1.854242,1.854242,1.681326,1.721212,0.0
40,Legia Warsaw Fan Token,LEG-USD,2021-10-11,1.720505,1.804712,1.627506,1.709409,0.0
41,Legia Warsaw Fan Token,LEG-USD,2021-10-12,1.709323,2.387334,1.599452,2.343336,0.0
42,Legia Warsaw Fan Token,LEG-USD,2021-10-13,2.338868,2.393392,2.201439,2.380841,0.0
43,Legia Warsaw Fan Token,LEG-USD,2021-10-14,2.380951,2.464142,2.346775,2.396374,0.0
44,Legia Warsaw Fan Token,LEG-USD,2021-10-15,2.39574,2.422778,2.273121,2.327753,0.0
45,Legia Warsaw Fan Token,LEG-USD,2021-10-16,2.325652,2.440135,2.32419,2.388788,0.0
46,Legia Warsaw Fan Token,LEG-USD,2021-10-17,2.389618,2.498945,2.190159,2.305264,0.0
47,Legia Warsaw Fan Token,LEG-USD,2021-10-18,2.304563,2.431915,2.244334,2.318226,0.0
48,Legia Warsaw Fan Token,LEG-USD,2021-10-19,2.316073,2.492437,2.257839,2.326514,0.0
49,Legia Warsaw Fan Token,LEG-USD,2021-10-20,2.328447,2.481336,2.264817,2.374021,0.0
50,Legia Warsaw Fan Token,LEG-USD,2021-10-21,2.371364,2.548809,2.271459,2.274336,0.0
51,Legia Warsaw Fan Token,LEG-USD,2021-10-22,2.272166,2.515614,2.272166,2.382306,0.0
52,Legia Warsaw Fan Token,LEG-USD,2021-10-23,2.379405,2.468274,2.332763,2.400536,0.0
53,Legia Warsaw Fan Token,LEG-USD,2021-10-24,2.406402,2.416773,2.29235,2.310228,0.0
54,Legia Warsaw Fan Token,LEG-USD,2021-10-25,2.310136,2.507848,2.296647,2.456536,0.0
55,Legia Warsaw Fan Token,LEG-USD,2021-10-26,2.457306,2.653518,2.400972,2.449822,0.0
56,Legia Warsaw Fan Token,LEG-USD,2021-10-27,2.4479,2.594644,2.025743,2.1476,0.0
57,Legia Warsaw Fan Token,LEG-USD,2021-10-28,2.15658,2.375529,2.127177,2.312801,0.0
58,Legia Warsaw Fan Token,LEG-USD,2021-10-29,2.31276,2.663548,2.281869,2.528839,0.0
59,Legia Warsaw Fan Token,LEG-USD,2021-10-30,2.532851,4.546077,2.430706,3.735805,0.0
60,Legia Warsaw Fan Token,LEG-USD,2021-10-31,3.640615,4.202503,2.751071,2.927909,0.0
61,Legia Warsaw Fan Token,LEG-USD,2021-11-01,2.927909,4.458985,2.871064,3.350183,0.0
