,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Levante U.D. Fan Token,LEV-USD,2021-05-07,1.39473,1.521251,1.199352,1.423712,3142925.0
1,Levante U.D. Fan Token,LEV-USD,2021-05-08,1.42369,1.523469,0.937815,1.224989,1032069.0
2,Levante U.D. Fan Token,LEV-USD,2021-05-09,1.225171,2.308291,1.225076,1.94026,1756829.0
3,Levante U.D. Fan Token,LEV-USD,2021-05-10,1.94046,2.399345,1.364542,1.572043,958159.0
4,Levante U.D. Fan Token,LEV-USD,2021-05-11,1.571925,1.572619,0.861035,0.86126,267530.0
5,Levante U.D. Fan Token,LEV-USD,2021-05-12,0.861239,1.021091,0.766857,0.791278,26710.0
6,Levante U.D. Fan Token,LEV-USD,2021-05-13,0.791342,0.836581,0.637486,0.661846,22611.0
7,Levante U.D. Fan Token,LEV-USD,2021-05-14,0.661607,0.731527,0.653098,0.663378,34421.0
8,Levante U.D. Fan Token,LEV-USD,2021-05-15,0.663248,0.842937,0.62071,0.802159,34736.0
9,Levante U.D. Fan Token,LEV-USD,2021-05-16,0.802338,0.980829,0.713295,0.750526,37754.0
10,Levante U.D. Fan Token,LEV-USD,2021-05-17,0.750591,0.750624,0.671046,0.708386,63042.0
11,Levante U.D. Fan Token,LEV-USD,2021-05-18,0.708373,0.78512,0.657802,0.744482,42073.0
12,Levante U.D. Fan Token,LEV-USD,2021-05-19,0.744472,0.744824,0.652791,0.661025,0.0
13,Levante U.D. Fan Token,LEV-USD,2021-05-20,0.661061,0.661791,0.660896,0.661016,0.0
14,Levante U.D. Fan Token,LEV-USD,2021-05-21,0.661031,0.662278,0.660878,0.661417,0.0
15,Levante U.D. Fan Token,LEV-USD,2021-05-22,0.661386,0.661618,0.4451,0.469805,192670.0
16,Levante U.D. Fan Token,LEV-USD,2021-05-23,0.469887,0.495032,0.469703,0.494582,0.0
17,Levante U.D. Fan Token,LEV-USD,2021-05-24,0.494541,0.522132,0.356833,0.470667,275881.0
18,Levante U.D. Fan Token,LEV-USD,2021-05-25,0.47059,0.495433,0.397866,0.400898,252304.0
19,Levante U.D. Fan Token,LEV-USD,2021-05-26,0.400845,0.448504,0.400845,0.424932,174132.0
20,Levante U.D. Fan Token,LEV-USD,2021-05-27,0.424963,0.429225,0.380587,0.380587,991080.0
21,Levante U.D. Fan Token,LEV-USD,2021-05-28,0.380577,0.435412,0.37029,0.38683,1673165.0
22,Levante U.D. Fan Token,LEV-USD,2021-05-29,0.385785,0.386785,0.354732,0.358743,860926.0
23,Levante U.D. Fan Token,LEV-USD,2021-05-30,0.35964,0.36562,0.33156,0.336985,1995163.0
24,Levante U.D. Fan Token,LEV-USD,2021-05-31,0.341722,0.350505,0.303473,0.345867,702612.0
25,Levante U.D. Fan Token,LEV-USD,2021-06-01,0.345985,0.379201,0.305108,0.343702,474840.0
26,Levante U.D. Fan Token,LEV-USD,2021-06-02,0.342441,0.38379,0.339682,0.383362,746043.0
27,Levante U.D. Fan Token,LEV-USD,2021-06-03,0.383509,0.384802,0.33456,0.368792,387340.0
28,Levante U.D. Fan Token,LEV-USD,2021-06-04,0.374422,0.379383,0.344566,0.358297,110776.0
29,Levante U.D. Fan Token,LEV-USD,2021-06-05,0.358147,0.36749,0.341011,0.345388,59749.0
30,Levante U.D. Fan Token,LEV-USD,2021-06-06,0.345316,0.353444,0.303171,0.306339,174811.0
31,Levante U.D. Fan Token,LEV-USD,2021-06-07,0.307137,0.343113,0.26971,0.2713,736445.0
32,Levante U.D. Fan Token,LEV-USD,2021-06-08,0.270897,0.286297,0.227588,0.239988,275331.0
33,Levante U.D. Fan Token,LEV-USD,2021-06-09,0.241786,0.25729,0.210694,0.246934,694809.0
34,Levante U.D. Fan Token,LEV-USD,2021-06-10,0.247941,0.260575,0.209747,0.210867,293706.0
35,Levante U.D. Fan Token,LEV-USD,2021-06-11,0.21196,0.252161,0.171352,0.19219,149772.0
