,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Leeds United Fan Token,LUFC-USD,2021-11-24,4.536801,5.165488,4.536801,5.128989,146519
1,Leeds United Fan Token,LUFC-USD,2021-11-25,5.129727,6.37607,5.022649,5.398676,153059
2,Leeds United Fan Token,LUFC-USD,2021-11-26,6.135983,6.470306,4.917947,5.012923,838726
3,Leeds United Fan Token,LUFC-USD,2021-11-27,5.018995,5.419005,4.591474,4.705986,151951
4,Leeds United Fan Token,LUFC-USD,2021-11-28,4.727524,4.753629,4.313701,4.678094,7797
5,Leeds United Fan Token,LUFC-USD,2021-11-29,4.681236,5.230304,0.0,5.053866,319408
6,Leeds United Fan Token,LUFC-USD,2021-11-30,5.045376,5.474846,4.586198,4.724122,659327
7,Leeds United Fan Token,LUFC-USD,2021-12-01,4.712757,5.556101,4.501307,5.55342,701839
8,Leeds United Fan Token,LUFC-USD,2021-12-02,5.570572,7.524664,4.797047,5.415824,1015326
9,Leeds United Fan Token,LUFC-USD,2021-12-03,5.415135,5.563703,4.462313,4.982191,275563
10,Leeds United Fan Token,LUFC-USD,2021-12-04,4.981727,5.83679,3.136604,4.662139,565703
11,Leeds United Fan Token,LUFC-USD,2021-12-05,4.660432,4.907622,4.069797,4.1482,364470
12,Leeds United Fan Token,LUFC-USD,2021-12-06,4.145115,4.226088,3.649105,4.163218,166238
13,Leeds United Fan Token,LUFC-USD,2021-12-07,4.160311,5.736506,4.120608,4.568136,393108
14,Leeds United Fan Token,LUFC-USD,2021-12-08,4.569402,4.876681,4.383471,4.756013,433906
15,Leeds United Fan Token,LUFC-USD,2021-12-09,4.747923,4.932188,4.116968,4.189335,179671
16,Leeds United Fan Token,LUFC-USD,2021-12-10,4.193134,4.82892,4.049104,4.1352,364777
17,Leeds United Fan Token,LUFC-USD,2021-12-11,4.126532,4.627172,4.000438,4.303886,311917
18,Leeds United Fan Token,LUFC-USD,2021-12-12,4.29388,4.654825,4.200825,4.405777,427999
19,Leeds United Fan Token,LUFC-USD,2021-12-13,4.409358,4.548995,3.887616,4.116671,401245
20,Leeds United Fan Token,LUFC-USD,2021-12-14,4.121155,4.559347,3.908301,4.088945,477118
21,Leeds United Fan Token,LUFC-USD,2021-12-15,4.090412,4.925737,4.022476,4.925737,427813
22,Leeds United Fan Token,LUFC-USD,2021-12-16,4.927177,5.491491,4.623518,5.248745,322063
23,Leeds United Fan Token,LUFC-USD,2021-12-17,5.26201,5.851436,4.558297,4.863971,398624
24,Leeds United Fan Token,LUFC-USD,2021-12-18,4.848009,5.044537,4.666733,4.795697,202783
25,Leeds United Fan Token,LUFC-USD,2021-12-19,4.79652,5.006525,4.54483,4.616506,147713
26,Leeds United Fan Token,LUFC-USD,2021-12-20,4.621623,4.775488,4.292697,4.59354,144390
27,Leeds United Fan Token,LUFC-USD,2021-12-21,4.597725,4.812683,4.414155,4.721084,123640
28,Leeds United Fan Token,LUFC-USD,2021-12-22,4.722228,5.002819,4.572546,4.86436,232547
29,Leeds United Fan Token,LUFC-USD,2021-12-23,4.866181,8.791983,4.740986,6.396153,584065
30,Leeds United Fan Token,LUFC-USD,2021-12-24,6.391392,8.769821,6.17523,6.645649,510674
31,Leeds United Fan Token,LUFC-USD,2021-12-25,6.653986,7.113844,6.280498,6.41879,616122
32,Leeds United Fan Token,LUFC-USD,2021-12-26,6.398754,7.348984,6.285728,6.760487,651996
33,Leeds United Fan Token,LUFC-USD,2021-12-27,6.762454,7.039133,6.195325,6.347863,439167
34,Leeds United Fan Token,LUFC-USD,2021-12-28,6.359811,6.389673,5.703486,5.744112,930675
35,Leeds United Fan Token,LUFC-USD,2021-12-29,5.739892,6.224887,5.528202,5.754799,761082
36,Leeds United Fan Token,LUFC-USD,2021-12-30,5.743891,61.914783,5.153254,5.47351,1169859
37,Leeds United Fan Token,LUFC-USD,2021-12-31,5.466657,6.207028,5.133695,5.478499,233025
38,Leeds United Fan Token,LUFC-USD,2022-01-01,5.478859,6.109811,5.298866,5.704372,31884
39,Leeds United Fan Token,LUFC-USD,2022-01-02,5.70382,6.019191,5.492824,5.640892,60834
40,Leeds United Fan Token,LUFC-USD,2022-01-03,5.640786,5.763275,5.276462,5.414178,63191
41,Leeds United Fan Token,LUFC-USD,2022-01-04,5.413691,5.657364,5.267012,5.344371,89747
42,Leeds United Fan Token,LUFC-USD,2022-01-05,5.344667,5.756041,4.701217,4.924438,69684
43,Leeds United Fan Token,LUFC-USD,2022-01-06,4.924058,5.372923,4.820871,5.116177,416739
