,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,McLaren F1 Fan Token,MCL-USD,2022-09-20,0.089755,0.098777,0.084842,0.091064,18179.0
1,McLaren F1 Fan Token,MCL-USD,2022-09-21,0.091064,0.094309,0.080962,0.088014,16029.0
2,McLaren F1 Fan Token,MCL-USD,2022-09-22,0.088014,0.140318,0.086946,0.11804,123160.0
3,McLaren F1 Fan Token,MCL-USD,2022-09-23,0.11804,0.173642,0.115958,0.163113,142312.0
4,McLaren F1 Fan Token,MCL-USD,2022-09-24,0.163113,0.167705,0.126664,0.140418,46736.0
5,McLaren F1 Fan Token,MCL-USD,2022-09-25,0.140418,0.180648,0.139235,0.177078,48069.0
6,McLaren F1 Fan Token,MCL-USD,2022-09-26,0.177077,0.203118,0.156019,0.185147,43155.0
7,McLaren F1 Fan Token,MCL-USD,2022-09-27,0.184868,0.242093,0.176934,0.22174,87841.0
8,McLaren F1 Fan Token,MCL-USD,2022-09-28,0.221741,0.463583,0.216649,0.43571,443352.0
9,McLaren F1 Fan Token,MCL-USD,2022-09-29,0.435709,0.465663,0.258443,0.317149,182049.0
10,McLaren F1 Fan Token,MCL-USD,2022-09-30,0.317226,0.391715,0.306525,0.376626,148309.0
11,McLaren F1 Fan Token,MCL-USD,2022-10-01,0.376938,0.385132,0.329117,0.346786,48801.0
12,McLaren F1 Fan Token,MCL-USD,2022-10-02,0.346786,0.389684,0.309404,0.351477,89774.0
13,McLaren F1 Fan Token,MCL-USD,2022-10-03,0.351475,0.37713,0.322827,0.365327,47160.0
14,McLaren F1 Fan Token,MCL-USD,2022-10-04,0.365327,0.39679,0.325672,0.330323,46765.0
15,McLaren F1 Fan Token,MCL-USD,2022-10-05,0.330323,0.413479,0.326569,0.352728,80938.0
16,McLaren F1 Fan Token,MCL-USD,2022-10-06,0.352727,0.370485,0.337002,0.370178,54101.0
17,McLaren F1 Fan Token,MCL-USD,2022-10-07,0.370178,0.376101,0.300721,0.308411,25826.0
