,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Flamengo Fan Token,MENGO-USD,2021-10-26,2.306419,2.884099,2.284471,2.630407,0.0
1,Flamengo Fan Token,MENGO-USD,2021-10-27,2.628343,2.803802,2.118719,2.168537,0.0
2,Flamengo Fan Token,MENGO-USD,2021-10-28,2.177606,2.352692,2.02159,2.206502,0.0
3,Flamengo Fan Token,MENGO-USD,2021-10-29,2.206463,2.491483,2.18626,2.444192,0.0
4,Flamengo Fan Token,MENGO-USD,2021-10-30,2.448069,3.858057,2.322223,2.906213,0.0
5,Flamengo Fan Token,MENGO-USD,2021-10-31,2.832162,3.120846,2.206134,2.489349,0.0
6,Flamengo Fan Token,MENGO-USD,2021-11-01,2.489887,3.05228,2.285877,2.453957,0.0
7,Flamengo Fan Token,MENGO-USD,2021-11-02,2.447168,2.713023,2.216334,2.380023,0.0
8,Flamengo Fan Token,MENGO-USD,2021-11-03,2.382772,2.552008,2.078678,2.195622,0.0
9,Flamengo Fan Token,MENGO-USD,2021-11-04,2.200724,2.329632,2.0122,2.160625,96730.0
10,Flamengo Fan Token,MENGO-USD,2021-11-05,2.160722,2.64129,2.023227,2.506306,125337.0
11,Flamengo Fan Token,MENGO-USD,2021-11-06,2.505231,2.847771,2.397034,2.56799,156793.0
12,Flamengo Fan Token,MENGO-USD,2021-11-07,2.568721,2.87586,2.399654,2.736283,132656.0
13,Flamengo Fan Token,MENGO-USD,2021-11-08,2.732171,3.080864,2.569586,2.995652,215620.0
14,Flamengo Fan Token,MENGO-USD,2021-11-09,2.996819,3.745052,2.720287,3.622909,529795.0
15,Flamengo Fan Token,MENGO-USD,2021-11-10,3.62028,4.032451,2.578964,2.848878,697933.0
16,Flamengo Fan Token,MENGO-USD,2021-11-11,2.860106,3.381202,2.761999,2.970251,291106.0
17,Flamengo Fan Token,MENGO-USD,2021-11-12,2.965826,3.145127,2.682717,2.929549,183307.0
18,Flamengo Fan Token,MENGO-USD,2021-11-13,2.92866,3.220517,2.768419,3.072832,202139.0
19,Flamengo Fan Token,MENGO-USD,2021-11-14,3.068958,3.171567,2.838661,3.08865,144355.0
20,Flamengo Fan Token,MENGO-USD,2021-11-15,3.088343,3.253898,2.834995,2.946064,249278.0
21,Flamengo Fan Token,MENGO-USD,2021-11-16,2.938288,3.018846,2.542438,2.851931,248054.0
22,Flamengo Fan Token,MENGO-USD,2021-11-17,2.848557,2.960344,2.647894,2.740575,251025.0
23,Flamengo Fan Token,MENGO-USD,2021-11-18,2.739905,2.845124,2.415424,2.500535,187013.0
24,Flamengo Fan Token,MENGO-USD,2021-11-19,2.502685,2.876063,2.420319,2.763135,295480.0
25,Flamengo Fan Token,MENGO-USD,2021-11-20,2.765898,2.938222,2.693228,2.865648,191799.0
26,Flamengo Fan Token,MENGO-USD,2021-11-21,2.872725,3.006593,2.691108,2.693199,234260.0
27,Flamengo Fan Token,MENGO-USD,2021-11-22,2.699407,3.030164,2.656138,2.882234,202631.0
28,Flamengo Fan Token,MENGO-USD,2021-11-23,2.879082,3.053514,2.733317,2.837404,160394.0
29,Flamengo Fan Token,MENGO-USD,2021-11-24,2.83444,3.014029,2.691835,2.875992,203328.0
30,Flamengo Fan Token,MENGO-USD,2021-11-25,2.841752,3.209922,2.538331,2.939107,172882.0
31,Flamengo Fan Token,MENGO-USD,2021-11-26,2.761192,2.861262,2.45704,2.68092,235121.0
32,Flamengo Fan Token,MENGO-USD,2021-11-27,2.684168,3.080212,1.78911,2.038517,215191.0
33,Flamengo Fan Token,MENGO-USD,2021-11-28,2.047847,2.282953,2.027837,2.270317,9192.0
34,Flamengo Fan Token,MENGO-USD,2021-11-29,2.271841,2.61256,0.0,2.102298,197314.0
35,Flamengo Fan Token,MENGO-USD,2021-11-30,2.097801,2.221208,1.88159,1.911621,349972.0
36,Flamengo Fan Token,MENGO-USD,2021-12-01,1.909381,1.951681,1.766571,1.808559,227013.0
37,Flamengo Fan Token,MENGO-USD,2021-12-02,1.807686,1.93429,1.73513,1.799655,229941.0
38,Flamengo Fan Token,MENGO-USD,2021-12-03,1.799426,1.888919,1.540941,1.664675,78823.0
39,Flamengo Fan Token,MENGO-USD,2021-12-04,1.664675,1.672171,1.000889,1.479856,89330.0
40,Flamengo Fan Token,MENGO-USD,2021-12-05,1.481555,1.805,1.399262,1.493988,172666.0
41,Flamengo Fan Token,MENGO-USD,2021-12-06,1.492877,1.546069,1.305355,1.509207,84149.0
42,Flamengo Fan Token,MENGO-USD,2021-12-07,1.510092,1.622669,1.448634,1.488709,82582.0
43,Flamengo Fan Token,MENGO-USD,2021-12-08,1.489121,1.655203,1.43968,1.567698,170884.0
44,Flamengo Fan Token,MENGO-USD,2021-12-09,1.565032,1.636965,1.433194,1.433194,116300.0
45,Flamengo Fan Token,MENGO-USD,2021-12-10,1.434493,1.48687,1.330652,1.338529,75832.0
46,Flamengo Fan Token,MENGO-USD,2021-12-11,1.335723,1.435007,1.321946,1.383924,80507.0
47,Flamengo Fan Token,MENGO-USD,2021-12-12,1.380707,1.460821,1.366179,1.408877,129225.0
48,Flamengo Fan Token,MENGO-USD,2021-12-13,1.410022,1.441758,1.231053,1.263961,133717.0
49,Flamengo Fan Token,MENGO-USD,2021-12-14,1.265338,1.348019,1.214695,1.272736,135481.0
50,Flamengo Fan Token,MENGO-USD,2021-12-15,1.273193,1.352983,1.190573,1.320932,80403.0
51,Flamengo Fan Token,MENGO-USD,2021-12-16,1.32098,1.354903,1.237745,1.262039,26719.0
52,Flamengo Fan Token,MENGO-USD,2021-12-17,1.265229,1.338185,1.185454,1.21332,55086.0
53,Flamengo Fan Token,MENGO-USD,2021-12-18,1.209339,1.290119,1.188404,1.260879,73502.0
54,Flamengo Fan Token,MENGO-USD,2021-12-19,1.261095,1.370964,1.212433,1.249033,49237.0
55,Flamengo Fan Token,MENGO-USD,2021-12-20,1.249443,1.322081,1.155541,1.293353,92048.0
56,Flamengo Fan Token,MENGO-USD,2021-12-21,1.294531,1.412233,1.251683,1.312815,70381.0
57,Flamengo Fan Token,MENGO-USD,2021-12-22,1.313133,1.375724,1.27803,1.323791,70661.0
58,Flamengo Fan Token,MENGO-USD,2021-12-23,1.324286,1.455527,1.303262,1.425535,101150.0
59,Flamengo Fan Token,MENGO-USD,2021-12-24,1.424474,1.775604,1.30953,1.651442,121841.0
60,Flamengo Fan Token,MENGO-USD,2021-12-25,1.651523,1.954265,1.554925,1.564002,166563.0
61,Flamengo Fan Token,MENGO-USD,2021-12-26,1.55912,1.768709,1.523948,1.607084,105870.0
62,Flamengo Fan Token,MENGO-USD,2021-12-27,1.608382,1.678198,1.539647,1.567155,97177.0
63,Flamengo Fan Token,MENGO-USD,2021-12-28,1.562601,1.678337,1.481385,1.493164,255455.0
64,Flamengo Fan Token,MENGO-USD,2021-12-29,1.492067,1.80785,1.433684,1.445164,251781.0
65,Flamengo Fan Token,MENGO-USD,2021-12-30,1.442425,1.712121,1.32999,1.589177,144748.0
66,Flamengo Fan Token,MENGO-USD,2021-12-31,1.587188,1.668272,1.372484,1.540562,61651.0
67,Flamengo Fan Token,MENGO-USD,2022-01-01,1.540663,1.570386,1.468176,1.523912,12602.0
68,Flamengo Fan Token,MENGO-USD,2022-01-02,1.523764,1.65059,1.44203,1.481006,28675.0
