,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Millonarios FC Fan Token,MFC16913-USD,2022-01-11,1.988929,2.051497,1.901332,2.006588,62310.0
1,Millonarios FC Fan Token,MFC16913-USD,2022-01-12,2.007247,2.108752,2.003359,2.084068,37942.0
2,Millonarios FC Fan Token,MFC16913-USD,2022-01-13,2.084012,2.102297,1.949178,1.981671,96368.0
3,Millonarios FC Fan Token,MFC16913-USD,2022-01-14,1.981764,2.06463,1.90932,1.981069,187102.0
4,Millonarios FC Fan Token,MFC16913-USD,2022-01-15,1.981066,2.002752,1.943123,1.974702,166058.0
5,Millonarios FC Fan Token,MFC16913-USD,2022-01-16,1.973573,2.110752,1.954602,2.003696,231252.0
6,Millonarios FC Fan Token,MFC16913-USD,2022-01-17,2.003779,2.110538,1.853373,1.892325,195613.0
7,Millonarios FC Fan Token,MFC16913-USD,2022-01-18,1.892253,1.923472,1.798178,1.872058,37319.0
8,Millonarios FC Fan Token,MFC16913-USD,2022-01-19,1.872078,1.904756,1.765635,1.797209,179404.0
9,Millonarios FC Fan Token,MFC16913-USD,2022-01-20,1.796808,1.914696,1.786001,1.819735,0.0
10,Millonarios FC Fan Token,MFC16913-USD,2022-01-21,1.819735,1.819735,1.411599,1.429047,81550.0
11,Millonarios FC Fan Token,MFC16913-USD,2022-01-22,1.430352,1.485995,1.19431,1.285406,122149.0
12,Millonarios FC Fan Token,MFC16913-USD,2022-01-23,1.285896,1.374286,1.26395,1.336914,129514.0
13,Millonarios FC Fan Token,MFC16913-USD,2022-01-24,1.337172,1.341642,1.153452,1.273491,130564.0
14,Millonarios FC Fan Token,MFC16913-USD,2022-01-25,1.273517,1.32182,1.216597,1.248964,131943.0
15,Millonarios FC Fan Token,MFC16913-USD,2022-01-26,1.248964,1.359134,1.215669,1.245002,127831.0
16,Millonarios FC Fan Token,MFC16913-USD,2022-01-27,1.244781,1.376466,1.196002,1.276709,135541.0
17,Millonarios FC Fan Token,MFC16913-USD,2022-01-28,1.276566,1.376484,1.247,1.314538,144315.0
18,Millonarios FC Fan Token,MFC16913-USD,2022-01-29,1.314587,1.371095,1.298077,1.357318,114992.0
19,Millonarios FC Fan Token,MFC16913-USD,2022-01-30,1.357493,1.386114,1.291498,1.311451,8858.0
20,Millonarios FC Fan Token,MFC16913-USD,2022-01-31,1.311514,1.464531,1.256112,1.442266,24425.0
21,Millonarios FC Fan Token,MFC16913-USD,2022-02-01,1.442321,1.554608,1.36489,1.495839,28261.0
22,Millonarios FC Fan Token,MFC16913-USD,2022-02-02,1.495634,2.302915,1.321571,1.424319,122082.0
23,Millonarios FC Fan Token,MFC16913-USD,2022-02-03,1.424043,1.506212,1.36668,1.432668,7750.0
24,Millonarios FC Fan Token,MFC16913-USD,2022-02-04,1.432372,1.679065,1.410361,1.601518,126229.0
25,Millonarios FC Fan Token,MFC16913-USD,2022-02-05,1.601658,1.796231,1.583829,1.655417,31459.0
26,Millonarios FC Fan Token,MFC16913-USD,2022-02-06,1.655594,1.854433,1.647529,1.830852,45135.0
27,Millonarios FC Fan Token,MFC16913-USD,2022-02-07,1.831177,1.897198,1.731767,1.778515,77278.0
28,Millonarios FC Fan Token,MFC16913-USD,2022-02-08,1.778518,1.856927,1.576169,1.71254,231754.0
29,Millonarios FC Fan Token,MFC16913-USD,2022-02-09,1.711769,1.78384,1.61945,1.780169,262612.0
30,Millonarios FC Fan Token,MFC16913-USD,2022-02-10,1.78012,1.816718,1.644654,1.651568,229315.0
31,Millonarios FC Fan Token,MFC16913-USD,2022-02-11,1.651802,1.702501,1.496504,1.51974,39392.0
32,Millonarios FC Fan Token,MFC16913-USD,2022-02-12,1.51985,1.597583,1.461909,1.536469,191664.0
33,Millonarios FC Fan Token,MFC16913-USD,2022-02-13,1.536441,1.57456,1.47498,1.505281,121124.0
34,Millonarios FC Fan Token,MFC16913-USD,2022-02-14,1.504718,1.534805,1.459375,1.527287,177505.0
35,Millonarios FC Fan Token,MFC16913-USD,2022-02-15,1.527238,1.642174,1.521561,1.630205,207068.0
36,Millonarios FC Fan Token,MFC16913-USD,2022-02-16,1.630205,1.684798,1.5688,1.613754,176576.0
37,Millonarios FC Fan Token,MFC16913-USD,2022-02-17,1.613698,1.70135,1.466714,1.473467,32471.0
38,Millonarios FC Fan Token,MFC16913-USD,2022-02-18,1.474053,1.534015,1.412683,1.432731,24060.0
39,Millonarios FC Fan Token,MFC16913-USD,2022-02-19,1.432511,1.493148,1.404437,1.457651,17850.0
40,Millonarios FC Fan Token,MFC16913-USD,2022-02-20,1.457311,1.471505,1.326595,1.359853,127266.0
41,Millonarios FC Fan Token,MFC16913-USD,2022-02-21,1.359688,1.540493,1.252256,1.255801,18380.0
42,Millonarios FC Fan Token,MFC16913-USD,2022-02-22,1.255626,1.372236,1.206831,1.344589,30995.0
43,Millonarios FC Fan Token,MFC16913-USD,2022-02-23,1.344615,1.891562,1.296805,1.380186,65751.0
