,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,MotoGP Fan Token,MGPT-USD,2022-06-13,0.17654,0.191459,0.176051,0.184158,37672.0
1,MotoGP Fan Token,MGPT-USD,2022-06-14,0.184158,0.191743,0.173846,0.185078,32858.0
2,MotoGP Fan Token,MGPT-USD,2022-06-15,0.185078,0.197083,0.171384,0.187163,39560.0
3,MotoGP Fan Token,MGPT-USD,2022-06-16,0.187163,0.200221,0.185416,0.192615,39372.0
4,MotoGP Fan Token,MGPT-USD,2022-06-17,0.192615,0.322951,0.182148,0.256541,78462.0
5,MotoGP Fan Token,MGPT-USD,2022-06-18,0.256541,0.266552,0.212135,0.232104,30077.0
6,MotoGP Fan Token,MGPT-USD,2022-06-19,0.232257,0.233568,0.182854,0.216189,51705.0
7,MotoGP Fan Token,MGPT-USD,2022-06-20,0.216189,0.222655,0.168784,0.20133,25255.0
8,MotoGP Fan Token,MGPT-USD,2022-06-21,0.201341,0.209409,0.181126,0.198353,15244.0
9,MotoGP Fan Token,MGPT-USD,2022-06-22,0.198491,0.209234,0.139396,0.18528,19706.0
10,MotoGP Fan Token,MGPT-USD,2022-06-23,0.18528,0.203398,0.142959,0.184866,40978.0
11,MotoGP Fan Token,MGPT-USD,2022-06-24,0.184866,0.193307,0.133547,0.185689,50833.0
12,MotoGP Fan Token,MGPT-USD,2022-06-25,0.185689,0.188967,0.094765,0.138879,66417.0
13,MotoGP Fan Token,MGPT-USD,2022-06-26,0.138885,0.175599,0.110436,0.136876,60378.0
14,MotoGP Fan Token,MGPT-USD,2022-06-27,0.136962,0.185605,0.125999,0.150737,36252.0
15,MotoGP Fan Token,MGPT-USD,2022-06-28,0.150737,0.165271,0.093868,0.095749,37122.0
16,MotoGP Fan Token,MGPT-USD,2022-06-29,0.095749,0.098921,0.078685,0.086964,23408.0
17,MotoGP Fan Token,MGPT-USD,2022-06-30,0.086964,0.089501,0.072521,0.079169,11262.0
18,MotoGP Fan Token,MGPT-USD,2022-07-01,0.079169,0.086094,0.051414,0.064157,35109.0
19,MotoGP Fan Token,MGPT-USD,2022-07-02,0.064158,0.068007,0.062033,0.064809,48018.0
20,MotoGP Fan Token,MGPT-USD,2022-07-03,0.06481,0.067126,0.060524,0.065869,63911.0
21,MotoGP Fan Token,MGPT-USD,2022-07-04,0.065869,0.067068,0.053886,0.065015,29338.0
22,MotoGP Fan Token,MGPT-USD,2022-07-05,0.065015,0.066248,0.056232,0.064298,23373.0
23,MotoGP Fan Token,MGPT-USD,2022-07-06,0.064298,0.065253,0.052467,0.052832,38871.0
