,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,MIBR Fan Token,MIBR-USD,2022-09-27,1.132797,1.2189,0.869068,0.99388,1845318.0
1,MIBR Fan Token,MIBR-USD,2022-09-28,0.993878,1.004828,0.889663,0.979777,638569.0
2,MIBR Fan Token,MIBR-USD,2022-09-29,0.979797,0.986515,0.899972,0.983378,367797.0
3,MIBR Fan Token,MIBR-USD,2022-09-30,0.983375,1.010107,0.940097,0.970148,414491.0
4,MIBR Fan Token,MIBR-USD,2022-10-01,0.97016,1.081116,0.970128,0.992043,361262.0
5,MIBR Fan Token,MIBR-USD,2022-10-02,0.992045,1.039274,0.908044,0.936056,314554.0
6,MIBR Fan Token,MIBR-USD,2022-10-03,0.936053,1.037752,0.897326,1.000989,347682.0
7,MIBR Fan Token,MIBR-USD,2022-10-04,1.000991,1.075185,0.923154,1.07517,459940.0
8,MIBR Fan Token,MIBR-USD,2022-10-05,1.075169,1.081661,0.989013,1.032412,414432.0
9,MIBR Fan Token,MIBR-USD,2022-10-06,1.032408,1.080148,1.003019,1.034747,405118.0
10,MIBR Fan Token,MIBR-USD,2022-10-07,1.034732,1.073653,0.992352,1.047728,442127.0
11,MIBR Fan Token,MIBR-USD,2022-10-08,1.047731,1.070118,0.990116,1.032686,428479.0
12,MIBR Fan Token,MIBR-USD,2022-10-09,1.03268,1.112189,1.005172,1.037864,290977.0
13,MIBR Fan Token,MIBR-USD,2022-10-10,1.037865,1.064875,0.949999,0.950117,372353.0
14,MIBR Fan Token,MIBR-USD,2022-10-11,0.950108,0.958609,0.928905,0.929208,196629.0
15,MIBR Fan Token,MIBR-USD,2022-10-12,0.929227,0.969975,0.909955,0.913293,505593.0
16,MIBR Fan Token,MIBR-USD,2022-10-13,0.913284,0.936355,0.830259,0.89747,198790.0
17,MIBR Fan Token,MIBR-USD,2022-10-14,0.897475,0.960062,0.859153,0.859364,191454.0
18,MIBR Fan Token,MIBR-USD,2022-10-15,0.859363,0.895989,0.841039,0.863775,202871.0
19,MIBR Fan Token,MIBR-USD,2022-10-16,0.863773,0.874632,0.815553,0.824947,221786.0
20,MIBR Fan Token,MIBR-USD,2022-10-17,0.82495,0.841191,0.800041,0.812056,199358.0
21,MIBR Fan Token,MIBR-USD,2022-10-18,0.812056,0.838865,0.80003,0.806085,201263.0
22,MIBR Fan Token,MIBR-USD,2022-10-19,0.806084,0.818172,0.750063,0.750345,9007.0
23,MIBR Fan Token,MIBR-USD,2022-10-20,0.750351,0.766132,0.749973,0.749995,4168.0
24,MIBR Fan Token,MIBR-USD,2022-10-21,0.75,0.764537,0.699976,0.73319,19656.0
25,MIBR Fan Token,MIBR-USD,2022-10-22,0.733191,0.748059,0.700014,0.70106,3843.0
26,MIBR Fan Token,MIBR-USD,2022-10-23,0.701043,0.732988,0.700022,0.732856,5898.0
27,MIBR Fan Token,MIBR-USD,2022-10-24,0.732851,0.809873,0.732838,0.758843,5249.0
28,MIBR Fan Token,MIBR-USD,2022-10-25,0.758835,0.803464,0.758834,0.787164,3366.0
29,MIBR Fan Token,MIBR-USD,2022-10-26,0.787158,0.848417,0.787139,0.842167,12767.0
30,MIBR Fan Token,MIBR-USD,2022-10-27,0.842171,0.907396,0.772057,0.772171,13160.0
31,MIBR Fan Token,MIBR-USD,2022-10-28,0.772175,0.772185,0.700091,0.765311,21081.0
32,MIBR Fan Token,MIBR-USD,2022-10-29,0.765308,0.804621,0.719954,0.719962,3678.0
33,MIBR Fan Token,MIBR-USD,2022-10-30,0.719962,0.916279,0.719939,0.868956,16149.0
34,MIBR Fan Token,MIBR-USD,2022-10-31,0.868961,0.877081,0.753095,0.800258,3738.0
35,MIBR Fan Token,MIBR-USD,2022-11-01,0.800265,0.869398,0.80016,0.830337,2227.0
36,MIBR Fan Token,MIBR-USD,2022-11-02,0.830332,0.880119,0.784947,0.833097,3944.0
37,MIBR Fan Token,MIBR-USD,2022-11-03,0.833083,0.90004,0.753058,0.845406,11611.0
38,MIBR Fan Token,MIBR-USD,2022-11-04,0.845406,0.950092,0.828715,0.950072,4732.0
39,MIBR Fan Token,MIBR-USD,2022-11-05,0.950072,1.000122,0.846061,0.92741,11876.0
40,MIBR Fan Token,MIBR-USD,2022-11-06,0.927412,1.032604,0.922735,1.00009,4395.0
41,MIBR Fan Token,MIBR-USD,2022-11-07,1.000101,1.000146,0.920086,0.945688,1536.0
42,MIBR Fan Token,MIBR-USD,2022-11-08,0.945689,0.953052,0.772021,0.808226,7589.0
43,MIBR Fan Token,MIBR-USD,2022-11-09,0.808235,0.808235,0.59916,0.59916,4293.0
44,MIBR Fan Token,MIBR-USD,2022-11-10,0.59918,0.683148,0.523964,0.598302,11270.0
45,MIBR Fan Token,MIBR-USD,2022-11-11,0.598289,0.670639,0.578492,0.596635,1946.0
46,MIBR Fan Token,MIBR-USD,2022-11-12,0.596623,0.830333,0.596622,0.679259,8138.0
47,MIBR Fan Token,MIBR-USD,2022-11-13,0.679259,0.746668,0.670964,0.671163,1120.0
48,MIBR Fan Token,MIBR-USD,2022-11-14,0.67116,0.70025,0.639403,0.671437,905.0
49,MIBR Fan Token,MIBR-USD,2022-11-15,0.671442,0.722326,0.671191,0.671615,1708.0
50,MIBR Fan Token,MIBR-USD,2022-11-16,0.671619,0.698555,0.67152,0.698461,872.0
51,MIBR Fan Token,MIBR-USD,2022-11-17,0.698463,0.722597,0.670883,0.670898,2054.0
52,MIBR Fan Token,MIBR-USD,2022-11-18,0.670895,0.715246,0.630008,0.690122,2604.0
53,MIBR Fan Token,MIBR-USD,2022-11-19,0.69013,0.724505,0.646232,0.651714,807.0
54,MIBR Fan Token,MIBR-USD,2022-11-20,0.651704,0.678163,0.649205,0.649338,921.0
55,MIBR Fan Token,MIBR-USD,2022-11-21,0.649347,0.678858,0.639253,0.639617,1152.0
56,MIBR Fan Token,MIBR-USD,2022-11-22,0.639612,0.692527,0.639404,0.63956,521.0
57,MIBR Fan Token,MIBR-USD,2022-11-23,0.639566,0.6623,0.63943,0.639484,597.0
58,MIBR Fan Token,MIBR-USD,2022-11-24,0.639482,0.653777,0.605725,0.619641,683.0
59,MIBR Fan Token,MIBR-USD,2022-11-25,0.619638,0.619715,0.60864,0.610142,325.0
60,MIBR Fan Token,MIBR-USD,2022-11-26,0.610142,0.641541,0.608724,0.608741,389.0
61,MIBR Fan Token,MIBR-USD,2022-11-27,0.608737,0.616986,0.608697,0.616955,117.0
62,MIBR Fan Token,MIBR-USD,2022-11-28,0.616953,0.616984,0.579904,0.595799,552.0
63,MIBR Fan Token,MIBR-USD,2022-11-29,0.595799,0.608731,0.579921,0.583048,190.0
64,MIBR Fan Token,MIBR-USD,2022-11-30,0.583044,0.653384,0.580105,0.58841,2275.0
65,MIBR Fan Token,MIBR-USD,2022-12-01,0.588417,0.637453,0.551985,0.591526,2554.0
66,MIBR Fan Token,MIBR-USD,2022-12-02,0.591525,0.619152,0.570209,0.576237,14033.0
67,MIBR Fan Token,MIBR-USD,2022-12-03,0.576232,0.604257,0.567833,0.567834,360.0
68,MIBR Fan Token,MIBR-USD,2022-12-04,0.567835,0.583892,0.55205,0.553266,338.0
69,MIBR Fan Token,MIBR-USD,2022-12-05,0.553269,0.570823,0.525033,0.533929,1615.0
70,MIBR Fan Token,MIBR-USD,2022-12-06,0.533941,0.559872,0.524534,0.527241,7996.0
71,MIBR Fan Token,MIBR-USD,2022-12-07,0.527234,0.530752,0.524326,0.525001,789.0
72,MIBR Fan Token,MIBR-USD,2022-12-08,0.525008,0.555151,0.500132,0.506764,43734.0
73,MIBR Fan Token,MIBR-USD,2022-12-09,0.506761,0.527763,0.500119,0.500128,603.0
74,MIBR Fan Token,MIBR-USD,2022-12-10,0.500131,0.517935,0.50002,0.501423,1208.0
75,MIBR Fan Token,MIBR-USD,2022-12-11,0.501417,0.522045,0.500018,0.500039,3963.0
76,MIBR Fan Token,MIBR-USD,2022-12-12,0.500043,0.500047,0.45904,0.459049,793.0
77,MIBR Fan Token,MIBR-USD,2022-12-13,0.459051,0.502175,0.453343,0.492208,838.0
78,MIBR Fan Token,MIBR-USD,2022-12-14,0.492214,0.492231,0.451238,0.451248,168.0
79,MIBR Fan Token,MIBR-USD,2022-12-15,0.451249,0.48098,0.447443,0.449935,1695.0
80,MIBR Fan Token,MIBR-USD,2022-12-16,0.449935,0.485138,0.440139,0.440167,1690.0
81,MIBR Fan Token,MIBR-USD,2022-12-17,0.440161,0.477825,0.440157,0.442456,812.0
82,MIBR Fan Token,MIBR-USD,2022-12-18,0.442459,0.466068,0.440033,0.465972,701.0
83,MIBR Fan Token,MIBR-USD,2022-12-19,0.465969,0.488486,0.440021,0.440035,1075.0
84,MIBR Fan Token,MIBR-USD,2022-12-20,0.440032,0.457157,0.440024,0.440149,446.0
85,MIBR Fan Token,MIBR-USD,2022-12-21,0.440143,0.461146,0.432439,0.437034,2251.0
86,MIBR Fan Token,MIBR-USD,2022-12-22,0.437035,0.439331,0.413619,0.425705,350.0
87,MIBR Fan Token,MIBR-USD,2022-12-23,0.425701,0.439207,0.420009,0.420892,375.0
88,MIBR Fan Token,MIBR-USD,2022-12-24,0.420892,0.438898,0.418793,0.438297,30191.0
89,MIBR Fan Token,MIBR-USD,2022-12-25,0.438295,0.438323,0.412159,0.412176,52.0
90,MIBR Fan Token,MIBR-USD,2022-12-26,0.412173,0.428375,0.410662,0.420998,456.0
91,MIBR Fan Token,MIBR-USD,2022-12-27,0.420985,0.421008,0.410034,0.410039,18.0
92,MIBR Fan Token,MIBR-USD,2022-12-28,0.41004,0.420934,0.409983,0.420868,486.0
93,MIBR Fan Token,MIBR-USD,2022-12-29,0.420865,0.426531,0.409852,0.409991,147.0
94,MIBR Fan Token,MIBR-USD,2022-12-30,0.40999,0.432003,0.409852,0.431953,1349.0
95,MIBR Fan Token,MIBR-USD,2022-12-31,0.431957,0.431964,0.409965,0.419863,860.0
96,MIBR Fan Token,MIBR-USD,2023-01-01,0.419865,0.439048,0.412231,0.415172,101.0
97,MIBR Fan Token,MIBR-USD,2023-01-02,0.41517,0.429917,0.410489,0.412606,307.0
98,MIBR Fan Token,MIBR-USD,2023-01-03,0.412611,0.445303,0.411489,0.426897,1452.0
99,MIBR Fan Token,MIBR-USD,2023-01-04,0.426894,0.451998,0.409896,0.444295,2050.0
100,MIBR Fan Token,MIBR-USD,2023-01-05,0.444291,0.449843,0.415977,0.42787,445.0
101,MIBR Fan Token,MIBR-USD,2023-01-06,0.427876,0.435608,0.410082,0.425988,1088.0
102,MIBR Fan Token,MIBR-USD,2023-01-07,0.425986,0.441316,0.416089,0.416257,79.0
103,MIBR Fan Token,MIBR-USD,2023-01-08,0.416256,0.442778,0.416235,0.419982,83.0
104,MIBR Fan Token,MIBR-USD,2023-01-09,0.419977,0.443225,0.419959,0.4337,393.0
105,MIBR Fan Token,MIBR-USD,2023-01-10,0.433699,0.450049,0.416876,0.433143,355.0
106,MIBR Fan Token,MIBR-USD,2023-01-11,0.433141,0.437853,0.409796,0.436508,632.0
107,MIBR Fan Token,MIBR-USD,2023-01-12,0.436527,0.453157,0.416021,0.416038,4615.0
108,MIBR Fan Token,MIBR-USD,2023-01-13,0.41605,0.445095,0.416018,0.430092,707.0
109,MIBR Fan Token,MIBR-USD,2023-01-14,0.430089,0.445173,0.422064,0.423367,899.0
110,MIBR Fan Token,MIBR-USD,2023-01-15,0.423361,0.43722,0.423052,0.42856,550.0
111,MIBR Fan Token,MIBR-USD,2023-01-16,0.428549,0.453496,0.413037,0.413052,4241.0
112,MIBR Fan Token,MIBR-USD,2023-01-17,0.413054,0.452282,0.413032,0.428644,710.0
113,MIBR Fan Token,MIBR-USD,2023-01-18,0.428646,0.440047,0.424914,0.425996,1919.0
114,MIBR Fan Token,MIBR-USD,2023-01-19,0.425996,0.434924,0.421988,0.43491,1016.0
115,MIBR Fan Token,MIBR-USD,2023-01-20,0.434902,0.438651,0.400075,0.423676,312.0
116,MIBR Fan Token,MIBR-USD,2023-01-21,0.423678,0.437032,0.413065,0.41309,468.0
117,MIBR Fan Token,MIBR-USD,2023-01-22,0.413092,0.437601,0.41016,0.410396,498.0
118,MIBR Fan Token,MIBR-USD,2023-01-23,0.41039,0.436087,0.410358,0.424187,368.0
119,MIBR Fan Token,MIBR-USD,2023-01-24,0.424185,0.446065,0.413943,0.420155,838.0
120,MIBR Fan Token,MIBR-USD,2023-01-25,0.420154,0.432729,0.414069,0.429675,1033.0
121,MIBR Fan Token,MIBR-USD,2023-01-26,0.429683,0.432887,0.420025,0.429835,296.0
122,MIBR Fan Token,MIBR-USD,2023-01-27,0.429838,0.429902,0.419956,0.427778,180.0
123,MIBR Fan Token,MIBR-USD,2023-01-28,0.427775,0.435123,0.414091,0.416281,753.0
124,MIBR Fan Token,MIBR-USD,2023-01-29,0.416284,0.450113,0.416271,0.446444,784.0
125,MIBR Fan Token,MIBR-USD,2023-01-30,0.44644,0.457352,0.40003,0.403038,3301.0
126,MIBR Fan Token,MIBR-USD,2023-01-31,0.403033,0.416953,0.390209,0.396346,271.0
127,MIBR Fan Token,MIBR-USD,2023-02-01,0.396355,0.403941,0.382126,0.40394,210.0
128,MIBR Fan Token,MIBR-USD,2023-02-02,0.403935,0.419088,0.397037,0.410057,1220.0
129,MIBR Fan Token,MIBR-USD,2023-02-03,0.410058,0.41706,0.397341,0.417055,427.0
130,MIBR Fan Token,MIBR-USD,2023-02-04,0.417051,0.428955,0.401734,0.413741,365.0
131,MIBR Fan Token,MIBR-USD,2023-02-05,0.413739,0.4138,0.389377,0.399379,122.0
