,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,MXGP Fan Token,MXGP-USD,2022-11-17,0.048581,0.048581,0.048568,0.048571,14.0
1,MXGP Fan Token,MXGP-USD,2022-11-18,0.048571,0.048574,0.048555,0.048559,14.0
2,MXGP Fan Token,MXGP-USD,2022-11-19,0.04856,0.048566,0.048554,0.048556,14.0
3,MXGP Fan Token,MXGP-USD,2022-11-20,0.048556,0.048561,0.048541,0.048551,14.0
4,MXGP Fan Token,MXGP-USD,2022-11-21,0.048551,0.04856,0.048534,0.048556,14.0
5,MXGP Fan Token,MXGP-USD,2022-11-22,0.048555,0.048566,0.048545,0.048559,14.0
6,MXGP Fan Token,MXGP-USD,2022-11-23,0.048559,0.048563,0.048549,0.048561,14.0
7,MXGP Fan Token,MXGP-USD,2022-11-24,0.048561,0.048576,0.048557,0.048572,14.0
8,MXGP Fan Token,MXGP-USD,2022-11-25,0.048572,0.04858,0.048571,0.048579,14.0
9,MXGP Fan Token,MXGP-USD,2022-11-26,0.048579,0.048581,0.033584,0.033586,47.0
10,MXGP Fan Token,MXGP-USD,2022-11-27,0.033585,0.033588,0.033583,0.033587,44.0
11,MXGP Fan Token,MXGP-USD,2022-11-28,0.033587,0.033592,0.033586,0.033589,44.0
12,MXGP Fan Token,MXGP-USD,2022-11-29,0.033589,0.033992,0.033587,0.033991,6.0
13,MXGP Fan Token,MXGP-USD,2022-11-30,0.033991,0.034002,0.033988,0.034001,6.0
14,MXGP Fan Token,MXGP-USD,2022-12-01,0.034001,0.034003,0.033999,0.034002,6.0
15,MXGP Fan Token,MXGP-USD,2022-12-02,0.034001,0.034005,0.034001,0.034002,6.0
16,MXGP Fan Token,MXGP-USD,2022-12-03,0.034002,0.034004,0.034001,0.034002,6.0
17,MXGP Fan Token,MXGP-USD,2022-12-04,0.034002,0.034006,0.034001,0.034004,6.0
18,MXGP Fan Token,MXGP-USD,2022-12-05,0.034004,0.034007,0.034001,0.034002,6.0
19,MXGP Fan Token,MXGP-USD,2022-12-06,0.034003,0.034005,0.034001,0.034003,6.0
20,MXGP Fan Token,MXGP-USD,2022-12-07,0.034002,0.034004,0.033999,0.034,6.0
21,MXGP Fan Token,MXGP-USD,2022-12-08,0.034001,0.034005,0.033999,0.034004,6.0
22,MXGP Fan Token,MXGP-USD,2022-12-09,0.034004,0.034005,0.034001,0.034002,6.0
23,MXGP Fan Token,MXGP-USD,2022-12-10,0.034002,0.034003,0.034001,0.034002,6.0
24,MXGP Fan Token,MXGP-USD,2022-12-11,0.034001,0.034004,0.034001,0.034003,6.0
25,MXGP Fan Token,MXGP-USD,2022-12-12,0.034003,0.034007,0.034001,0.034004,6.0
26,MXGP Fan Token,MXGP-USD,2022-12-13,0.034004,0.034019,0.033999,0.034001,6.0
27,MXGP Fan Token,MXGP-USD,2022-12-14,0.034001,0.034004,0.033999,0.034004,6.0
28,MXGP Fan Token,MXGP-USD,2022-12-15,0.034004,0.034006,0.034001,0.034003,6.0
29,MXGP Fan Token,MXGP-USD,2022-12-16,0.034003,0.034006,0.034001,0.034005,6.0
30,MXGP Fan Token,MXGP-USD,2022-12-17,0.034005,0.03401,0.034002,0.034005,6.0
31,MXGP Fan Token,MXGP-USD,2022-12-18,0.034005,0.034007,0.034003,0.034005,6.0
32,MXGP Fan Token,MXGP-USD,2022-12-19,0.034005,0.034007,0.034002,0.034003,6.0
