,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Napoli Fan Token,NAP-USD,2022-09-02,3.347361,3.367547,3.079698,3.137923,4704330.0
1,Napoli Fan Token,NAP-USD,2022-09-03,3.138454,3.270908,3.077814,3.159221,2630641.0
2,Napoli Fan Token,NAP-USD,2022-09-04,3.167845,3.170702,3.054177,3.091286,1292766.0
3,Napoli Fan Token,NAP-USD,2022-09-05,3.091121,3.150278,2.821313,2.941546,1084138.0
4,Napoli Fan Token,NAP-USD,2022-09-06,2.941004,3.019123,2.744392,2.762732,1211166.0
5,Napoli Fan Token,NAP-USD,2022-09-07,2.784169,3.110482,2.683682,2.873022,2048822.0
6,Napoli Fan Token,NAP-USD,2022-09-08,2.873211,2.970226,2.821269,2.845157,1396299.0
7,Napoli Fan Token,NAP-USD,2022-09-09,2.845629,2.956065,2.842369,2.911084,1096873.0
8,Napoli Fan Token,NAP-USD,2022-09-10,2.911239,3.021506,2.883393,2.923493,1593578.0
9,Napoli Fan Token,NAP-USD,2022-09-11,2.912426,3.023171,2.882478,2.899886,1142802.0
10,Napoli Fan Token,NAP-USD,2022-09-12,2.900263,2.981388,2.792107,2.882292,851214.0
11,Napoli Fan Token,NAP-USD,2022-09-13,2.882392,2.923432,2.661459,2.7813,917593.0
12,Napoli Fan Token,NAP-USD,2022-09-14,2.76541,2.909794,2.749767,2.796532,1057792.0
13,Napoli Fan Token,NAP-USD,2022-09-15,2.796665,2.815811,2.638881,2.656179,610770.0
14,Napoli Fan Token,NAP-USD,2022-09-16,2.660089,2.810338,2.651064,2.709673,720314.0
15,Napoli Fan Token,NAP-USD,2022-09-17,2.709346,2.783469,2.685575,2.764279,798833.0
16,Napoli Fan Token,NAP-USD,2022-09-18,2.764202,2.932762,2.758725,2.878788,1733794.0
17,Napoli Fan Token,NAP-USD,2022-09-19,2.875995,2.8928,2.578219,2.747307,904608.0
18,Napoli Fan Token,NAP-USD,2022-09-20,2.747812,2.782941,2.637782,2.70985,673179.0
19,Napoli Fan Token,NAP-USD,2022-09-21,2.709658,2.736907,2.624033,2.683511,719678.0
20,Napoli Fan Token,NAP-USD,2022-09-22,2.682958,2.777248,2.641634,2.767628,721580.0
