,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Natus Vincere Fan Token,NAVI-USD,2021-01-27,2.454981,2.689236,2.127031,2.223776,633139.0
1,Natus Vincere Fan Token,NAVI-USD,2021-01-28,2.224701,2.571248,2.129066,2.317946,167441.0
2,Natus Vincere Fan Token,NAVI-USD,2021-01-29,2.317552,2.614966,2.039624,2.395683,208205.0
3,Natus Vincere Fan Token,NAVI-USD,2021-01-30,2.395994,2.678421,2.303363,2.350746,141986.0
4,Natus Vincere Fan Token,NAVI-USD,2021-01-31,2.353853,2.561055,2.032285,2.517351,164338.0
5,Natus Vincere Fan Token,NAVI-USD,2021-02-01,2.520252,2.738988,2.44257,2.518799,143137.0
6,Natus Vincere Fan Token,NAVI-USD,2021-02-02,2.523197,2.610639,2.161716,2.315713,141089.0
7,Natus Vincere Fan Token,NAVI-USD,2021-02-03,2.318171,2.442362,2.261971,2.368834,143886.0
8,Natus Vincere Fan Token,NAVI-USD,2021-02-04,2.368305,2.406123,2.118964,2.169562,135499.0
9,Natus Vincere Fan Token,NAVI-USD,2021-02-05,2.169416,2.288527,1.549259,2.09628,137670.0
10,Natus Vincere Fan Token,NAVI-USD,2021-02-06,2.087186,2.211365,1.760752,1.990504,101636.0
11,Natus Vincere Fan Token,NAVI-USD,2021-02-07,1.991609,2.056847,1.814914,1.904121,96484.0
12,Natus Vincere Fan Token,NAVI-USD,2021-02-08,1.904698,1.963938,1.720421,1.859363,98765.0
13,Natus Vincere Fan Token,NAVI-USD,2021-02-09,1.856949,1.966146,1.626125,1.748255,98776.0
14,Natus Vincere Fan Token,NAVI-USD,2021-02-10,1.749702,1.985,1.517026,1.694033,105833.0
15,Natus Vincere Fan Token,NAVI-USD,2021-02-11,1.696379,2.039638,1.454911,1.865142,114042.0
16,Natus Vincere Fan Token,NAVI-USD,2021-02-12,1.865166,2.471339,1.793653,2.210233,128980.0
17,Natus Vincere Fan Token,NAVI-USD,2021-02-13,2.208542,2.576133,2.052939,2.272659,128867.0
18,Natus Vincere Fan Token,NAVI-USD,2021-02-14,2.27128,2.599224,2.103674,2.128917,112841.0
19,Natus Vincere Fan Token,NAVI-USD,2021-02-15,2.132792,2.474854,1.794191,2.100766,115822.0
20,Natus Vincere Fan Token,NAVI-USD,2021-02-16,2.102634,2.311327,1.999267,2.14525,106863.0
21,Natus Vincere Fan Token,NAVI-USD,2021-02-17,2.14621,2.353042,2.060345,2.119682,102166.0
22,Natus Vincere Fan Token,NAVI-USD,2021-02-18,2.120227,2.421818,2.031833,2.327499,0.0
23,Natus Vincere Fan Token,NAVI-USD,2021-02-19,2.324325,3.387207,1.759874,2.215984,0.0
24,Natus Vincere Fan Token,NAVI-USD,2021-02-20,2.211765,2.460145,2.005855,2.147363,0.0
25,Natus Vincere Fan Token,NAVI-USD,2021-02-21,2.147848,2.354031,2.086895,2.258403,0.0
26,Natus Vincere Fan Token,NAVI-USD,2021-02-22,2.255362,2.411567,1.716896,1.952087,0.0
27,Natus Vincere Fan Token,NAVI-USD,2021-02-23,1.952074,2.156255,1.326054,1.818525,0.0
28,Natus Vincere Fan Token,NAVI-USD,2021-02-24,1.815953,2.799953,1.396373,2.327281,0.0
