,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,OG Fan Token,OG-USD,2020-06-21,1.989699,2.111194,1.806766,1.8834,142585.0
1,OG Fan Token,OG-USD,2020-06-22,1.880668,3.639432,1.797348,3.031074,215493.0
2,OG Fan Token,OG-USD,2020-06-23,3.02198,3.190308,2.764269,2.85742,282096.0
3,OG Fan Token,OG-USD,2020-06-24,2.895826,3.163879,2.553977,3.024771,289962.0
4,OG Fan Token,OG-USD,2020-06-25,3.088163,3.47168,2.933628,3.361433,324257.0
5,OG Fan Token,OG-USD,2020-06-26,3.361533,3.414834,2.780253,3.040771,294317.0
6,OG Fan Token,OG-USD,2020-06-27,3.040302,3.165442,2.789647,2.806149,272556.0
7,OG Fan Token,OG-USD,2020-06-28,2.806149,2.9752,2.728999,2.950999,274354.0
8,OG Fan Token,OG-USD,2020-06-29,2.950999,3.112208,2.773099,3.095682,293692.0
9,OG Fan Token,OG-USD,2020-06-30,3.092378,3.116217,2.859484,2.941875,275678.0
10,OG Fan Token,OG-USD,2020-07-01,2.947301,3.009338,2.760992,2.892719,279037.0
11,OG Fan Token,OG-USD,2020-07-02,2.893662,2.905249,2.485185,2.580468,263103.0
12,OG Fan Token,OG-USD,2020-07-03,2.484095,2.717177,2.482528,2.653065,247351.0
13,OG Fan Token,OG-USD,2020-07-04,2.654808,2.797263,2.519111,2.743481,260134.0
14,OG Fan Token,OG-USD,2020-07-05,2.7422,2.912138,2.737607,2.823055,255496.0
15,OG Fan Token,OG-USD,2020-07-06,2.823055,2.88034,2.544377,2.685231,81583.0
16,OG Fan Token,OG-USD,2020-07-07,2.684817,3.047163,2.600974,2.672548,128981.0
17,OG Fan Token,OG-USD,2020-07-08,2.672548,2.795468,2.555275,2.747182,52338.0
18,OG Fan Token,OG-USD,2020-07-09,2.747106,2.888831,2.555589,2.627277,51114.0
19,OG Fan Token,OG-USD,2020-07-10,2.626078,2.742558,2.575751,2.645558,83108.0
20,OG Fan Token,OG-USD,2020-07-11,2.645558,2.648595,2.476055,2.486716,26482.0
21,OG Fan Token,OG-USD,2020-07-12,2.489941,2.825234,2.460863,2.698721,167927.0
22,OG Fan Token,OG-USD,2020-07-13,2.698721,2.779537,2.49183,2.630384,92659.0
23,OG Fan Token,OG-USD,2020-07-14,2.630384,2.719212,2.489352,2.607521,102080.0
24,OG Fan Token,OG-USD,2020-07-15,2.606858,2.681533,2.596499,2.620178,117562.0
25,OG Fan Token,OG-USD,2020-07-16,2.615123,2.67026,2.49172,2.595572,118254.0
26,OG Fan Token,OG-USD,2020-07-17,2.594887,2.691587,2.522158,2.575718,100581.0
27,OG Fan Token,OG-USD,2020-07-18,2.575718,2.662431,2.448877,2.479743,11425.0
28,OG Fan Token,OG-USD,2020-07-19,2.477929,2.650204,2.383666,2.433593,113065.0
29,OG Fan Token,OG-USD,2020-07-20,2.478697,2.859657,2.412284,2.847797,122415.0
30,OG Fan Token,OG-USD,2020-07-21,2.847797,2.986385,2.731473,2.940393,183949.0
31,OG Fan Token,OG-USD,2020-07-22,2.922586,2.996098,2.916235,2.938402,160244.0
32,OG Fan Token,OG-USD,2020-07-23,2.934113,2.963241,2.850774,2.884371,61333.0
33,OG Fan Token,OG-USD,2020-07-24,2.884371,2.910168,2.814559,2.843533,166104.0
34,OG Fan Token,OG-USD,2020-07-25,2.843384,2.888833,2.825338,2.826622,266387.0
35,OG Fan Token,OG-USD,2020-07-26,2.82677,2.849387,2.765216,2.773858,267543.0
36,OG Fan Token,OG-USD,2020-07-27,2.774561,2.872038,2.594278,2.700316,222843.0
37,OG Fan Token,OG-USD,2020-07-28,2.698569,2.944396,2.60615,2.723627,268231.0
38,OG Fan Token,OG-USD,2020-07-29,2.721624,2.941201,2.70421,2.789688,282041.0
39,OG Fan Token,OG-USD,2020-07-30,2.789688,3.246011,2.735906,2.986761,296001.0
40,OG Fan Token,OG-USD,2020-07-31,2.986761,3.741547,2.943436,3.081431,175812.0
41,OG Fan Token,OG-USD,2020-08-01,3.09074,3.134309,2.854877,3.044385,289350.0
42,OG Fan Token,OG-USD,2020-08-02,3.050459,3.051986,2.699347,2.785833,269017.0
43,OG Fan Token,OG-USD,2020-08-03,2.780817,3.128906,2.704879,3.063028,280735.0
44,OG Fan Token,OG-USD,2020-08-04,3.061905,3.195284,3.026835,3.144855,300384.0
45,OG Fan Token,OG-USD,2020-08-05,3.141326,3.317379,3.070962,3.15158,306545.0
46,OG Fan Token,OG-USD,2020-08-06,3.15158,3.326686,2.988523,3.297878,298377.0
47,OG Fan Token,OG-USD,2020-08-07,3.304959,3.310134,3.012258,3.131256,303959.0
48,OG Fan Token,OG-USD,2020-08-08,3.127986,3.261412,3.102799,3.201191,311223.0
49,OG Fan Token,OG-USD,2020-08-09,3.203919,3.319172,3.144506,3.313358,318591.0
50,OG Fan Token,OG-USD,2020-08-10,3.313358,3.554498,3.166561,3.278788,329455.0
51,OG Fan Token,OG-USD,2020-08-11,3.282085,3.479067,3.045201,3.192336,321987.0
52,OG Fan Token,OG-USD,2020-08-12,3.199599,3.637599,3.16041,3.607816,349656.0
53,OG Fan Token,OG-USD,2020-08-13,3.61229,4.21608,3.502591,3.916538,399542.0
54,OG Fan Token,OG-USD,2020-08-14,3.916536,4.290631,3.767498,4.147747,392367.0
55,OG Fan Token,OG-USD,2020-08-15,4.155593,4.293235,3.863975,4.175285,396142.0
56,OG Fan Token,OG-USD,2020-08-16,4.171771,4.6329,4.104048,4.425508,426475.0
57,OG Fan Token,OG-USD,2020-08-17,4.425508,4.765506,4.117916,4.44731,425566.0
58,OG Fan Token,OG-USD,2020-08-18,4.460439,4.905565,3.960387,4.304924,401203.0
59,OG Fan Token,OG-USD,2020-08-19,4.312023,4.322283,3.735702,3.879764,373495.0
60,OG Fan Token,OG-USD,2020-08-20,3.879764,4.317756,3.854134,4.215277,406366.0
61,OG Fan Token,OG-USD,2020-08-21,4.215693,4.382136,3.818386,3.959423,374604.0
62,OG Fan Token,OG-USD,2020-08-22,3.95513,4.178846,3.897774,4.112856,393390.0
63,OG Fan Token,OG-USD,2020-08-23,4.105342,4.120168,3.946994,4.045343,394122.0
64,OG Fan Token,OG-USD,2020-08-24,4.045821,4.105302,3.876955,3.972341,383336.0
65,OG Fan Token,OG-USD,2020-08-25,3.966038,3.9824,3.518065,3.602746,352130.0
66,OG Fan Token,OG-USD,2020-08-26,3.602352,3.702113,3.268425,3.557506,354866.0
67,OG Fan Token,OG-USD,2020-08-27,3.556369,3.556369,3.200109,3.268178,312764.0
68,OG Fan Token,OG-USD,2020-08-28,3.269457,3.439547,3.100254,3.366252,321819.0
69,OG Fan Token,OG-USD,2020-08-29,3.36762,3.36762,3.151036,3.182958,316462.0
70,OG Fan Token,OG-USD,2020-08-30,3.182155,3.390643,3.131473,3.286816,313407.0
71,OG Fan Token,OG-USD,2020-08-31,3.282477,3.39964,3.132089,3.257855,310123.0
72,OG Fan Token,OG-USD,2020-09-01,3.252314,3.480827,3.209487,3.264841,317149.0
73,OG Fan Token,OG-USD,2020-09-02,3.263719,3.264535,2.980768,3.088901,289777.0
74,OG Fan Token,OG-USD,2020-09-03,3.090184,3.183668,2.33212,2.36038,236199.0
75,OG Fan Token,OG-USD,2020-09-04,2.360209,2.581255,2.304492,2.554606,246259.0
76,OG Fan Token,OG-USD,2020-09-05,2.556212,2.585844,2.117595,2.201668,210514.0
77,OG Fan Token,OG-USD,2020-09-06,2.200382,2.355701,2.111005,2.313477,218200.0
78,OG Fan Token,OG-USD,2020-09-07,2.313477,2.453073,2.14871,2.347266,221580.0
79,OG Fan Token,OG-USD,2020-09-08,2.347337,2.433313,2.253098,2.386008,228864.0
80,OG Fan Token,OG-USD,2020-09-09,2.390379,2.712564,2.336233,2.64876,254853.0
81,OG Fan Token,OG-USD,2020-09-10,2.64876,2.766653,2.576864,2.630159,257402.0
82,OG Fan Token,OG-USD,2020-09-11,2.630159,2.739458,2.563401,2.618695,255118.0
83,OG Fan Token,OG-USD,2020-09-12,2.619718,2.786296,2.573876,2.74864,264510.0
84,OG Fan Token,OG-USD,2020-09-13,2.741825,2.758899,2.562434,2.606151,251805.0
85,OG Fan Token,OG-USD,2020-09-14,2.599576,2.91811,2.590843,2.83865,277856.0
86,OG Fan Token,OG-USD,2020-09-15,2.83865,3.179277,2.745155,3.11726,276706.0
87,OG Fan Token,OG-USD,2020-09-16,3.118751,3.212498,2.861742,3.140262,294056.0
88,OG Fan Token,OG-USD,2020-09-17,3.140262,3.39863,2.961671,3.341708,315474.0
89,OG Fan Token,OG-USD,2020-09-18,3.341708,3.352618,2.929485,3.152469,308919.0
90,OG Fan Token,OG-USD,2020-09-19,3.152469,3.208472,2.959138,2.979993,298464.0
91,OG Fan Token,OG-USD,2020-09-20,2.97994,3.156339,2.648717,2.656199,287545.0
92,OG Fan Token,OG-USD,2020-09-21,2.654486,3.13051,2.496854,2.626831,257863.0
93,OG Fan Token,OG-USD,2020-09-22,2.627234,2.949852,2.455942,2.848639,272461.0
94,OG Fan Token,OG-USD,2020-09-23,2.846953,2.983773,2.569097,2.597523,253637.0
95,OG Fan Token,OG-USD,2020-09-24,2.597631,2.853062,2.563629,2.849661,273126.0
96,OG Fan Token,OG-USD,2020-09-25,2.849631,2.88745,2.640165,2.764885,263393.0
97,OG Fan Token,OG-USD,2020-09-26,2.764885,2.981415,2.677647,2.794191,268048.0
98,OG Fan Token,OG-USD,2020-09-27,2.794191,2.817611,2.651739,2.687206,258752.0
99,OG Fan Token,OG-USD,2020-09-28,2.687133,2.901132,2.644193,2.827036,263671.0
100,OG Fan Token,OG-USD,2020-09-29,2.827055,2.856785,2.62687,2.671523,214893.0
101,OG Fan Token,OG-USD,2020-09-30,2.671545,2.906653,2.615712,2.772256,254181.0
102,OG Fan Token,OG-USD,2020-10-01,2.772278,2.878287,2.475776,2.63182,259864.0
103,OG Fan Token,OG-USD,2020-10-02,2.631779,2.63335,2.464533,2.492835,240001.0
104,OG Fan Token,OG-USD,2020-10-03,2.492835,2.653847,2.314216,2.495291,238148.0
105,OG Fan Token,OG-USD,2020-10-04,2.495291,2.511852,2.399638,2.434977,243716.0
106,OG Fan Token,OG-USD,2020-10-05,2.434977,2.541372,2.366465,2.379293,229705.0
107,OG Fan Token,OG-USD,2020-10-06,2.379294,2.567412,2.265925,2.30681,223498.0
108,OG Fan Token,OG-USD,2020-10-07,2.306803,2.379479,2.223326,2.276588,217055.0
109,OG Fan Token,OG-USD,2020-10-08,2.276586,2.313548,2.207554,2.312166,227529.0
110,OG Fan Token,OG-USD,2020-10-09,2.312164,2.524073,2.250519,2.483525,235449.0
111,OG Fan Token,OG-USD,2020-10-10,2.483525,2.667856,2.364829,2.440617,228309.0
112,OG Fan Token,OG-USD,2020-10-11,2.440617,2.561519,2.420333,2.503938,239250.0
113,OG Fan Token,OG-USD,2020-10-12,2.503938,2.591444,2.342651,2.431305,234800.0
114,OG Fan Token,OG-USD,2020-10-13,2.43135,2.58479,2.361159,2.432144,230766.0
115,OG Fan Token,OG-USD,2020-10-14,2.432144,2.44637,2.329598,2.382367,231192.0
116,OG Fan Token,OG-USD,2020-10-15,2.38233,2.478754,2.268505,2.276789,231551.0
117,OG Fan Token,OG-USD,2020-10-16,2.276802,2.443748,2.253385,2.311514,223534.0
118,OG Fan Token,OG-USD,2020-10-17,2.311514,2.427842,2.293424,2.378088,229468.0
119,OG Fan Token,OG-USD,2020-10-18,2.378088,2.509839,2.355364,2.403053,231439.0
120,OG Fan Token,OG-USD,2020-10-19,2.403053,2.411294,2.264897,2.306618,221205.0
121,OG Fan Token,OG-USD,2020-10-20,2.306603,2.354717,2.233562,2.266134,216142.0
122,OG Fan Token,OG-USD,2020-10-21,2.266134,2.358271,2.246206,2.297367,224919.0
123,OG Fan Token,OG-USD,2020-10-22,2.297489,2.494075,2.266899,2.342567,225246.0
124,OG Fan Token,OG-USD,2020-10-23,2.342567,2.607882,2.196183,2.329148,251548.0
125,OG Fan Token,OG-USD,2020-10-24,2.329081,2.548237,2.217175,2.352946,238236.0
126,OG Fan Token,OG-USD,2020-10-25,2.352928,2.55713,2.205272,2.302532,228468.0
127,OG Fan Token,OG-USD,2020-10-26,2.302483,2.321039,2.192234,2.234344,213738.0
128,OG Fan Token,OG-USD,2020-10-27,2.234442,2.244501,2.183958,2.196271,213763.0
129,OG Fan Token,OG-USD,2020-10-28,2.196188,2.226155,2.065374,2.132045,203096.0
130,OG Fan Token,OG-USD,2020-10-29,2.131998,2.151942,2.023766,2.031752,198089.0
131,OG Fan Token,OG-USD,2020-10-30,2.037399,2.058385,1.891784,2.009544,189121.0
132,OG Fan Token,OG-USD,2020-10-31,2.007178,2.033136,1.963497,2.023584,193872.0
133,OG Fan Token,OG-USD,2020-11-01,2.024592,2.112731,2.003031,2.057603,200029.0
134,OG Fan Token,OG-USD,2020-11-02,2.070208,2.102287,1.992391,1.993618,196090.0
135,OG Fan Token,OG-USD,2020-11-03,1.993729,2.036529,1.894158,1.981525,193042.0
136,OG Fan Token,OG-USD,2020-11-04,1.981553,2.103057,1.941312,2.083085,197398.0
137,OG Fan Token,OG-USD,2020-11-05,2.083137,2.110243,1.987474,2.063514,201869.0
138,OG Fan Token,OG-USD,2020-11-06,2.063513,2.237539,2.063501,2.230695,208872.0
139,OG Fan Token,OG-USD,2020-11-07,2.230711,2.308338,2.079693,2.130093,206876.0
140,OG Fan Token,OG-USD,2020-11-08,2.130119,2.180653,2.015956,2.127167,205926.0
141,OG Fan Token,OG-USD,2020-11-09,2.127167,2.23478,2.086008,2.233191,215916.0
142,OG Fan Token,OG-USD,2020-11-10,2.232794,2.300709,2.165051,2.235624,215383.0
143,OG Fan Token,OG-USD,2020-11-11,2.235489,2.264198,2.191776,2.198595,213739.0
144,OG Fan Token,OG-USD,2020-11-12,2.198622,2.22512,2.142661,2.17714,205948.0
145,OG Fan Token,OG-USD,2020-11-13,2.177155,2.320974,2.177118,2.226879,218020.0
146,OG Fan Token,OG-USD,2020-11-14,2.226872,2.301635,2.132263,2.226492,211581.0
147,OG Fan Token,OG-USD,2020-11-15,2.226613,2.272691,2.174067,2.208323,209753.0
148,OG Fan Token,OG-USD,2020-11-16,2.20831,2.282065,2.158735,2.236778,218158.0
149,OG Fan Token,OG-USD,2020-11-17,2.245535,2.254614,2.185112,2.23211,213632.0
150,OG Fan Token,OG-USD,2020-11-18,2.232285,2.265082,2.11402,2.175597,208588.0
151,OG Fan Token,OG-USD,2020-11-19,2.175816,2.205568,2.141699,2.147786,205574.0
152,OG Fan Token,OG-USD,2020-11-20,2.147655,2.252848,2.145542,2.221776,213321.0
153,OG Fan Token,OG-USD,2020-11-21,2.221712,2.339629,2.205847,2.332254,224861.0
154,OG Fan Token,OG-USD,2020-11-22,2.332272,2.340941,2.209124,2.264224,218164.0
155,OG Fan Token,OG-USD,2020-11-23,2.262905,2.498005,2.210902,2.444748,231399.0
156,OG Fan Token,OG-USD,2020-11-24,2.445824,2.710555,2.410778,2.552295,249952.0
157,OG Fan Token,OG-USD,2020-11-25,2.55298,2.967765,2.44194,2.575571,262089.0
158,OG Fan Token,OG-USD,2020-11-26,2.584723,2.673125,2.123298,2.341958,219288.0
159,OG Fan Token,OG-USD,2020-11-27,2.344085,2.390877,2.234088,2.278115,216591.0
160,OG Fan Token,OG-USD,2020-11-28,2.279126,2.312836,1.795586,2.118868,190189.0
161,OG Fan Token,OG-USD,2020-11-29,2.118659,2.224129,1.799022,1.91897,174999.0
162,OG Fan Token,OG-USD,2020-11-30,1.918987,2.126466,1.89406,1.99581,75054.0
163,OG Fan Token,OG-USD,2020-12-01,1.995744,2.2085,1.906115,2.02366,143274.0
164,OG Fan Token,OG-USD,2020-12-02,2.024107,2.228709,1.975667,2.160606,209213.0
165,OG Fan Token,OG-USD,2020-12-03,2.161922,2.191796,2.005842,2.138985,205164.0
166,OG Fan Token,OG-USD,2020-12-04,2.135762,2.148527,1.986492,1.99611,0.0
167,OG Fan Token,OG-USD,2020-12-05,1.996101,2.056879,1.969053,2.050887,0.0
168,OG Fan Token,OG-USD,2020-12-06,2.051001,2.075151,1.998165,2.053518,0.0
169,OG Fan Token,OG-USD,2020-12-07,2.052957,2.103548,2.045858,2.074542,0.0
170,OG Fan Token,OG-USD,2020-12-08,2.074832,2.077103,1.972691,1.990541,0.0
171,OG Fan Token,OG-USD,2020-12-09,1.990371,1.990816,1.871046,1.976155,0.0
172,OG Fan Token,OG-USD,2020-12-10,1.975207,1.976702,1.909234,1.953437,0.0
173,OG Fan Token,OG-USD,2020-12-11,1.953161,2.041591,1.852525,2.012421,0.0
174,OG Fan Token,OG-USD,2020-12-12,2.015831,2.071166,1.97262,2.009399,0.0
175,OG Fan Token,OG-USD,2020-12-13,2.009095,2.05867,1.982006,2.032112,0.0
176,OG Fan Token,OG-USD,2020-12-14,2.033881,2.642714,2.024779,2.383167,0.0
177,OG Fan Token,OG-USD,2020-12-15,2.383287,2.464681,1.677204,1.803746,181402.0
178,OG Fan Token,OG-USD,2020-12-16,1.802336,1.933076,1.654643,1.705778,165276.0
179,OG Fan Token,OG-USD,2020-12-17,1.704235,1.954746,1.696975,1.792811,183894.0
180,OG Fan Token,OG-USD,2020-12-18,1.792186,1.888276,1.740636,1.800103,174999.0
181,OG Fan Token,OG-USD,2020-12-19,1.799374,2.006315,1.786327,1.96682,189279.0
182,OG Fan Token,OG-USD,2020-12-20,1.965391,1.96777,1.760368,1.849885,176405.0
183,OG Fan Token,OG-USD,2020-12-21,1.846833,2.854699,1.535007,2.546924,227330.0
184,OG Fan Token,OG-USD,2020-12-22,2.535174,3.366313,2.259222,2.762308,250580.0
185,OG Fan Token,OG-USD,2020-12-23,2.765851,10.174978,2.532363,9.228279,1927957.0
186,OG Fan Token,OG-USD,2020-12-24,9.224548,10.853936,8.800527,10.689224,1720399.0
187,OG Fan Token,OG-USD,2020-12-25,10.691396,11.64644,8.38878,10.273666,1777748.0
188,OG Fan Token,OG-USD,2020-12-26,10.28175,12.797246,10.28175,12.794649,1475789.0
189,OG Fan Token,OG-USD,2020-12-27,12.792513,17.458382,12.649334,15.654642,3659580.0
190,OG Fan Token,OG-USD,2020-12-28,15.618592,17.431873,13.971505,15.279978,3744222.0
191,OG Fan Token,OG-USD,2020-12-29,15.260398,19.343502,12.828445,18.632647,5662633.0
192,OG Fan Token,OG-USD,2020-12-30,18.64415,23.096647,6.539661,8.892764,23554271.0
193,OG Fan Token,OG-USD,2020-12-31,8.968833,8.989755,6.665152,6.691898,6850379.0
194,OG Fan Token,OG-USD,2021-01-01,6.685081,6.899269,5.392234,6.351672,7346548.0
195,OG Fan Token,OG-USD,2021-01-02,6.306769,7.122211,5.683782,5.854535,6117313.0
196,OG Fan Token,OG-USD,2021-01-03,5.854755,6.175886,5.278885,5.522725,4301434.0
197,OG Fan Token,OG-USD,2021-01-04,5.535066,5.923734,4.372316,4.84912,4189093.0
198,OG Fan Token,OG-USD,2021-01-05,4.857294,5.077692,4.080289,4.200322,3969474.0
199,OG Fan Token,OG-USD,2021-01-06,4.203621,4.365947,3.74394,4.032676,4216662.0
200,OG Fan Token,OG-USD,2021-01-07,4.02972,4.456467,3.336263,3.722177,3853642.0
201,OG Fan Token,OG-USD,2021-01-08,3.71978,4.411689,3.266434,3.73632,3977394.0
202,OG Fan Token,OG-USD,2021-01-09,3.731551,3.861858,3.427413,3.620225,3560263.0
203,OG Fan Token,OG-USD,2021-01-10,3.619955,3.75881,3.113437,3.35412,3478467.0
204,OG Fan Token,OG-USD,2021-01-11,3.353988,3.378088,2.478772,3.020657,3381899.0
205,OG Fan Token,OG-USD,2021-01-12,3.01327,3.097305,2.666053,2.69949,2957659.0
206,OG Fan Token,OG-USD,2021-01-13,2.703558,6.557056,2.571209,5.375171,17368713.0
207,OG Fan Token,OG-USD,2021-01-14,5.301708,5.964721,4.447946,4.624917,13663236.0
208,OG Fan Token,OG-USD,2021-01-15,4.618346,5.107427,4.100743,4.386907,7059506.0
209,OG Fan Token,OG-USD,2021-01-16,4.385188,5.054994,4.174566,4.456484,6497683.0
210,OG Fan Token,OG-USD,2021-01-17,4.456384,4.569633,4.068151,4.23164,4544969.0
211,OG Fan Token,OG-USD,2021-01-18,4.229795,4.439468,3.761389,4.116107,4352576.0
212,OG Fan Token,OG-USD,2021-01-19,4.125901,4.46337,3.852663,4.145757,4517833.0
213,OG Fan Token,OG-USD,2021-01-20,4.131991,4.799941,3.679522,4.400016,6105672.0
214,OG Fan Token,OG-USD,2021-01-21,4.391226,4.463044,3.820441,3.820441,3987804.0
215,OG Fan Token,OG-USD,2021-01-22,3.817505,4.136696,3.520571,3.972391,3656600.0
216,OG Fan Token,OG-USD,2021-01-23,3.981252,4.064029,3.753854,3.899426,3607754.0
217,OG Fan Token,OG-USD,2021-01-24,3.899215,3.982445,3.763729,3.893799,3505681.0
218,OG Fan Token,OG-USD,2021-01-25,3.895032,3.949034,3.46935,3.486191,3476206.0
219,OG Fan Token,OG-USD,2021-01-26,3.48918,3.722672,3.398086,3.614721,4003822.0
220,OG Fan Token,OG-USD,2021-01-27,3.608846,3.775907,3.257215,3.374489,3835621.0
221,OG Fan Token,OG-USD,2021-01-28,3.378213,4.170795,3.334721,3.704649,4451917.0
222,OG Fan Token,OG-USD,2021-01-29,3.5594,3.706182,3.282077,3.3195,4138092.0
223,OG Fan Token,OG-USD,2021-01-30,3.321739,3.690516,3.269682,3.483679,3820121.0
224,OG Fan Token,OG-USD,2021-01-31,3.502284,3.614155,3.209482,3.466859,4470137.0
225,OG Fan Token,OG-USD,2021-02-01,3.469856,3.80791,3.338247,3.615611,4456908.0
226,OG Fan Token,OG-USD,2021-02-02,3.621479,3.877033,3.443195,3.851462,5036599.0
227,OG Fan Token,OG-USD,2021-02-03,3.854428,4.919737,3.817722,4.162491,5490264.0
228,OG Fan Token,OG-USD,2021-02-04,4.163547,4.496949,3.934809,4.101231,4894601.0
229,OG Fan Token,OG-USD,2021-02-05,4.100935,4.479085,4.049058,4.361262,5223707.0
230,OG Fan Token,OG-USD,2021-02-06,4.347611,4.446037,3.845794,4.241802,5625521.0
231,OG Fan Token,OG-USD,2021-02-07,4.244022,4.451787,3.846318,4.060308,5854256.0
232,OG Fan Token,OG-USD,2021-02-08,4.061014,4.801997,3.940985,4.545898,2915827.0
233,OG Fan Token,OG-USD,2021-02-09,4.56302,5.005222,4.417576,4.890034,3169990.0
234,OG Fan Token,OG-USD,2021-02-10,4.893699,5.410242,4.574745,5.401989,4085483.0
235,OG Fan Token,OG-USD,2021-02-11,5.379411,6.916747,5.193211,5.739918,5963144.0
236,OG Fan Token,OG-USD,2021-02-12,5.766249,8.313556,5.746644,6.888821,10371130.0
237,OG Fan Token,OG-USD,2021-02-13,6.855668,7.866335,6.680737,7.154963,5592952.0
238,OG Fan Token,OG-USD,2021-02-14,7.155146,7.270758,6.557266,6.74601,3030874.0
239,OG Fan Token,OG-USD,2021-02-15,6.750265,6.809409,5.293269,6.2494,3187198.0
240,OG Fan Token,OG-USD,2021-02-16,6.250652,6.961853,6.008455,6.624469,2704011.0
241,OG Fan Token,OG-USD,2021-02-17,6.637448,7.717649,6.355988,7.598442,3374936.0
242,OG Fan Token,OG-USD,2021-02-18,7.578616,8.71804,7.524167,8.132774,4976202.0
243,OG Fan Token,OG-USD,2021-02-19,8.130807,8.747953,7.730879,7.92767,4222949.0
244,OG Fan Token,OG-USD,2021-02-20,7.936904,7.936904,6.753485,6.985264,3575222.0
245,OG Fan Token,OG-USD,2021-02-21,6.942878,7.585264,6.784016,7.079835,3347985.0
246,OG Fan Token,OG-USD,2021-02-22,7.079953,7.081637,5.373791,6.077045,3092462.0
247,OG Fan Token,OG-USD,2021-02-23,6.067144,6.076156,3.991349,4.872791,2063065.0
248,OG Fan Token,OG-USD,2021-02-24,4.877212,5.823822,4.604566,4.966592,1753397.0
249,OG Fan Token,OG-USD,2021-02-25,4.963322,5.493889,4.667339,4.711305,1608261.0
250,OG Fan Token,OG-USD,2021-02-26,4.671492,4.741172,4.055397,4.310555,1242203.0
251,OG Fan Token,OG-USD,2021-02-27,4.332577,4.896932,4.283537,4.629564,1248985.0
252,OG Fan Token,OG-USD,2021-02-28,4.627923,5.14223,4.022796,4.60673,3811872.0
253,OG Fan Token,OG-USD,2021-03-01,4.629581,5.121848,4.467772,5.106955,1806667.0
254,OG Fan Token,OG-USD,2021-03-02,5.107886,5.216585,4.518573,4.682641,1106333.0
255,OG Fan Token,OG-USD,2021-03-03,4.684265,5.271201,4.668005,5.096486,1266314.0
256,OG Fan Token,OG-USD,2021-03-04,5.09091,5.547176,4.494237,4.684962,1555433.0
257,OG Fan Token,OG-USD,2021-03-05,4.67258,4.946885,4.343238,4.76183,939536.0
258,OG Fan Token,OG-USD,2021-03-06,4.757328,6.752535,4.304821,5.899087,20325938.0
259,OG Fan Token,OG-USD,2021-03-07,5.859383,8.27582,5.859383,6.223577,32682695.0
260,OG Fan Token,OG-USD,2021-03-08,6.316868,6.820336,5.891913,6.249384,9235625.0
261,OG Fan Token,OG-USD,2021-03-09,6.27044,6.670871,6.048565,6.391184,4113794.0
262,OG Fan Token,OG-USD,2021-03-10,6.392645,8.174736,5.955407,6.998396,12353931.0
263,OG Fan Token,OG-USD,2021-03-11,6.9913,11.114344,6.816609,8.796091,36265654.0
264,OG Fan Token,OG-USD,2021-03-12,8.815436,10.915072,8.208905,9.299381,16450764.0
265,OG Fan Token,OG-USD,2021-03-13,9.28887,12.639062,8.789888,10.668245,18514432.0
266,OG Fan Token,OG-USD,2021-03-14,10.758023,11.592984,10.133992,10.792084,8564135.0
267,OG Fan Token,OG-USD,2021-03-15,10.737022,11.226134,9.52766,9.750376,6436684.0
268,OG Fan Token,OG-USD,2021-03-16,9.7337,10.029624,8.697181,9.888139,5640678.0
269,OG Fan Token,OG-USD,2021-03-17,9.890951,10.811907,9.288212,10.083546,4155487.0
270,OG Fan Token,OG-USD,2021-03-18,10.084801,10.22788,9.386601,9.435019,2990807.0
271,OG Fan Token,OG-USD,2021-03-19,9.436023,9.626083,8.995557,9.124245,2448325.0
272,OG Fan Token,OG-USD,2021-03-20,9.111083,9.445125,8.546403,8.546403,2333283.0
273,OG Fan Token,OG-USD,2021-03-21,8.551874,9.227781,8.119402,8.247081,2427708.0
274,OG Fan Token,OG-USD,2021-03-22,8.246875,8.955603,8.057163,8.406332,2377926.0
275,OG Fan Token,OG-USD,2021-03-23,8.408886,8.725659,7.576109,8.168668,2302922.0
276,OG Fan Token,OG-USD,2021-03-24,8.148649,8.948275,7.641789,7.915002,1721734.0
277,OG Fan Token,OG-USD,2021-03-25,7.912746,12.113925,7.485098,11.132558,57722322.0
278,OG Fan Token,OG-USD,2021-03-26,11.203027,12.014128,9.622821,10.095395,27211625.0
279,OG Fan Token,OG-USD,2021-03-27,10.093542,10.929866,9.799268,9.928337,6424464.0
280,OG Fan Token,OG-USD,2021-03-28,9.928375,10.394765,9.536809,9.979449,4464912.0
281,OG Fan Token,OG-USD,2021-03-29,9.980077,11.012177,9.801828,10.344703,4635615.0
282,OG Fan Token,OG-USD,2021-03-30,10.343212,11.713527,10.19203,11.302649,4603750.0
283,OG Fan Token,OG-USD,2021-03-31,11.330137,13.37281,10.856748,11.002449,8662439.0
