,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Professional Fighters League Fan Token,PFL-USD,2021-04-08,0.0,0.0,0.0,0.0,0.0
1,Professional Fighters League Fan Token,PFL-USD,2021-04-09,0.0,8.527356,0.0,6.493085,0.0
2,Professional Fighters League Fan Token,PFL-USD,2021-04-10,6.509733,6.803756,5.152958,5.741051,0.0
3,Professional Fighters League Fan Token,PFL-USD,2021-04-11,5.739924,6.139038,5.385901,5.721341,0.0
4,Professional Fighters League Fan Token,PFL-USD,2021-04-12,5.724497,6.379386,5.285959,6.115613,0.0
5,Professional Fighters League Fan Token,PFL-USD,2021-04-13,6.101162,6.28172,5.093925,5.393426,0.0
6,Professional Fighters League Fan Token,PFL-USD,2021-04-14,5.397565,5.716765,4.818376,5.362046,0.0
7,Professional Fighters League Fan Token,PFL-USD,2021-04-15,5.356634,5.909158,5.165343,5.391107,0.0
8,Professional Fighters League Fan Token,PFL-USD,2021-04-16,5.399876,6.424392,4.203641,5.574511,0.0
9,Professional Fighters League Fan Token,PFL-USD,2021-04-17,5.579934,6.005876,4.767575,4.954722,0.0
10,Professional Fighters League Fan Token,PFL-USD,2021-04-18,4.955454,5.489818,3.806603,4.62023,0.0
11,Professional Fighters League Fan Token,PFL-USD,2021-04-19,4.610979,4.875187,4.124429,4.398235,0.0
12,Professional Fighters League Fan Token,PFL-USD,2021-04-20,4.371467,4.847387,3.897569,4.428853,0.0
13,Professional Fighters League Fan Token,PFL-USD,2021-04-21,4.43055,4.651101,3.612909,4.294205,0.0
14,Professional Fighters League Fan Token,PFL-USD,2021-04-22,4.300193,4.739002,3.712694,4.138411,0.0
15,Professional Fighters League Fan Token,PFL-USD,2021-04-23,4.133655,4.227648,2.724619,3.864657,0.0
16,Professional Fighters League Fan Token,PFL-USD,2021-04-24,3.864726,3.864726,3.378524,3.423608,0.0
17,Professional Fighters League Fan Token,PFL-USD,2021-04-25,3.428768,3.862034,3.222985,3.549667,0.0
18,Professional Fighters League Fan Token,PFL-USD,2021-04-26,3.553339,4.285571,3.536088,3.84372,0.0
19,Professional Fighters League Fan Token,PFL-USD,2021-04-27,3.847593,4.428174,3.586776,4.184337,0.0
20,Professional Fighters League Fan Token,PFL-USD,2021-04-28,4.196238,4.625355,3.557108,4.086769,0.0
21,Professional Fighters League Fan Token,PFL-USD,2021-04-29,4.103149,4.584558,0.0,4.151399,0.0
