,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Portugal National Team Fan Token,POR-USD,2021-11-24,1.06972,1.20367,1.052366,1.146251,140686
1,Portugal National Team Fan Token,POR-USD,2021-11-25,1.146416,1.23911,1.01619,1.118923,155532
2,Portugal National Team Fan Token,POR-USD,2021-11-26,1.0914,1.148789,0.939111,0.976084,95873
3,Portugal National Team Fan Token,POR-USD,2021-11-27,0.977267,1.138916,0.930669,0.945658,101100
4,Portugal National Team Fan Token,POR-USD,2021-11-28,0.949986,0.981672,0.887273,0.964547,6304
5,Portugal National Team Fan Token,POR-USD,2021-11-29,0.962224,1.424501,0.944546,1.048901,89340
6,Portugal National Team Fan Token,POR-USD,2021-11-30,1.048629,1.121773,0.99608,1.022726,144685
7,Portugal National Team Fan Token,POR-USD,2021-12-01,1.021463,1.074797,0.946638,0.960333,133834
8,Portugal National Team Fan Token,POR-USD,2021-12-02,0.960333,1.023756,0.935665,0.990443,56877
9,Portugal National Team Fan Token,POR-USD,2021-12-03,0.990316,1.056734,0.90409,0.923066,18607
10,Portugal National Team Fan Token,POR-USD,2021-12-04,0.92298,0.968919,0.608813,0.859709,35299
11,Portugal National Team Fan Token,POR-USD,2021-12-05,0.859395,0.936344,0.789217,0.842355,24528
12,Portugal National Team Fan Token,POR-USD,2021-12-06,0.841728,0.903774,0.750631,0.833932,21846
13,Portugal National Team Fan Token,POR-USD,2021-12-07,0.833349,0.915423,0.760926,0.841583,17387
14,Portugal National Team Fan Token,POR-USD,2021-12-08,0.841816,0.857668,0.783203,0.840075,37598
15,Portugal National Team Fan Token,POR-USD,2021-12-09,0.838646,0.85163,0.758778,0.780658,26314
16,Portugal National Team Fan Token,POR-USD,2021-12-10,0.781366,0.804876,0.625052,0.6892,43388
17,Portugal National Team Fan Token,POR-USD,2021-12-11,0.687755,0.787321,0.648648,0.733719,52851
18,Portugal National Team Fan Token,POR-USD,2021-12-12,0.732013,0.789366,0.724505,0.76213,57533
19,Portugal National Team Fan Token,POR-USD,2021-12-13,0.762749,0.812195,0.68407,0.719944,56270
20,Portugal National Team Fan Token,POR-USD,2021-12-14,0.720728,0.89615,0.709065,0.840118,91615
21,Portugal National Team Fan Token,POR-USD,2021-12-15,0.840419,0.882212,0.767453,0.836686,57729
22,Portugal National Team Fan Token,POR-USD,2021-12-16,0.836716,0.921071,0.819834,0.835787,23232
23,Portugal National Team Fan Token,POR-USD,2021-12-17,0.8379,0.885007,0.738504,0.807821,38913
24,Portugal National Team Fan Token,POR-USD,2021-12-18,0.80445,0.860023,0.780139,0.822431,15977
25,Portugal National Team Fan Token,POR-USD,2021-12-19,0.822572,0.973065,0.812361,0.822406,10657
26,Portugal National Team Fan Token,POR-USD,2021-12-20,0.823317,0.897843,0.787864,0.868444,29659
27,Portugal National Team Fan Token,POR-USD,2021-12-21,0.86847,0.926213,0.84741,0.911677,23870
28,Portugal National Team Fan Token,POR-USD,2021-12-22,0.911898,0.95312,0.864089,0.87587,31809
29,Portugal National Team Fan Token,POR-USD,2021-12-23,0.876198,0.962232,0.860144,0.925348,50618
30,Portugal National Team Fan Token,POR-USD,2021-12-24,0.924659,0.957019,0.845905,0.882979,22448
31,Portugal National Team Fan Token,POR-USD,2021-12-25,0.883022,0.914985,0.83863,0.893715,54721
32,Portugal National Team Fan Token,POR-USD,2021-12-26,0.890925,0.933322,0.854903,0.908224,30966
33,Portugal National Team Fan Token,POR-USD,2021-12-27,0.908488,0.981837,0.879,0.88828,40699
34,Portugal National Team Fan Token,POR-USD,2021-12-28,0.885699,0.978216,0.835097,0.862379,92361
35,Portugal National Team Fan Token,POR-USD,2021-12-29,0.861745,0.935441,0.841807,0.916516,97540
36,Portugal National Team Fan Token,POR-USD,2021-12-30,0.914778,0.955105,0.859402,0.929683,88278
37,Portugal National Team Fan Token,POR-USD,2021-12-31,0.928519,0.958227,0.864804,0.885185,52269
38,Portugal National Team Fan Token,POR-USD,2022-01-01,0.885243,0.930711,0.856936,0.911993,11676
39,Portugal National Team Fan Token,POR-USD,2022-01-02,0.911905,0.965005,0.874682,0.917851,23961
40,Portugal National Team Fan Token,POR-USD,2022-01-03,0.917833,0.963933,0.873528,0.900362,24107
41,Portugal National Team Fan Token,POR-USD,2022-01-04,0.901654,0.944698,0.867403,0.883167,26329
42,Portugal National Team Fan Token,POR-USD,2022-01-05,0.883216,0.935092,0.758689,0.792277,22422
43,Portugal National Team Fan Token,POR-USD,2022-01-06,0.792216,0.822123,0.744428,0.770238,61861
44,Portugal National Team Fan Token,POR-USD,2022-01-07,0.770151,0.785026,0.702129,0.73102,75027
