,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,FC Porto Fan Token,PORTO-USD,2021-11-16,9.650593,14.652555,7.764286,8.337273,377424615.0
1,FC Porto Fan Token,PORTO-USD,2021-11-17,8.314328,9.159071,6.534526,6.747503,105972918.0
2,FC Porto Fan Token,PORTO-USD,2021-11-18,6.769646,6.773102,5.241001,5.494396,44318158.0
3,FC Porto Fan Token,PORTO-USD,2021-11-19,5.493661,7.020809,5.361236,6.104934,75444170.0
4,FC Porto Fan Token,PORTO-USD,2021-11-20,6.105898,6.500278,5.881888,6.060711,30374772.0
5,FC Porto Fan Token,PORTO-USD,2021-11-21,6.072422,6.269475,5.665317,5.68687,20764801.0
6,FC Porto Fan Token,PORTO-USD,2021-11-22,5.702167,6.569157,5.466544,6.026181,42177669.0
7,FC Porto Fan Token,PORTO-USD,2021-11-23,6.026285,6.441283,5.427135,5.558149,39118552.0
8,FC Porto Fan Token,PORTO-USD,2021-11-24,5.556636,5.631744,5.00919,5.446891,35906657.0
9,FC Porto Fan Token,PORTO-USD,2021-11-25,5.07378,5.357443,4.95347,5.10167,16297065.0
10,FC Porto Fan Token,PORTO-USD,2021-11-26,5.030555,5.200388,4.289118,4.319449,13233249.0
11,FC Porto Fan Token,PORTO-USD,2021-11-27,4.306304,4.589237,4.29856,4.328571,7607697.0
12,FC Porto Fan Token,PORTO-USD,2021-11-28,4.32895,4.347296,3.949136,4.24008,8648353.0
13,FC Porto Fan Token,PORTO-USD,2021-11-29,4.238797,4.263047,4.080538,4.169956,7764398.0
14,FC Porto Fan Token,PORTO-USD,2021-11-30,4.168831,4.251889,3.932209,3.952776,8859971.0
15,FC Porto Fan Token,PORTO-USD,2021-12-01,3.941932,4.145517,3.891095,3.892146,9430059.0
16,FC Porto Fan Token,PORTO-USD,2021-12-02,3.891622,3.902203,3.686303,3.70777,7412617.0
17,FC Porto Fan Token,PORTO-USD,2021-12-03,3.717209,3.746869,3.278104,3.500779,10446314.0
18,FC Porto Fan Token,PORTO-USD,2021-12-04,3.508973,3.508973,2.642663,3.00895,7848601.0
19,FC Porto Fan Token,PORTO-USD,2021-12-05,3.011323,5.582289,2.940412,4.114444,221218401.0
20,FC Porto Fan Token,PORTO-USD,2021-12-06,4.127181,5.363113,3.381297,4.075754,154045252.0
21,FC Porto Fan Token,PORTO-USD,2021-12-07,4.082781,4.840573,3.980276,4.115793,58401948.0
22,FC Porto Fan Token,PORTO-USD,2021-12-08,4.113116,4.202294,3.766126,3.874787,17765959.0
23,FC Porto Fan Token,PORTO-USD,2021-12-09,3.868187,4.579034,3.698237,3.858932,70911918.0
24,FC Porto Fan Token,PORTO-USD,2021-12-10,3.865726,4.154283,3.709246,3.721939,35794438.0
25,FC Porto Fan Token,PORTO-USD,2021-12-11,3.716649,3.987837,3.58124,3.862679,26508819.0
26,FC Porto Fan Token,PORTO-USD,2021-12-12,3.857835,4.088555,3.825363,3.921881,22238957.0
27,FC Porto Fan Token,PORTO-USD,2021-12-13,3.923649,3.934096,3.296082,3.369957,11181420.0
28,FC Porto Fan Token,PORTO-USD,2021-12-14,3.370696,3.47219,3.205328,3.330128,9036161.0
29,FC Porto Fan Token,PORTO-USD,2021-12-15,3.329794,3.679894,3.231833,3.41364,25099457.0
30,FC Porto Fan Token,PORTO-USD,2021-12-16,3.41358,3.465045,3.263839,3.264368,12135957.0
31,FC Porto Fan Token,PORTO-USD,2021-12-17,3.264743,3.317627,3.015585,3.115078,12730456.0
32,FC Porto Fan Token,PORTO-USD,2021-12-18,3.111125,3.141988,3.046863,3.098976,5784280.0
33,FC Porto Fan Token,PORTO-USD,2021-12-19,3.098131,3.142022,3.003362,3.027677,5866743.0
34,FC Porto Fan Token,PORTO-USD,2021-12-20,3.026775,3.382053,2.814655,3.166151,27463899.0
35,FC Porto Fan Token,PORTO-USD,2021-12-21,3.166407,3.443807,3.120241,3.196281,15855657.0
36,FC Porto Fan Token,PORTO-USD,2021-12-22,3.197276,3.27983,3.174872,3.242333,5920107.0
37,FC Porto Fan Token,PORTO-USD,2021-12-23,3.237943,3.635215,3.166144,3.518937,19305710.0
38,FC Porto Fan Token,PORTO-USD,2021-12-24,3.516233,3.569499,3.363125,3.424156,9528697.0
39,FC Porto Fan Token,PORTO-USD,2021-12-25,3.424159,3.845667,3.382666,3.589093,19040432.0
40,FC Porto Fan Token,PORTO-USD,2021-12-26,3.594335,3.683037,3.516365,3.665202,6961890.0
41,FC Porto Fan Token,PORTO-USD,2021-12-27,3.665878,3.793847,3.565931,3.607202,7595767.0
42,FC Porto Fan Token,PORTO-USD,2021-12-28,3.610281,3.662358,3.343272,3.371083,11211472.0
43,FC Porto Fan Token,PORTO-USD,2021-12-29,3.372404,3.438735,3.222602,3.230743,3903142.0
44,FC Porto Fan Token,PORTO-USD,2021-12-30,3.230942,3.302853,3.161099,3.179402,3745023.0
45,FC Porto Fan Token,PORTO-USD,2021-12-31,3.179606,3.251842,3.112947,3.143693,4202976.0
46,FC Porto Fan Token,PORTO-USD,2022-01-01,3.144405,3.21034,3.138258,3.21034,2840445.0
