,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Paris Saint-Germain Fan Token,PSG-USD,2020-06-11,2.768528,7.413933,2.768528,6.047248,509757.0
1,Paris Saint-Germain Fan Token,PSG-USD,2020-06-12,6.047822,6.43147,5.210703,5.617572,538511.0
2,Paris Saint-Germain Fan Token,PSG-USD,2020-06-13,5.617345,5.664615,5.299619,5.471344,412591.0
3,Paris Saint-Germain Fan Token,PSG-USD,2020-06-14,5.484592,5.602832,4.686987,4.686987,374119.0
4,Paris Saint-Germain Fan Token,PSG-USD,2020-06-15,4.686987,5.016037,3.84378,4.638431,358102.0
5,Paris Saint-Germain Fan Token,PSG-USD,2020-06-16,4.646992,4.776903,3.970446,4.473094,375955.0
6,Paris Saint-Germain Fan Token,PSG-USD,2020-06-17,4.470824,4.479932,4.207017,4.26798,328070.0
7,Paris Saint-Germain Fan Token,PSG-USD,2020-06-18,4.26798,4.596288,4.091761,4.441812,335978.0
8,Paris Saint-Germain Fan Token,PSG-USD,2020-06-19,4.447993,5.098761,4.250898,4.817915,330468.0
9,Paris Saint-Germain Fan Token,PSG-USD,2020-06-20,4.816958,5.335738,4.473223,4.844,350008.0
10,Paris Saint-Germain Fan Token,PSG-USD,2020-06-21,4.846259,4.916772,4.416842,4.469562,137214.0
11,Paris Saint-Germain Fan Token,PSG-USD,2020-06-22,4.473092,6.803896,4.437444,5.666663,284632.0
12,Paris Saint-Germain Fan Token,PSG-USD,2020-06-23,5.649661,5.81801,4.830644,5.578385,405235.0
13,Paris Saint-Germain Fan Token,PSG-USD,2020-06-24,5.574946,5.829797,4.935417,5.206882,425320.0
14,Paris Saint-Germain Fan Token,PSG-USD,2020-06-25,5.214637,5.379427,4.942425,4.993417,373490.0
15,Paris Saint-Germain Fan Token,PSG-USD,2020-06-26,4.993566,5.005771,4.582841,4.767982,354559.0
16,Paris Saint-Germain Fan Token,PSG-USD,2020-06-27,4.767247,4.908795,4.359983,4.457566,320976.0
17,Paris Saint-Germain Fan Token,PSG-USD,2020-06-28,4.457566,4.606009,4.139647,4.342446,315444.0
18,Paris Saint-Germain Fan Token,PSG-USD,2020-06-29,4.342968,4.572227,4.252919,4.495358,320978.0
19,Paris Saint-Germain Fan Token,PSG-USD,2020-06-30,4.490559,4.585304,4.196329,4.297594,318388.0
20,Paris Saint-Germain Fan Token,PSG-USD,2020-07-01,4.30552,4.381959,3.558972,4.01936,310886.0
21,Paris Saint-Germain Fan Token,PSG-USD,2020-07-02,4.047382,4.133983,3.636292,3.994771,279182.0
22,Paris Saint-Germain Fan Token,PSG-USD,2020-07-03,4.005226,4.03958,3.782848,3.909358,288979.0
23,Paris Saint-Germain Fan Token,PSG-USD,2020-07-04,3.911927,4.181942,3.816181,4.115512,287443.0
24,Paris Saint-Germain Fan Token,PSG-USD,2020-07-05,4.113589,4.252205,3.706656,3.836805,267257.0
25,Paris Saint-Germain Fan Token,PSG-USD,2020-07-06,3.836805,4.127362,3.713149,4.004916,45608.0
26,Paris Saint-Germain Fan Token,PSG-USD,2020-07-07,4.004298,4.115641,3.930165,3.993681,125608.0
27,Paris Saint-Germain Fan Token,PSG-USD,2020-07-08,3.993681,4.057409,3.860829,3.971649,41734.0
28,Paris Saint-Germain Fan Token,PSG-USD,2020-07-09,3.97336,4.254604,3.859253,3.933269,71756.0
29,Paris Saint-Germain Fan Token,PSG-USD,2020-07-10,3.931474,4.183215,3.873032,3.947992,67931.0
30,Paris Saint-Germain Fan Token,PSG-USD,2020-07-11,3.947992,3.993735,3.73186,3.748693,37869.0
31,Paris Saint-Germain Fan Token,PSG-USD,2020-07-12,3.753554,4.927759,3.70849,4.672017,154359.0
32,Paris Saint-Germain Fan Token,PSG-USD,2020-07-13,4.672017,4.77096,4.250652,4.264012,92604.0
33,Paris Saint-Germain Fan Token,PSG-USD,2020-07-14,4.264012,4.338056,4.164227,4.24026,88376.0
34,Paris Saint-Germain Fan Token,PSG-USD,2020-07-15,4.239429,4.345118,4.214213,4.245576,3248.0
35,Paris Saint-Germain Fan Token,PSG-USD,2020-07-16,4.237385,4.326725,4.009383,4.152435,68268.0
36,Paris Saint-Germain Fan Token,PSG-USD,2020-07-17,4.15134,4.306441,4.072734,4.096796,106933.0
37,Paris Saint-Germain Fan Token,PSG-USD,2020-07-18,4.096796,4.243473,4.037242,4.197261,4044.0
38,Paris Saint-Germain Fan Token,PSG-USD,2020-07-19,4.194191,4.215425,3.950608,4.066135,100738.0
39,Paris Saint-Germain Fan Token,PSG-USD,2020-07-20,4.0664,4.834306,4.008583,4.768384,94164.0
40,Paris Saint-Germain Fan Token,PSG-USD,2020-07-21,4.768384,5.257326,4.622656,5.14548,214965.0
41,Paris Saint-Germain Fan Token,PSG-USD,2020-07-22,5.14548,5.251321,5.082971,5.216858,154477.0
42,Paris Saint-Germain Fan Token,PSG-USD,2020-07-23,5.209244,5.262246,4.966675,5.149128,50998.0
43,Paris Saint-Germain Fan Token,PSG-USD,2020-07-24,5.149128,5.195602,4.910809,4.957038,224712.0
44,Paris Saint-Germain Fan Token,PSG-USD,2020-07-25,4.956778,5.035908,4.857212,4.874594,357224.0
45,Paris Saint-Germain Fan Token,PSG-USD,2020-07-26,4.874849,5.145087,4.80824,5.058225,353471.0
46,Paris Saint-Germain Fan Token,PSG-USD,2020-07-27,5.059507,5.114877,4.621855,4.735081,291638.0
47,Paris Saint-Germain Fan Token,PSG-USD,2020-07-28,4.732017,5.065201,4.716995,4.871209,353040.0
48,Paris Saint-Germain Fan Token,PSG-USD,2020-07-29,4.867627,5.128004,4.863064,5.005614,361639.0
49,Paris Saint-Germain Fan Token,PSG-USD,2020-07-30,5.005614,5.69294,4.947199,5.18805,381654.0
50,Paris Saint-Germain Fan Token,PSG-USD,2020-07-31,5.18805,6.691489,5.18805,5.49278,168050.0
51,Paris Saint-Germain Fan Token,PSG-USD,2020-08-01,5.509373,5.509373,5.135145,5.214527,374353.0
52,Paris Saint-Germain Fan Token,PSG-USD,2020-08-02,5.224931,5.542348,4.747549,5.008485,355604.0
53,Paris Saint-Germain Fan Token,PSG-USD,2020-08-03,4.999466,5.777098,4.959464,5.329113,418845.0
54,Paris Saint-Germain Fan Token,PSG-USD,2020-08-04,5.32716,5.737193,5.07168,5.401039,415600.0
55,Paris Saint-Germain Fan Token,PSG-USD,2020-08-05,5.394979,5.641552,5.267574,5.325713,389623.0
56,Paris Saint-Germain Fan Token,PSG-USD,2020-08-06,5.325713,5.720184,5.11717,5.321099,416860.0
57,Paris Saint-Germain Fan Token,PSG-USD,2020-08-07,5.332524,5.682117,4.988385,5.371346,403080.0
58,Paris Saint-Germain Fan Token,PSG-USD,2020-08-08,5.365736,5.573917,5.230646,5.484936,389048.0
59,Paris Saint-Germain Fan Token,PSG-USD,2020-08-09,5.48961,5.701235,5.277443,5.662348,413227.0
60,Paris Saint-Germain Fan Token,PSG-USD,2020-08-10,5.662348,5.922415,5.427837,5.756284,417004.0
61,Paris Saint-Germain Fan Token,PSG-USD,2020-08-11,5.762072,5.880072,5.41427,5.68178,407072.0
62,Paris Saint-Germain Fan Token,PSG-USD,2020-08-12,5.694707,7.667182,5.560763,7.545081,763783.0
63,Paris Saint-Germain Fan Token,PSG-USD,2020-08-13,7.554436,9.208654,7.394211,8.123664,719387.0
64,Paris Saint-Germain Fan Token,PSG-USD,2020-08-14,8.12366,9.765577,7.997061,8.984266,730365.0
65,Paris Saint-Germain Fan Token,PSG-USD,2020-08-15,9.00126,9.410439,8.257166,9.239592,638545.0
66,Paris Saint-Germain Fan Token,PSG-USD,2020-08-16,9.23775,10.120664,8.321666,9.632907,688051.0
67,Paris Saint-Germain Fan Token,PSG-USD,2020-08-17,9.632907,10.348887,9.449131,9.924661,710633.0
68,Paris Saint-Germain Fan Token,PSG-USD,2020-08-18,9.95396,11.250323,9.37792,10.566714,729251.0
69,Paris Saint-Germain Fan Token,PSG-USD,2020-08-19,10.41879,10.504926,9.0548,9.384251,658532.0
70,Paris Saint-Germain Fan Token,PSG-USD,2020-08-20,9.384251,10.509141,9.350243,10.341523,734608.0
71,Paris Saint-Germain Fan Token,PSG-USD,2020-08-21,10.342543,10.788909,9.30726,9.584578,695013.0
72,Paris Saint-Germain Fan Token,PSG-USD,2020-08-22,9.574187,10.018977,9.435343,9.876123,712927.0
73,Paris Saint-Germain Fan Token,PSG-USD,2020-08-23,9.858078,10.285604,8.532673,8.752298,727084.0
74,Paris Saint-Germain Fan Token,PSG-USD,2020-08-24,8.753332,9.779333,8.446047,9.031002,641350.0
75,Paris Saint-Germain Fan Token,PSG-USD,2020-08-25,9.016674,9.737857,7.798211,8.155822,607686.0
76,Paris Saint-Germain Fan Token,PSG-USD,2020-08-26,8.15493,8.690815,8.034784,8.468148,605277.0
77,Paris Saint-Germain Fan Token,PSG-USD,2020-08-27,8.46544,8.46544,7.726067,7.786895,562646.0
78,Paris Saint-Germain Fan Token,PSG-USD,2020-08-28,7.789941,8.10787,7.782419,8.071213,594559.0
79,Paris Saint-Germain Fan Token,PSG-USD,2020-08-29,8.061411,8.073905,7.814575,7.968433,588134.0
80,Paris Saint-Germain Fan Token,PSG-USD,2020-08-30,7.966421,8.032823,7.54728,7.809868,578880.0
81,Paris Saint-Germain Fan Token,PSG-USD,2020-08-31,7.799559,7.919418,7.595346,7.782537,554892.0
82,Paris Saint-Germain Fan Token,PSG-USD,2020-09-01,7.769301,8.322666,7.666994,7.819682,569901.0
83,Paris Saint-Germain Fan Token,PSG-USD,2020-09-02,7.816994,7.818949,7.211685,7.510041,537397.0
84,Paris Saint-Germain Fan Token,PSG-USD,2020-09-03,7.513161,7.565769,6.000633,6.068359,434006.0
85,Paris Saint-Germain Fan Token,PSG-USD,2020-09-04,6.068212,6.861887,5.946223,6.697085,476092.0
86,Paris Saint-Germain Fan Token,PSG-USD,2020-09-05,6.701295,6.778978,5.571757,5.78237,416959.0
87,Paris Saint-Germain Fan Token,PSG-USD,2020-09-06,5.78237,6.136816,5.438471,6.044489,436540.0
88,Paris Saint-Germain Fan Token,PSG-USD,2020-09-07,6.044489,6.409216,5.590715,6.066983,447542.0
