,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Rangers Fan Token,RFT-USD,2022-10-31,0.045613,0.04795,0.043132,0.043668,23115.0
1,Rangers Fan Token,RFT-USD,2022-11-01,0.043668,0.048133,0.041061,0.04541,14024.0
2,Rangers Fan Token,RFT-USD,2022-11-02,0.045368,0.04643,0.04082,0.044239,17755.0
3,Rangers Fan Token,RFT-USD,2022-11-03,0.044239,0.048469,0.04255,0.043006,12164.0
4,Rangers Fan Token,RFT-USD,2022-11-04,0.042981,0.046027,0.040633,0.045285,26426.0
5,Rangers Fan Token,RFT-USD,2022-11-05,0.045285,0.055566,0.042918,0.050728,23730.0
6,Rangers Fan Token,RFT-USD,2022-11-06,0.050729,0.051578,0.045373,0.046614,14979.0
7,Rangers Fan Token,RFT-USD,2022-11-07,0.047215,0.062903,0.043236,0.052131,45828.0
8,Rangers Fan Token,RFT-USD,2022-11-08,0.052134,0.059404,0.04201,0.04433,18122.0
9,Rangers Fan Token,RFT-USD,2022-11-09,0.044333,0.047106,0.015328,0.024613,9999.0
10,Rangers Fan Token,RFT-USD,2022-11-10,0.024613,0.044464,0.023512,0.037941,11450.0
11,Rangers Fan Token,RFT-USD,2022-11-11,0.037417,0.039725,0.031562,0.035786,8380.0
12,Rangers Fan Token,RFT-USD,2022-11-12,0.035794,0.037525,0.033468,0.035183,9499.0
13,Rangers Fan Token,RFT-USD,2022-11-13,0.035183,0.035886,0.02904,0.030443,4612.0
14,Rangers Fan Token,RFT-USD,2022-11-14,0.030442,0.03441,0.029408,0.03013,3824.0
15,Rangers Fan Token,RFT-USD,2022-11-15,0.030131,0.035407,0.029024,0.034608,5699.0
16,Rangers Fan Token,RFT-USD,2022-11-16,0.034611,0.037228,0.031025,0.033879,8847.0
17,Rangers Fan Token,RFT-USD,2022-11-17,0.033879,0.037434,0.032548,0.035501,11703.0
18,Rangers Fan Token,RFT-USD,2022-11-18,0.035486,0.042257,0.035363,0.036453,8313.0
19,Rangers Fan Token,RFT-USD,2022-11-19,0.036458,0.046879,0.036438,0.036438,3811.0
20,Rangers Fan Token,RFT-USD,2022-11-20,0.036439,0.042533,0.035176,0.03662,23062.0
21,Rangers Fan Token,RFT-USD,2022-11-21,0.036636,0.037306,0.029669,0.031648,12597.0
22,Rangers Fan Token,RFT-USD,2022-11-22,0.03165,0.033939,0.026341,0.027226,8691.0
23,Rangers Fan Token,RFT-USD,2022-11-23,0.027226,0.031046,0.026936,0.028387,11681.0
24,Rangers Fan Token,RFT-USD,2022-11-24,0.028389,0.031047,0.019278,0.029272,10674.0
25,Rangers Fan Token,RFT-USD,2022-11-25,0.029187,0.030057,0.026025,0.02622,12387.0
26,Rangers Fan Token,RFT-USD,2022-11-26,0.026561,0.027941,0.023983,0.024787,10624.0
27,Rangers Fan Token,RFT-USD,2022-11-27,0.024791,0.025195,0.022137,0.022255,9159.0
28,Rangers Fan Token,RFT-USD,2022-11-28,0.022319,0.022805,0.020553,0.022015,9573.0
29,Rangers Fan Token,RFT-USD,2022-11-29,0.022066,0.023021,0.021154,0.021552,8062.0
30,Rangers Fan Token,RFT-USD,2022-11-30,0.022077,0.023037,0.018695,0.020254,5898.0
31,Rangers Fan Token,RFT-USD,2022-12-01,0.020252,0.022116,0.018546,0.020014,3136.0
32,Rangers Fan Token,RFT-USD,2022-12-02,0.020015,0.021376,0.018938,0.020679,6545.0
33,Rangers Fan Token,RFT-USD,2022-12-03,0.020678,0.021647,0.020116,0.020456,9027.0
34,Rangers Fan Token,RFT-USD,2022-12-04,0.020457,0.020642,0.019837,0.019996,6676.0
35,Rangers Fan Token,RFT-USD,2022-12-05,0.019997,0.020049,0.018348,0.018774,8825.0
36,Rangers Fan Token,RFT-USD,2022-12-06,0.018919,0.019243,0.017136,0.018248,8376.0
37,Rangers Fan Token,RFT-USD,2022-12-07,0.018249,0.019237,0.017637,0.018539,11686.0
38,Rangers Fan Token,RFT-USD,2022-12-08,0.018473,0.019486,0.018043,0.01916,13337.0
39,Rangers Fan Token,RFT-USD,2022-12-09,0.019433,0.020807,0.018173,0.018331,9274.0
40,Rangers Fan Token,RFT-USD,2022-12-10,0.018331,0.019141,0.017934,0.018124,8533.0
41,Rangers Fan Token,RFT-USD,2022-12-11,0.018228,0.018514,0.01741,0.017769,31223.0
42,Rangers Fan Token,RFT-USD,2022-12-12,0.017853,0.018263,0.017032,0.01763,15199.0
43,Rangers Fan Token,RFT-USD,2022-12-13,0.017632,0.01843,0.017204,0.017826,15002.0
44,Rangers Fan Token,RFT-USD,2022-12-14,0.017825,0.01967,0.017576,0.018897,17613.0
45,Rangers Fan Token,RFT-USD,2022-12-15,0.018897,0.019248,0.017593,0.018233,17890.0
46,Rangers Fan Token,RFT-USD,2022-12-16,0.018233,0.018387,0.016665,0.017011,20068.0
47,Rangers Fan Token,RFT-USD,2022-12-17,0.016946,0.01752,0.015964,0.017311,20441.0
48,Rangers Fan Token,RFT-USD,2022-12-18,0.017311,0.017452,0.016345,0.016868,16218.0
49,Rangers Fan Token,RFT-USD,2022-12-19,0.016871,0.017204,0.015794,0.016727,18459.0
50,Rangers Fan Token,RFT-USD,2022-12-20,0.01655,0.017484,0.015928,0.016439,10056.0
51,Rangers Fan Token,RFT-USD,2022-12-21,0.016439,0.016774,0.016292,0.016598,15795.0
52,Rangers Fan Token,RFT-USD,2022-12-22,0.016601,0.016807,0.016276,0.016615,18588.0
53,Rangers Fan Token,RFT-USD,2022-12-23,0.016624,0.020336,0.016474,0.019349,25761.0
54,Rangers Fan Token,RFT-USD,2022-12-24,0.019372,0.020727,0.018994,0.019593,23683.0
55,Rangers Fan Token,RFT-USD,2022-12-25,0.019609,0.020139,0.019488,0.019637,19395.0
56,Rangers Fan Token,RFT-USD,2022-12-26,0.019683,0.019823,0.018239,0.018531,17258.0
57,Rangers Fan Token,RFT-USD,2022-12-27,0.018539,0.019207,0.017413,0.01885,19332.0
58,Rangers Fan Token,RFT-USD,2022-12-28,0.019125,0.019347,0.017719,0.017817,29296.0
59,Rangers Fan Token,RFT-USD,2022-12-29,0.017818,0.018276,0.013833,0.014398,23345.0
60,Rangers Fan Token,RFT-USD,2022-12-30,0.014277,0.016082,0.014003,0.015597,22291.0
61,Rangers Fan Token,RFT-USD,2022-12-31,0.015595,0.016308,0.015273,0.015427,22944.0
62,Rangers Fan Token,RFT-USD,2023-01-01,0.015426,0.016057,0.015354,0.015971,25613.0
63,Rangers Fan Token,RFT-USD,2023-01-02,0.015956,0.017267,0.015835,0.01717,27854.0
64,Rangers Fan Token,RFT-USD,2023-01-03,0.01712,0.018674,0.017062,0.018136,25301.0
65,Rangers Fan Token,RFT-USD,2023-01-04,0.018137,0.019204,0.017847,0.019104,24537.0
66,Rangers Fan Token,RFT-USD,2023-01-05,0.019104,0.01934,0.017868,0.018005,32554.0
67,Rangers Fan Token,RFT-USD,2023-01-06,0.018006,0.0184,0.017519,0.018168,32157.0
68,Rangers Fan Token,RFT-USD,2023-01-07,0.018084,0.018796,0.017754,0.018464,30876.0
69,Rangers Fan Token,RFT-USD,2023-01-08,0.018301,0.018569,0.017867,0.01796,59821.0
70,Rangers Fan Token,RFT-USD,2023-01-09,0.017961,0.018301,0.017634,0.018078,45226.0
71,Rangers Fan Token,RFT-USD,2023-01-10,0.018102,0.018594,0.017658,0.018057,44292.0
72,Rangers Fan Token,RFT-USD,2023-01-11,0.018071,0.018508,0.017525,0.017972,40765.0
73,Rangers Fan Token,RFT-USD,2023-01-12,0.017846,0.018267,0.017365,0.017817,54353.0
74,Rangers Fan Token,RFT-USD,2023-01-13,0.017819,0.018396,0.017461,0.018044,26053.0
75,Rangers Fan Token,RFT-USD,2023-01-14,0.017993,0.019754,0.017808,0.019169,48564.0
76,Rangers Fan Token,RFT-USD,2023-01-15,0.019171,0.019359,0.018894,0.019144,23521.0
77,Rangers Fan Token,RFT-USD,2023-01-16,0.019159,0.020297,0.018896,0.020057,146983.0
78,Rangers Fan Token,RFT-USD,2023-01-17,0.020052,0.021085,0.018881,0.020646,150188.0
79,Rangers Fan Token,RFT-USD,2023-01-18,0.020622,0.022896,0.019525,0.022255,30901.0
80,Rangers Fan Token,RFT-USD,2023-01-19,0.021988,0.023261,0.021325,0.022062,21317.0
81,Rangers Fan Token,RFT-USD,2023-01-20,0.022059,0.023007,0.021532,0.022197,48140.0
82,Rangers Fan Token,RFT-USD,2023-01-21,0.022199,0.022329,0.021213,0.021717,29103.0
83,Rangers Fan Token,RFT-USD,2023-01-22,0.021746,0.022212,0.021288,0.02143,209406.0
84,Rangers Fan Token,RFT-USD,2023-01-23,0.021431,0.021735,0.02094,0.021269,33056.0
85,Rangers Fan Token,RFT-USD,2023-01-24,0.021219,0.021568,0.020483,0.020939,30489.0
86,Rangers Fan Token,RFT-USD,2023-01-25,0.020884,0.021579,0.02038,0.02051,34739.0
87,Rangers Fan Token,RFT-USD,2023-01-26,0.020511,0.021451,0.020297,0.02132,29441.0
88,Rangers Fan Token,RFT-USD,2023-01-27,0.021101,0.021504,0.020449,0.020454,33583.0
89,Rangers Fan Token,RFT-USD,2023-01-28,0.020538,0.02085,0.020171,0.020407,28198.0
90,Rangers Fan Token,RFT-USD,2023-01-29,0.02043,0.021455,0.019887,0.020958,90439.0
91,Rangers Fan Token,RFT-USD,2023-01-30,0.020957,0.02184,0.018854,0.019732,62181.0
92,Rangers Fan Token,RFT-USD,2023-01-31,0.019728,0.020261,0.018978,0.019932,18314.0
93,Rangers Fan Token,RFT-USD,2023-02-01,0.019873,0.020112,0.019234,0.019887,19210.0
94,Rangers Fan Token,RFT-USD,2023-02-02,0.019895,0.020623,0.019259,0.019799,19590.0
95,Rangers Fan Token,RFT-USD,2023-02-03,0.019797,0.020165,0.019422,0.019527,18423.0
96,Rangers Fan Token,RFT-USD,2023-02-04,0.019547,0.020524,0.019299,0.019944,18461.0
97,Rangers Fan Token,RFT-USD,2023-02-05,0.019894,0.020523,0.01929,0.019316,10183.0
98,Rangers Fan Token,RFT-USD,2023-02-06,0.019313,0.020023,0.018996,0.019519,17501.0
99,Rangers Fan Token,RFT-USD,2023-02-07,0.019532,0.019861,0.019166,0.019488,18345.0
100,Rangers Fan Token,RFT-USD,2023-02-08,0.019489,0.019796,0.019027,0.019268,18108.0
101,Rangers Fan Token,RFT-USD,2023-02-09,0.019229,0.019645,0.019062,0.019501,16483.0
102,Rangers Fan Token,RFT-USD,2023-02-10,0.019428,0.019596,0.018429,0.018599,17501.0
103,Rangers Fan Token,RFT-USD,2023-02-11,0.018583,0.019005,0.018381,0.018748,17776.0
104,Rangers Fan Token,RFT-USD,2023-02-12,0.01878,0.019049,0.018471,0.018654,17488.0
105,Rangers Fan Token,RFT-USD,2023-02-13,0.018654,0.01875,0.018086,0.018274,16168.0
