,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Roush Fenway Racing Fan Token,ROUSH-USD,2021-11-24,0.96083,1.059632,0.954264,1.029683,34329
1,Roush Fenway Racing Fan Token,ROUSH-USD,2021-11-25,1.029831,1.18208,0.936155,1.015797,34509
2,Roush Fenway Racing Fan Token,ROUSH-USD,2021-11-26,1.041105,1.047609,0.808017,0.918668,30240
3,Roush Fenway Racing Fan Token,ROUSH-USD,2021-11-27,0.919781,0.997496,0.84471,0.918894,29545
4,Roush Fenway Racing Fan Token,ROUSH-USD,2021-11-28,0.923099,0.923704,0.842296,0.913448,422
5,Roush Fenway Racing Fan Token,ROUSH-USD,2021-11-29,0.914061,1.425032,0.821218,0.952291,58703
6,Roush Fenway Racing Fan Token,ROUSH-USD,2021-11-30,0.952044,1.083732,0.839598,0.883301,116030
7,Roush Fenway Racing Fan Token,ROUSH-USD,2021-12-01,0.881176,1.017136,0.843019,0.912534,104561
8,Roush Fenway Racing Fan Token,ROUSH-USD,2021-12-02,0.912534,0.955404,0.834797,0.909,44003
9,Roush Fenway Racing Fan Token,ROUSH-USD,2021-12-03,0.910364,0.928313,0.823981,0.879674,6733
10,Roush Fenway Racing Fan Token,ROUSH-USD,2021-12-04,0.879592,0.885249,0.540626,0.784952,23219
11,Roush Fenway Racing Fan Token,ROUSH-USD,2021-12-05,0.784665,0.832748,0.675435,0.7311,16993
12,Roush Fenway Racing Fan Token,ROUSH-USD,2021-12-06,0.730557,0.774155,0.663792,0.763096,15645
13,Roush Fenway Racing Fan Token,ROUSH-USD,2021-12-07,0.762563,0.80399,0.717453,0.739684,7945
14,Roush Fenway Racing Fan Token,ROUSH-USD,2021-12-08,0.739778,0.7854,0.689548,0.777234,30324
15,Roush Fenway Racing Fan Token,ROUSH-USD,2021-12-09,0.775912,0.787777,0.673772,0.69127,23798
16,Roush Fenway Racing Fan Token,ROUSH-USD,2021-12-10,0.691897,0.75231,0.677199,0.683504,32263
17,Roush Fenway Racing Fan Token,ROUSH-USD,2021-12-11,0.682071,0.728005,0.666811,0.70091,35909
