,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Samsunspor Fan Token,SAM14020-USD,2021-11-25,2.040232,2.366579,1.960668,2.088313,77618.0
1,Samsunspor Fan Token,SAM14020-USD,2021-11-26,2.127476,2.423159,1.919195,2.019286,89502.0
2,Samsunspor Fan Token,SAM14020-USD,2021-11-27,2.025286,2.1022,1.860747,1.918079,54633.0
3,Samsunspor Fan Token,SAM14020-USD,2021-11-28,1.926858,1.937087,1.758191,1.906711,4065.0
4,Samsunspor Fan Token,SAM14020-USD,2021-11-29,1.907992,2.275302,1.870477,2.162207,125511.0
5,Samsunspor Fan Token,SAM14020-USD,2021-11-30,2.161647,2.246266,1.859146,1.869876,275817.0
6,Samsunspor Fan Token,SAM14020-USD,2021-12-01,1.867567,2.051698,1.800179,1.903285,258312.0
7,Samsunspor Fan Token,SAM14020-USD,2021-12-02,1.909163,1.944034,1.662237,1.816514,107958.0
8,Samsunspor Fan Token,SAM14020-USD,2021-12-03,1.816283,1.902542,1.617443,1.739625,22501.0
9,Samsunspor Fan Token,SAM14020-USD,2021-12-04,1.739463,1.79105,1.017935,1.445915,74374.0
10,Samsunspor Fan Token,SAM14020-USD,2021-12-05,1.447044,1.545699,1.255545,1.331874,55261.0
11,Samsunspor Fan Token,SAM14020-USD,2021-12-06,1.330884,1.79935,1.21854,1.384519,53945.0
12,Samsunspor Fan Token,SAM14020-USD,2021-12-07,1.383553,1.496502,1.326636,1.412201,36512.0
13,Samsunspor Fan Token,SAM14020-USD,2021-12-08,1.412593,1.530876,1.316219,1.508165,111309.0
14,Samsunspor Fan Token,SAM14020-USD,2021-12-09,1.5056,1.5056,1.281652,1.328907,64242.0
15,Samsunspor Fan Token,SAM14020-USD,2021-12-10,1.330112,1.625096,1.269102,1.341377,104855.0
16,Samsunspor Fan Token,SAM14020-USD,2021-12-11,1.338565,1.689215,1.245776,1.446559,111095.0
17,Samsunspor Fan Token,SAM14020-USD,2021-12-12,1.443196,1.765602,1.397751,1.572841,136593.0
