,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Santos FC Fan Token,SANTOS-USD,2021-12-01,23.026522,28.604824,10.431176,10.453149,187257594.0
1,Santos FC Fan Token,SANTOS-USD,2021-12-02,10.434933,11.536408,7.904954,8.457531,88583874.0
2,Santos FC Fan Token,SANTOS-USD,2021-12-03,8.422693,8.495691,5.671853,5.856416,47028034.0
3,Santos FC Fan Token,SANTOS-USD,2021-12-04,5.84532,5.934163,4.194924,4.578959,22500618.0
4,Santos FC Fan Token,SANTOS-USD,2021-12-05,4.59937,7.651808,4.525242,5.825703,172258859.0
5,Santos FC Fan Token,SANTOS-USD,2021-12-06,5.841402,6.430716,4.81544,5.279256,52584075.0
6,Santos FC Fan Token,SANTOS-USD,2021-12-07,5.282377,5.629277,5.017371,5.017371,14536612.0
7,Santos FC Fan Token,SANTOS-USD,2021-12-08,5.007359,5.098314,4.641661,4.814532,8784931.0
8,Santos FC Fan Token,SANTOS-USD,2021-12-09,4.805457,5.889921,4.671462,5.109668,43996964.0
9,Santos FC Fan Token,SANTOS-USD,2021-12-10,5.117034,5.482338,4.687769,4.708554,19689763.0
10,Santos FC Fan Token,SANTOS-USD,2021-12-11,4.712145,4.869059,4.541657,4.765752,9548480.0
11,Santos FC Fan Token,SANTOS-USD,2021-12-12,4.765147,5.009778,4.652508,4.763661,6832353.0
12,Santos FC Fan Token,SANTOS-USD,2021-12-13,4.765969,5.030119,4.082289,4.146874,6629023.0
13,Santos FC Fan Token,SANTOS-USD,2021-12-14,4.139025,4.273069,3.888817,4.008836,5052876.0
14,Santos FC Fan Token,SANTOS-USD,2021-12-15,4.017896,4.355151,3.831245,4.116494,13402350.0
15,Santos FC Fan Token,SANTOS-USD,2021-12-16,4.116618,4.253375,3.959331,3.9628,6910522.0
16,Santos FC Fan Token,SANTOS-USD,2021-12-17,3.963385,4.03586,3.654119,3.727927,4231510.0
17,Santos FC Fan Token,SANTOS-USD,2021-12-18,3.729885,3.794597,3.704966,3.75437,2795657.0
18,Santos FC Fan Token,SANTOS-USD,2021-12-19,3.75394,3.790061,3.609062,3.629577,2241897.0
19,Santos FC Fan Token,SANTOS-USD,2021-12-20,3.6284,3.907527,3.358133,3.812606,7711832.0
20,Santos FC Fan Token,SANTOS-USD,2021-12-21,3.796024,3.948747,3.634072,3.862684,4431502.0
21,Santos FC Fan Token,SANTOS-USD,2021-12-22,3.833476,3.881979,3.663884,3.751438,2747359.0
22,Santos FC Fan Token,SANTOS-USD,2021-12-23,3.760039,3.901841,3.648414,3.839364,3210362.0
23,Santos FC Fan Token,SANTOS-USD,2021-12-24,3.839806,3.903514,3.783874,3.809406,2344473.0
24,Santos FC Fan Token,SANTOS-USD,2021-12-25,3.809506,4.743405,3.796712,4.281527,15553480.0
25,Santos FC Fan Token,SANTOS-USD,2021-12-26,4.291518,4.566783,4.221192,4.311578,7615715.0
26,Santos FC Fan Token,SANTOS-USD,2021-12-27,4.308992,4.505004,4.250854,4.311786,4310562.0
27,Santos FC Fan Token,SANTOS-USD,2021-12-28,4.311878,4.323083,3.847747,3.905825,6353874.0
28,Santos FC Fan Token,SANTOS-USD,2021-12-29,3.90138,3.919582,3.638782,3.654237,2321039.0
29,Santos FC Fan Token,SANTOS-USD,2021-12-30,3.654025,3.715292,3.552838,3.581589,2188315.0
30,Santos FC Fan Token,SANTOS-USD,2021-12-31,3.581846,3.682798,3.46774,3.502624,3275982.0
31,Santos FC Fan Token,SANTOS-USD,2022-01-01,3.503808,3.620533,3.503808,3.602906,1663745.0
32,Santos FC Fan Token,SANTOS-USD,2022-01-02,3.6026,3.620195,3.533308,3.562775,1858307.0
33,Santos FC Fan Token,SANTOS-USD,2022-01-03,3.562155,3.618764,3.460617,3.467175,1758562.0
34,Santos FC Fan Token,SANTOS-USD,2022-01-04,3.467181,3.470451,3.365958,3.365958,1571784.0
35,Santos FC Fan Token,SANTOS-USD,2022-01-05,3.369595,3.448089,3.041194,3.0674,1617214.0
36,Santos FC Fan Token,SANTOS-USD,2022-01-06,3.06763,3.356265,2.964883,3.079549,7637089.0
37,Santos FC Fan Token,SANTOS-USD,2022-01-07,3.079163,3.090101,2.857416,2.886002,2475972.0
38,Santos FC Fan Token,SANTOS-USD,2022-01-08,2.886057,2.923953,2.754901,2.820515,1208452.0
39,Santos FC Fan Token,SANTOS-USD,2022-01-09,2.819439,2.878202,2.777611,2.818256,723108.0
40,Santos FC Fan Token,SANTOS-USD,2022-01-10,2.816365,2.828967,2.588033,2.71235,1096775.0
41,Santos FC Fan Token,SANTOS-USD,2022-01-11,2.712133,4.430005,2.697779,3.771197,79428134.0
42,Santos FC Fan Token,SANTOS-USD,2022-01-12,3.768596,3.795411,3.325097,3.596779,28906889.0
43,Santos FC Fan Token,SANTOS-USD,2022-01-13,3.60059,3.616582,3.359504,3.370078,10055381.0
44,Santos FC Fan Token,SANTOS-USD,2022-01-14,3.37042,3.501501,3.319889,3.367206,5828302.0
45,Santos FC Fan Token,SANTOS-USD,2022-01-15,3.367255,3.381825,3.336396,3.342742,1827472.0
46,Santos FC Fan Token,SANTOS-USD,2022-01-16,3.342952,3.375072,3.258409,3.300168,2540330.0
47,Santos FC Fan Token,SANTOS-USD,2022-01-17,3.300642,3.909613,3.229306,3.300645,19881959.0
48,Santos FC Fan Token,SANTOS-USD,2022-01-18,3.302674,3.655238,3.230778,3.353502,13945909.0
49,Santos FC Fan Token,SANTOS-USD,2022-01-19,3.353445,3.455791,3.257188,3.282329,4980079.0
50,Santos FC Fan Token,SANTOS-USD,2022-01-20,3.282436,3.334549,3.268941,3.330768,135404.0
