,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-08,12.825405,12.825405,5.585556,5.700662,0.0
1,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-09,5.700125,5.705313,5.267837,5.615212,0.0
2,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-10,5.582395,5.878427,5.45219,5.591458,0.0
3,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-11,5.593,5.838758,5.469711,5.621815,0.0
4,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-12,5.619531,5.636483,5.249789,5.388131,0.0
5,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-13,5.387813,5.464831,5.145352,5.19344,0.0
6,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-14,5.19711,5.474573,4.848052,5.341974,0.0
7,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-15,5.347892,5.990114,5.227148,5.507985,0.0
8,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-16,5.515782,5.696651,5.0686,5.101118,0.0
9,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-17,5.093228,5.218943,4.956249,5.082922,0.0
10,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-18,5.094552,5.279453,4.962628,5.044172,0.0
11,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-19,5.045914,5.068463,4.734899,4.841864,0.0
12,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-20,4.833151,4.910135,4.201738,4.36432,0.0
13,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-21,4.363669,4.854777,4.227833,4.719028,0.0
14,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-22,4.719878,4.948843,4.638565,4.883688,0.0
15,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-23,4.881019,5.109229,4.726172,5.061287,0.0
16,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-24,5.066114,5.52437,4.997295,5.268886,0.0
17,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-25,5.272375,5.341522,5.025261,5.224985,0.0
18,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-26,5.224208,5.565854,5.082879,5.173558,0.0
19,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-27,5.165745,5.308646,5.001391,5.226009,0.0
20,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-28,5.22632,5.33604,5.126939,5.246123,0.0
21,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-29,5.24356,5.349504,5.168434,5.326464,0.0
22,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-30,5.333207,5.501721,5.15898,5.472024,0.0
23,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-07-31,5.48513,5.53952,5.324882,5.505929,0.0
24,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-01,5.494488,5.733538,5.342202,5.389949,0.0
25,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-02,5.389949,5.620653,5.312124,5.378608,0.0
26,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-03,5.387794,5.556467,5.019917,5.421449,0.0
27,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-04,5.435622,6.615793,4.956409,5.034306,0.0
28,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-05,5.029734,5.124507,4.843642,4.986154,0.0
29,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-06,4.990323,5.159711,4.565252,5.005552,0.0
30,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-07,5.004801,5.086442,4.361051,4.558464,0.0
31,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-08,4.54442,5.360717,4.250076,4.577812,0.0
32,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-09,4.57953,5.685351,4.115935,4.595081,0.0
33,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-10,4.598651,5.130575,4.291453,4.535851,0.0
34,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-11,4.5408,4.792509,4.007192,4.025652,0.0
35,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-12,4.015875,4.807215,3.736059,4.253163,0.0
36,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-13,4.250763,4.681696,4.000487,4.490728,0.0
37,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-14,4.479502,4.57998,4.039723,4.201528,0.0
38,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-15,4.205067,4.224968,3.90065,4.137741,0.0
39,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-16,4.136763,4.306955,3.874332,3.950398,0.0
40,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-17,3.94264,4.360208,3.712313,4.114016,0.0
41,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-18,4.117227,4.355932,3.614909,3.842807,0.0
42,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-19,3.833811,3.936406,3.616572,3.866495,0.0
43,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-20,3.8718,4.053861,3.769664,3.898246,0.0
44,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-21,3.898078,4.240867,3.722759,3.962738,0.0
45,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-22,3.943491,4.206612,3.767013,3.853916,0.0
46,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-23,3.851229,4.700826,3.804525,4.19619,0.0
47,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-24,4.203134,4.424561,3.708939,3.804332,0.0
48,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-25,3.794956,4.213164,3.637747,3.955781,0.0
49,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-26,3.971425,4.05603,3.567389,3.620633,0.0
50,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-27,3.621866,3.825923,3.395901,3.419986,0.0
51,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-28,3.464189,3.987132,3.375095,3.464866,0.0
52,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-29,3.463194,4.475317,3.359044,3.909586,0.0
53,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-30,3.906079,4.298977,3.703129,3.709807,0.0
54,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-08-31,3.705946,5.418752,3.63983,4.299691,0.0
55,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-01,4.289256,4.76057,3.964176,4.172663,0.0
56,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-02,4.172663,4.61512,3.987815,4.102962,0.0
57,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-03,4.103445,4.391774,3.844597,3.981587,0.0
58,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-04,3.983322,4.451948,3.857742,4.080428,0.0
59,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-05,4.082805,4.251984,3.816953,3.968468,0.0
60,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-06,3.966561,4.215351,3.740141,4.060409,0.0
61,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-07,4.065854,4.065854,2.642072,3.312523,0.0
62,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-08,3.31284,3.439369,2.887793,3.231303,0.0
63,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-09,3.231777,3.419462,3.041755,3.147169,0.0
64,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-10,3.147012,3.398105,2.811044,3.033655,0.0
65,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-11,3.033664,3.112905,2.989448,3.015181,0.0
66,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-12,3.020674,3.170762,2.915078,3.092653,0.0
67,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-13,3.091416,3.127448,2.781367,2.922122,0.0
68,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-14,2.923397,3.155875,2.714084,2.908615,0.0
69,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-15,2.908772,3.135531,2.754363,3.042578,0.0
70,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-16,3.043958,5.384049,2.946457,3.570482,0.0
71,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-17,3.571288,3.956576,2.935537,3.100606,0.0
72,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-18,3.105186,3.295377,2.924957,3.092385,0.0
73,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-19,3.095232,3.60968,3.005132,3.18104,0.0
74,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-20,3.179611,3.195008,2.66684,2.728665,0.0
75,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-21,2.714763,2.938691,2.444703,2.528543,0.0
76,Alfa Romeo Racing ORLEN Fan Token,SAUBER-USD,2021-09-22,2.550978,2.826407,2.497821,2.679684,0.0
