,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,S.C. Corinthians Fan Token,SCCP-USD,2021-09-09,2.443801,3.374847,2.402877,2.914688,0
1,S.C. Corinthians Fan Token,SCCP-USD,2021-09-10,2.915709,3.205863,2.661188,2.766561,0
2,S.C. Corinthians Fan Token,SCCP-USD,2021-09-11,2.76657,2.930686,2.689837,2.732923,0
3,S.C. Corinthians Fan Token,SCCP-USD,2021-09-12,2.737902,2.814008,2.624517,2.717068,0
4,S.C. Corinthians Fan Token,SCCP-USD,2021-09-13,2.715981,2.746392,2.404283,2.562081,0
5,S.C. Corinthians Fan Token,SCCP-USD,2021-09-14,2.563198,2.749339,2.54129,2.655839,0
6,S.C. Corinthians Fan Token,SCCP-USD,2021-09-15,2.655981,2.87092,2.604647,2.865644,0
7,S.C. Corinthians Fan Token,SCCP-USD,2021-09-16,2.866943,3.822041,2.69367,3.46249,0
8,S.C. Corinthians Fan Token,SCCP-USD,2021-09-17,3.463272,3.774935,2.332171,2.350616,0
9,S.C. Corinthians Fan Token,SCCP-USD,2021-09-18,2.354089,3.88143,2.236017,2.524463,0
10,S.C. Corinthians Fan Token,SCCP-USD,2021-09-19,2.526787,2.911125,2.337149,2.36125,0
11,S.C. Corinthians Fan Token,SCCP-USD,2021-09-20,2.360189,2.363895,0.0,2.098554,0
12,S.C. Corinthians Fan Token,SCCP-USD,2021-09-21,2.092012,2.203161,1.883902,1.975031,0
13,S.C. Corinthians Fan Token,SCCP-USD,2021-09-22,1.992555,2.285472,1.936242,2.172874,0
14,S.C. Corinthians Fan Token,SCCP-USD,2021-09-23,2.175055,2.233213,2.001092,2.085183,0
15,S.C. Corinthians Fan Token,SCCP-USD,2021-09-24,2.084595,2.130481,1.790724,1.93492,0
16,S.C. Corinthians Fan Token,SCCP-USD,2021-09-25,1.936232,1.994412,1.844106,1.914546,0
17,S.C. Corinthians Fan Token,SCCP-USD,2021-09-26,1.911261,1.955517,1.805569,1.891258,0
18,S.C. Corinthians Fan Token,SCCP-USD,2021-09-27,1.889965,1.961535,1.697851,1.703029,0
19,S.C. Corinthians Fan Token,SCCP-USD,2021-09-28,1.703798,1.756547,1.601701,1.601701,0
20,S.C. Corinthians Fan Token,SCCP-USD,2021-09-29,1.603552,1.714733,1.526011,1.571874,0
21,S.C. Corinthians Fan Token,SCCP-USD,2021-09-30,1.573712,1.725606,1.56824,1.719229,0
22,S.C. Corinthians Fan Token,SCCP-USD,2021-10-01,1.719906,1.804245,1.617889,1.710994,0
23,S.C. Corinthians Fan Token,SCCP-USD,2021-10-02,1.706876,1.790059,1.644972,1.660198,0
24,S.C. Corinthians Fan Token,SCCP-USD,2021-10-03,1.658173,1.769995,1.589109,1.613385,0
25,S.C. Corinthians Fan Token,SCCP-USD,2021-10-04,1.612798,1.64767,1.462808,1.500447,0
