,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,FC Sion Fan Token,SION-USD,2022-06-13,0.019753,0.021133,0.01931,0.021032,3117.0
1,FC Sion Fan Token,SION-USD,2022-06-14,0.021033,0.031816,0.019913,0.027195,46700.0
2,FC Sion Fan Token,SION-USD,2022-06-15,0.027195,0.045203,0.026764,0.036384,80723.0
3,FC Sion Fan Token,SION-USD,2022-06-16,0.036384,0.045363,0.031728,0.038851,74801.0
4,FC Sion Fan Token,SION-USD,2022-06-17,0.038851,0.040219,0.032446,0.035703,20840.0
5,FC Sion Fan Token,SION-USD,2022-06-18,0.035703,0.036201,0.029044,0.031888,13171.0
6,FC Sion Fan Token,SION-USD,2022-06-19,0.031918,0.033005,0.028847,0.03293,18129.0
7,FC Sion Fan Token,SION-USD,2022-06-20,0.03293,0.036567,0.02938,0.031447,29135.0
8,FC Sion Fan Token,SION-USD,2022-06-21,0.031449,0.032388,0.02768,0.031122,18194.0
9,FC Sion Fan Token,SION-USD,2022-06-22,0.031142,0.031355,0.026072,0.027524,18189.0
10,FC Sion Fan Token,SION-USD,2022-06-23,0.027524,0.034653,0.027208,0.0275,123314.0
11,FC Sion Fan Token,SION-USD,2022-06-24,0.0275,0.029114,0.026483,0.026846,96159.0
12,FC Sion Fan Token,SION-USD,2022-06-25,0.026846,0.027892,0.026248,0.026448,2309.0
13,FC Sion Fan Token,SION-USD,2022-06-26,0.026448,0.03144,0.02499,0.02818,24967.0
14,FC Sion Fan Token,SION-USD,2022-06-27,0.028198,0.03057,0.02539,0.025671,255560.0
15,FC Sion Fan Token,SION-USD,2022-06-28,0.025671,0.027375,0.024021,0.024531,285908.0
16,FC Sion Fan Token,SION-USD,2022-06-29,0.024531,0.025674,0.022708,0.024058,42704.0
17,FC Sion Fan Token,SION-USD,2022-06-30,0.024058,0.025122,0.021835,0.022183,10033.0
18,FC Sion Fan Token,SION-USD,2022-07-01,0.022183,0.024688,0.021295,0.021616,9188.0
19,FC Sion Fan Token,SION-USD,2022-07-02,0.021616,0.023984,0.021281,0.023299,11425.0
20,FC Sion Fan Token,SION-USD,2022-07-03,0.023299,0.023796,0.022166,0.022742,10370.0
21,FC Sion Fan Token,SION-USD,2022-07-04,0.022742,0.023658,0.021706,0.02285,80171.0
22,FC Sion Fan Token,SION-USD,2022-07-05,0.02285,0.02381,0.022615,0.023523,315961.0
23,FC Sion Fan Token,SION-USD,2022-07-06,0.023497,0.023628,0.021088,0.021944,54907.0
24,FC Sion Fan Token,SION-USD,2022-07-07,0.021944,0.022368,0.015531,0.019386,120704.0
25,FC Sion Fan Token,SION-USD,2022-07-08,0.019386,0.020409,0.01676,0.020341,73777.0
26,FC Sion Fan Token,SION-USD,2022-07-09,0.020341,0.024254,0.018777,0.021966,236524.0
27,FC Sion Fan Token,SION-USD,2022-07-10,0.021966,0.022916,0.021185,0.02211,978.0
28,FC Sion Fan Token,SION-USD,2022-07-11,0.02211,0.023508,0.021349,0.021795,74.0
29,FC Sion Fan Token,SION-USD,2022-07-12,0.021795,0.022463,0.01817,0.021009,1367.0
30,FC Sion Fan Token,SION-USD,2022-07-13,0.021009,0.021243,0.017235,0.018664,634.0
31,FC Sion Fan Token,SION-USD,2022-07-14,0.018683,0.020678,0.018014,0.018518,881.0
32,FC Sion Fan Token,SION-USD,2022-07-15,0.018518,0.018629,0.017271,0.018063,1174.0
33,FC Sion Fan Token,SION-USD,2022-07-16,0.018063,0.021341,0.017512,0.019123,2357.0
34,FC Sion Fan Token,SION-USD,2022-07-17,0.019123,0.019535,0.018504,0.018916,1374.0
