,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Spain National Fan Token,SNFT-USD,2021-10-06,0.526295,0.695001,0.507086,0.508823,913666
1,Spain National Fan Token,SNFT-USD,2021-10-07,0.509945,0.533316,0.487044,0.497057,197034
2,Spain National Fan Token,SNFT-USD,2021-10-08,0.497562,0.512125,0.477223,0.483351,179202
3,Spain National Fan Token,SNFT-USD,2021-10-09,0.493671,0.512424,0.475469,0.491203,78744
4,Spain National Fan Token,SNFT-USD,2021-10-10,0.491208,0.520792,0.461679,0.465731,696038
5,Spain National Fan Token,SNFT-USD,2021-10-11,0.467606,0.482028,0.449378,0.460545,100538
6,Spain National Fan Token,SNFT-USD,2021-10-12,0.460441,0.487309,0.450776,0.454217,113919
7,Spain National Fan Token,SNFT-USD,2021-10-13,0.45419,0.470791,0.439106,0.443434,79369
8,Spain National Fan Token,SNFT-USD,2021-10-14,0.443321,0.45787,0.438157,0.444621,89474
9,Spain National Fan Token,SNFT-USD,2021-10-15,0.442747,0.451852,0.413437,0.415968,85327
10,Spain National Fan Token,SNFT-USD,2021-10-16,0.415174,0.424925,0.402944,0.406014,59692
11,Spain National Fan Token,SNFT-USD,2021-10-17,0.405901,0.417966,0.38942,0.412555,66447
12,Spain National Fan Token,SNFT-USD,2021-10-18,0.412953,0.434131,0.390822,0.406637,58393
13,Spain National Fan Token,SNFT-USD,2021-10-19,0.406618,0.41213,0.00696,0.010385,332803
14,Spain National Fan Token,SNFT-USD,2021-10-20,0.010385,0.013721,0.007988,0.0082,436645
15,Spain National Fan Token,SNFT-USD,2021-10-21,0.008199,0.008474,0.00818,0.008222,344229
16,Spain National Fan Token,SNFT-USD,2021-10-22,0.008222,0.008514,0.007858,0.008284,310196
17,Spain National Fan Token,SNFT-USD,2021-10-23,0.008284,0.008299,0.007137,0.007394,454498
18,Spain National Fan Token,SNFT-USD,2021-10-24,0.007394,0.007539,0.007047,0.00714,276021
19,Spain National Fan Token,SNFT-USD,2021-10-25,0.007154,0.398491,0.007109,0.389227,248685
20,Spain National Fan Token,SNFT-USD,2021-10-26,0.388002,0.457049,0.348241,0.362235,295560
21,Spain National Fan Token,SNFT-USD,2021-10-27,0.358785,0.404378,0.338263,0.349789,328683
22,Spain National Fan Token,SNFT-USD,2021-10-28,0.349372,0.361432,0.310854,0.336633,429890
23,Spain National Fan Token,SNFT-USD,2021-10-29,0.33712,0.414102,0.330039,0.391712,603117
24,Spain National Fan Token,SNFT-USD,2021-10-30,0.391648,0.417017,0.363134,0.400293,673454
25,Spain National Fan Token,SNFT-USD,2021-10-31,0.400274,0.471908,0.379969,0.441354,1043497
26,Spain National Fan Token,SNFT-USD,2021-11-01,0.443138,0.460366,0.42069,0.433275,616918
27,Spain National Fan Token,SNFT-USD,2021-11-02,0.434678,0.51988,0.400903,0.417017,850210
28,Spain National Fan Token,SNFT-USD,2021-11-03,0.417555,0.486089,0.397858,0.442729,390308
29,Spain National Fan Token,SNFT-USD,2021-11-04,0.44338,0.444874,0.399089,0.437072,136085
30,Spain National Fan Token,SNFT-USD,2021-11-05,0.43699,0.43911,0.400312,0.414601,49077
31,Spain National Fan Token,SNFT-USD,2021-11-06,0.414601,0.41956,0.390682,0.403506,54534
32,Spain National Fan Token,SNFT-USD,2021-11-07,0.403504,0.514885,0.38307,0.405034,180956
33,Spain National Fan Token,SNFT-USD,2021-11-08,0.405697,0.410519,0.381627,0.383944,120030
34,Spain National Fan Token,SNFT-USD,2021-11-09,0.384024,0.425363,0.373931,0.413396,252205
35,Spain National Fan Token,SNFT-USD,2021-11-10,0.413392,0.441947,0.374813,0.41676,160293
36,Spain National Fan Token,SNFT-USD,2021-11-11,0.41662,0.444132,0.39987,0.408371,204876
37,Spain National Fan Token,SNFT-USD,2021-11-12,0.408874,0.438053,0.404163,0.41542,282930
38,Spain National Fan Token,SNFT-USD,2021-11-13,0.415405,0.449659,0.408984,0.422231,488890
39,Spain National Fan Token,SNFT-USD,2021-11-14,0.421096,0.440815,0.400165,0.421931,639848
40,Spain National Fan Token,SNFT-USD,2021-11-15,0.42379,0.42519,0.401213,0.407092,408823
41,Spain National Fan Token,SNFT-USD,2021-11-16,0.407262,0.410058,0.385444,0.387328,267787
42,Spain National Fan Token,SNFT-USD,2021-11-17,0.387122,0.394316,0.355197,0.355197,144326
43,Spain National Fan Token,SNFT-USD,2021-11-18,0.354925,0.431963,0.350218,0.394491,495240
44,Spain National Fan Token,SNFT-USD,2021-11-19,0.39428,0.414001,0.378861,0.38693,220443
45,Spain National Fan Token,SNFT-USD,2021-11-20,0.386132,0.393768,0.371007,0.382269,283723
46,Spain National Fan Token,SNFT-USD,2021-11-21,0.381688,0.387843,0.369587,0.375998,175540
47,Spain National Fan Token,SNFT-USD,2021-11-22,0.378958,0.391854,0.358902,0.361221,209628
48,Spain National Fan Token,SNFT-USD,2021-11-23,0.366733,0.372718,0.306455,0.31099,196147
49,Spain National Fan Token,SNFT-USD,2021-11-24,0.310803,0.342189,0.301647,0.312366,183279
50,Spain National Fan Token,SNFT-USD,2021-11-25,0.329887,0.354427,0.317477,0.330777,196051
51,Spain National Fan Token,SNFT-USD,2021-11-26,0.330312,0.366668,0.314795,0.320115,251343
52,Spain National Fan Token,SNFT-USD,2021-11-27,0.320821,0.340877,0.31071,0.313575,246565
