,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Sao Paulo FC Fan Token,SPFC-USD,2021-11-24,1.615495,1.787476,1.595921,1.746038,120948.0
1,Sao Paulo FC Fan Token,SPFC-USD,2021-11-25,1.757864,1.908962,1.666169,1.845966,145191.0
2,Sao Paulo FC Fan Token,SPFC-USD,2021-11-26,1.699969,1.710589,1.4325,1.484002,13257.0
3,Sao Paulo FC Fan Token,SPFC-USD,2021-11-27,1.4858,1.588329,1.29866,1.382801,7154.0
4,Sao Paulo FC Fan Token,SPFC-USD,2021-11-28,1.38913,1.457396,0.874044,1.396777,1356.0
5,Sao Paulo FC Fan Token,SPFC-USD,2021-11-29,1.397715,1.64526,1.371115,1.400524,12905.0
6,Sao Paulo FC Fan Token,SPFC-USD,2021-11-30,1.398172,1.450699,1.291952,1.296387,19207.0
7,Sao Paulo FC Fan Token,SPFC-USD,2021-12-01,1.293268,1.324839,1.185271,1.225403,36558.0
8,Sao Paulo FC Fan Token,SPFC-USD,2021-12-02,1.229187,1.268162,1.146257,1.218034,34909.0
9,Sao Paulo FC Fan Token,SPFC-USD,2021-12-03,1.217879,1.288703,1.061908,1.100579,24205.0
10,Sao Paulo FC Fan Token,SPFC-USD,2021-12-04,1.100579,1.166172,0.711094,0.954855,15970.0
11,Sao Paulo FC Fan Token,SPFC-USD,2021-12-05,0.954505,1.021466,0.86075,0.912286,28964.0
12,Sao Paulo FC Fan Token,SPFC-USD,2021-12-06,0.911608,0.968172,0.805006,0.930526,36168.0
13,Sao Paulo FC Fan Token,SPFC-USD,2021-12-07,0.929876,1.056514,0.891003,0.946923,19968.0
14,Sao Paulo FC Fan Token,SPFC-USD,2021-12-08,0.947043,1.004297,0.875884,0.945911,33969.0
15,Sao Paulo FC Fan Token,SPFC-USD,2021-12-09,0.944302,1.008334,0.854861,0.881965,37367.0
16,Sao Paulo FC Fan Token,SPFC-USD,2021-12-10,0.882765,0.942857,0.829534,0.834445,31059.0
17,Sao Paulo FC Fan Token,SPFC-USD,2021-12-11,0.832696,0.920977,0.816744,0.873901,30390.0
18,Sao Paulo FC Fan Token,SPFC-USD,2021-12-12,0.871869,0.935203,0.849957,0.935203,25697.0
19,Sao Paulo FC Fan Token,SPFC-USD,2021-12-13,0.935963,0.943476,0.770812,0.806554,20915.0
20,Sao Paulo FC Fan Token,SPFC-USD,2021-12-14,0.807432,0.851871,0.763801,0.803833,34781.0
21,Sao Paulo FC Fan Token,SPFC-USD,2021-12-15,0.804122,0.853736,0.739244,0.810927,41373.0
22,Sao Paulo FC Fan Token,SPFC-USD,2021-12-16,0.811164,0.867846,0.752008,0.78564,27190.0
23,Sao Paulo FC Fan Token,SPFC-USD,2021-12-17,0.787626,0.817433,0.711907,0.742958,29582.0
24,Sao Paulo FC Fan Token,SPFC-USD,2021-12-18,0.74052,0.802779,0.72451,0.778858,34885.0
25,Sao Paulo FC Fan Token,SPFC-USD,2021-12-19,0.778992,0.836387,0.742653,0.786233,22703.0
26,Sao Paulo FC Fan Token,SPFC-USD,2021-12-20,0.785621,0.836673,0.741177,0.817673,21038.0
27,Sao Paulo FC Fan Token,SPFC-USD,2021-12-21,0.817698,0.897714,0.816841,0.841548,15162.0
28,Sao Paulo FC Fan Token,SPFC-USD,2021-12-22,0.841752,1.013178,0.841752,0.867311,24214.0
29,Sao Paulo FC Fan Token,SPFC-USD,2021-12-23,0.867636,0.971244,0.825115,0.935574,18299.0
30,Sao Paulo FC Fan Token,SPFC-USD,2021-12-24,0.934726,0.963958,0.843032,0.879966,13727.0
31,Sao Paulo FC Fan Token,SPFC-USD,2021-12-25,0.880008,0.997355,0.870612,0.896907,50003.0
32,Sao Paulo FC Fan Token,SPFC-USD,2021-12-26,0.894107,1.037232,0.861166,0.92804,18042.0
33,Sao Paulo FC Fan Token,SPFC-USD,2021-12-27,0.92831,1.010322,0.901132,0.911922,39507.0
34,Sao Paulo FC Fan Token,SPFC-USD,2021-12-28,0.909272,0.959533,0.826685,0.862379,34633.0
35,Sao Paulo FC Fan Token,SPFC-USD,2021-12-29,0.861745,0.94666,0.802389,0.856181,24147.0
36,Sao Paulo FC Fan Token,SPFC-USD,2021-12-30,0.854558,0.898247,0.790097,0.83381,7052.0
37,Sao Paulo FC Fan Token,SPFC-USD,2021-12-31,0.832766,0.881544,0.805008,0.828442,1887.0
38,Sao Paulo FC Fan Token,SPFC-USD,2022-01-01,0.828497,0.893844,0.828497,0.882574,1540.0
39,Sao Paulo FC Fan Token,SPFC-USD,2022-01-02,0.882489,0.941585,0.850428,0.911628,1010.0
40,Sao Paulo FC Fan Token,SPFC-USD,2022-01-03,0.911611,0.931944,0.832264,0.855344,2574.0
41,Sao Paulo FC Fan Token,SPFC-USD,2022-01-04,0.855267,0.895334,0.808456,0.843848,1077.0
42,Sao Paulo FC Fan Token,SPFC-USD,2022-01-05,0.843895,0.899395,0.743054,0.811874,5441.0
43,Sao Paulo FC Fan Token,SPFC-USD,2022-01-06,0.811812,0.828834,0.72451,0.818026,32465.0
44,Sao Paulo FC Fan Token,SPFC-USD,2022-01-07,0.817934,0.819767,0.722461,0.767967,37615.0
45,Sao Paulo FC Fan Token,SPFC-USD,2022-01-08,0.76803,0.810309,0.691474,0.726939,7862.0
46,Sao Paulo FC Fan Token,SPFC-USD,2022-01-09,0.72692,0.794566,0.708239,0.751652,5342.0
47,Sao Paulo FC Fan Token,SPFC-USD,2022-01-10,0.751619,0.792615,0.67287,0.706267,3016.0
48,Sao Paulo FC Fan Token,SPFC-USD,2022-01-11,0.706396,0.773858,0.699199,0.748531,1551.0
49,Sao Paulo FC Fan Token,SPFC-USD,2022-01-12,0.748777,0.839075,0.748777,0.794326,4423.0
50,Sao Paulo FC Fan Token,SPFC-USD,2022-01-13,0.794305,0.797797,0.739208,0.744771,555.0
51,Sao Paulo FC Fan Token,SPFC-USD,2022-01-14,0.744806,0.780305,0.722843,0.728884,2561.0
52,Sao Paulo FC Fan Token,SPFC-USD,2022-01-15,0.728883,0.766877,0.727567,0.754561,901.0
53,Sao Paulo FC Fan Token,SPFC-USD,2022-01-16,0.75413,0.785574,0.740011,0.762158,1571.0
54,Sao Paulo FC Fan Token,SPFC-USD,2022-01-17,0.76219,0.763972,0.694908,0.708659,3827.0
55,Sao Paulo FC Fan Token,SPFC-USD,2022-01-18,0.708632,0.748334,0.679383,0.712055,5504.0
56,Sao Paulo FC Fan Token,SPFC-USD,2022-01-19,0.712063,0.72758,0.666279,0.691234,924.0
57,Sao Paulo FC Fan Token,SPFC-USD,2022-01-20,0.69108,0.6977,0.675882,0.696442,0.0
58,Sao Paulo FC Fan Token,SPFC-USD,2022-01-21,0.696442,0.696442,0.543369,0.554321,2426.0
59,Sao Paulo FC Fan Token,SPFC-USD,2022-01-22,0.554827,0.564465,0.459652,0.494117,1352.0
60,Sao Paulo FC Fan Token,SPFC-USD,2022-01-23,0.494305,0.621261,0.485298,0.541395,4579.0
