,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-19,50.344181,59.471561,38.560413,47.948399,0.0
1,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-20,47.997849,50.230324,44.424362,44.515957,0.0
2,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-21,44.666458,54.241833,44.012173,45.9086,0.0
3,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-22,45.883884,54.678062,44.552876,53.172859,0.0
4,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-23,53.236111,55.169846,47.297756,49.514847,0.0
5,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-24,49.565708,56.721703,44.18652,48.39571,0.0
6,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-25,48.409725,50.447613,44.805206,48.992035,0.0
7,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-26,48.984016,50.795444,43.942123,45.984608,0.0
8,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-27,45.946949,50.725155,41.826294,48.834305,0.0
9,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-28,48.814545,51.315582,46.224621,50.298679,0.0
10,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-29,50.342255,50.456207,47.404293,48.60981,0.0
11,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-30,48.570545,49.622108,45.913055,47.816055,0.0
12,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-03-31,47.783497,47.868061,0.0,44.405815,0.0
13,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-01,44.415977,45.291496,42.481705,43.571938,0.0
14,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-02,43.601982,45.421917,41.912891,42.986496,0.0
15,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-03,43.001835,44.190796,37.140713,37.663174,0.0
16,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-04,37.761909,44.323639,29.106323,41.240711,0.0
17,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-05,41.196903,42.727844,36.198799,36.198799,0.0
18,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-06,36.217834,36.870117,32.886539,35.130169,0.0
19,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-07,35.004108,44.579247,28.635897,42.944954,0.0
20,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-08,42.701168,46.272686,35.725391,39.792282,0.0
21,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-09,39.803101,40.59367,36.557724,37.958092,0.0
22,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-10,38.05542,45.769527,38.052158,41.205635,0.0
23,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-11,41.197544,42.863956,37.099991,39.918934,0.0
24,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-12,39.940956,49.375854,39.130676,47.522812,0.0
25,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-13,47.410519,49.004635,40.096802,41.703293,0.0
26,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-14,41.735298,46.216232,38.99316,42.516617,0.0
27,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-15,42.473709,55.035484,41.109241,49.001312,0.0
28,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-16,49.08102,74.04673,44.235294,71.448067,0.0
29,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-17,71.51757,71.51757,52.388973,56.249565,0.0
30,Sint-Truidense Voetbalvereniging Fan Token,STV-USD,2021-04-18,56.257877,59.828354,41.867992,48.952438,0.0
