,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Turkish Basketball Federation Fan Token,TBFT-USD,2022-10-31,0.05434,0.054718,0.054119,0.054674,1040.0
1,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-01,0.054661,0.060301,0.05433,0.060097,2001.0
2,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-02,0.06004,0.061179,0.054839,0.060779,414.0
3,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-03,0.06078,0.063868,0.055787,0.056311,311.0
4,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-04,0.056311,0.060215,0.054402,0.054868,456.0
5,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-05,0.054863,0.062735,0.054518,0.055295,4354.0
6,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-06,0.055296,0.063397,0.055194,0.057279,884.0
7,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-07,0.057257,0.057781,0.051856,0.053667,1167.0
8,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-08,0.053639,0.059088,0.041377,0.049127,1888.0
9,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-09,0.049129,0.050882,0.03823,0.039323,787.0
10,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-10,0.039324,0.051406,0.038321,0.048041,967.0
11,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-11,0.04804,0.049935,0.040671,0.047399,1324.0
12,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-12,0.047407,0.047584,0.043423,0.043769,693.0
13,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-13,0.043768,0.044622,0.032415,0.036154,389.0
14,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-14,0.036152,0.050319,0.034544,0.045547,1546.0
15,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-15,0.045549,0.048894,0.042742,0.048666,671.0
16,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-16,0.048667,0.051641,0.04631,0.05138,583.0
17,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-17,0.051393,0.051543,0.035134,0.046487,1204.0
18,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-18,0.046488,0.049252,0.040079,0.047827,5397.0
19,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-19,0.047832,0.048265,0.045536,0.046639,568.0
20,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-20,0.04664,0.046701,0.041619,0.042006,2395.0
21,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-21,0.042017,0.042314,0.037358,0.03891,1514.0
22,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-22,0.038912,0.043446,0.032021,0.037888,436.0
23,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-23,0.037888,0.042817,0.037677,0.04077,331.0
24,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-24,0.040771,0.041062,0.037678,0.037682,524.0
25,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-25,0.037684,0.0478,0.037057,0.037156,1370.0
26,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-26,0.037153,0.04235,0.036305,0.036379,591.0
27,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-27,0.036382,0.039384,0.03554,0.036847,1058.0
28,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-28,0.036847,0.036898,0.02321,0.02581,609.0
29,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-29,0.025807,0.02699,0.023033,0.025661,235.0
30,Turkish Basketball Federation Fan Token,TBFT-USD,2022-11-30,0.025662,0.026473,0.023383,0.025332,807.0
